"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Cax","Ca","tau_Ca"
"75","86_3_PFM",13,30,21.5,"86_3_PFM_Oa",641.30332407,22,9,29.1501510940909,65.365,1072.0437975,-0.565043129665385
"76","86_3_PFM",30,44,37,"86_3_PFM_Bhs1",1570.29412062,74,16,21.2201908191892,51.245,2644.3747005,-0.542425304676115
"77","86_3_PFM",44,72,58,"86_3_PFM_Bhs2",3632.05434006,235,26,15.455550383234,24.045,5931.9756795,-0.549285201318696
"78","86_3_PFM",72,75,73.5,"86_3_PFM_C",2679.08958747,221,37,12.1225773188688,7.575,8862.228726,-0.0841947894885411
