"","pedon","orig_horizon","subdivision","horizon","top cm","base cm","thick","major_color","hue","value","chroma","minor_color","depletion","concentration","texture_modifier","texture_base","structure","consistence","boundary","frags","roots","sample collected","elemental","newname","Si","Al","Fe","Mn","Mg","Ca","Na","K","Ti","P","Ba","Sr","Y","Zr","Co","Ga","Rb","Sn","Cs","La","Ce","Pr","Nd","Sm","Eu","Gd","Dy","Er","Yb","Lu","Th","U"
"52","52_3_X3.1","BC",2,"BC.2",55,75,20,"10YR4/4","10YR",4,4,"5YR2.5/2",NA,NA,NA,"ls","2msbk","fr",NA,15,NA,"Y","Y","52_3_X3.1_BC.2",345061.7815366,59859.4403628,23920.5320262,751.22799062,3980.0764212,10148.681283,16172.639124,18512.349906,3650.03480709,698.2859312,398,117,41,356,22,12,88,3,4.8,32.4,80.6,7.45,29,6.3,1.12,5.9,7.1,4.6,4.6,0.72,11.4,3.4
"53","52_4_PFM","Bh1",NA,"Bh1",15,32,17,"10YR3/1","10YR",3,1,"0",NA,NA,NA,"sl","2msbk","fr","cs",2,"c","Y","Y","52_4_PFM_Bh1",290792.3791573,64146.4559856,33432.7903758,588.59100296,5487.6811262,8361.9416205,13724.48733,20836.770522,4698.89538384,654.6430605,541,132,30,202,31,17,99,3,10,34.6,67.9,8.08,31,6.2,1.19,5.3,5.5,3.3,3.4,0.55,9.8,4.4
"54","52_4_PFM","Bh2",NA,"Bh2",32,63,31,"10YR3/2","10YR",3,2,"0",NA,NA,NA,"sl","2msbk","fr","cs",2,"f","Y","Y","52_4_PFM_Bh2",314725.1388629,56895.57771,32593.4734626,503.4001999,4884.6392442,7647.2457555,12092.386134,18678.37995,4237.39673007,698.2859312,485,115,25,296,27,17,93,4,8.6,28.5,54.7,6.74,25.9,5.4,1,4.9,4.7,2.8,2.8,0.49,8.6,3.7
"55","52_4_X4.1","Oa",NA,"Oa",9,16,7,"5YR2.5/1","5YR",2.5,1,NA,NA,NA,NA,NA,"1mgr",NA,"ab",0,NA,"Y","Y","52_4_X4.1_Oa",297944.1608662,35936.8346652,11400.7214043,317.52935686,844.2586348,4002.296844,9050.742996,16436.974356,2589.18725232,480.0715777,319,61,24,241,19,9,66,5,2.5,22,45.4,5.09,18.8,3.8,0.59,3.4,3.7,2.5,2.4,0.39,6.9,2.1
"56","52_4_X4.1","E",NA,"E",16,26,10,"7.5YR4/2","7.5YR",4,2,"7.5YR3/2",NA,NA,NA,"sl","2msbk","fr","aw",2,"f","Y","Y","52_4_X4.1_E",387084.3420353,44934.2748612,11120.9490999,371.74168608,904.562823,4288.17519,11350.521954,22248.025896,2966.77705995,174.5714828,383,67,26,264,21,11,89,4,3.2,26.6,56.1,6.31,23.4,4.8,0.69,4.3,4.4,3,3.2,0.53,8.6,2.4
"57","52_4_X4.1","Bhs",NA,"Bhs",26,31,5,"7.5YR2.5/1","7.5YR",2.5,1,"0",NA,NA,NA,"sl","2msbk","fr","aw",5,"f","Y","Y","52_4_X4.1_Bhs",311780.287571,48003.9897516,26998.0273746,402.72015992,1628.2130814,5217.2798145,12018.199716,19259.485104,2984.75752698,392.7858363,358,71,24,167,29,16,81,3,3.2,21.8,53.5,5.13,19.6,4.1,0.79,3.7,4.3,2.7,2.7,0.45,7.2,2
"58","52_4_X4.1","Bs1",NA,"Bs1",31,36,5,"7.5YR3/4","7.5YR",3,4,"7.5YR2.5/1, 7.5YR4/6",NA,NA,NA,"sl","2msbk","fi","cw",10,NA,"Y","Y","52_4_X4.1_Bs1",309910.540719,51020.7785232,33642.6196041,449.18787068,2231.2549634,5860.506093,12092.386134,18346.319862,2822.93332371,480.0715777,337,73,24,231,46,15,80,3,3.9,23.1,55.6,5.43,20.1,4.1,0.79,4.1,4,2.5,2.6,0.41,8.2,2.2
"59","52_4_X4.1","Bs2",1,"Bs2.1",36,45,9,"7.5YR2.5/2","7.5YR",2.5,2,"7.5YR3/3",NA,NA,NA,"sl","2msbk","fr","cs",5,NA,"Y","Y","52_4_X4.1_Bs2.1",297803.9298523,54460.9762452,18884.630547,387.230923,2110.646587,5717.56692,12314.945388,17101.094532,2259.54535677,480.0715777,329,73,21,151,17,11,76,2,3.2,21.6,52.3,4.9,18.9,3.9,0.82,3.8,3.9,2.5,2.5,0.4,7.2,2
"60","52_4_X4.1","Bs2",2,"Bs2.2",45,54.5,9.5,"7.5YR2.5/2","7.5YR",2.5,2,"7.5YR3/3",NA,NA,NA,"sl","2msbk","fr","cs",5,NA,"Y","Y","52_4_X4.1_Bs2.2",314491.4205064,54513.902364,22171.9551237,441.44325222,2231.2549634,6575.201958,12314.945388,17267.124576,2475.31096113,611.0001898,335,77,23,222,20,11,75,2,3.4,21.7,52.6,5.06,19.3,4,0.83,3.9,3.9,2.4,2.3,0.36,7.9,2
"61","52_4_X4.1","BC",1,"BC.1",54.5,62,7.5,"10YR3/4","10YR",3,4,"2.5Y4/4",NA,NA,NA,"sl","2msbk","fr",NA,25,NA,"Y","Y","52_4_X4.1_BC.1",333936.7877672,59330.1791748,19374.2320797,433.69863376,2532.7759044,7289.897823,14688.910764,18844.409994,2469.31747212,523.7144484,372,90,24,201,24,11,82,2,3.6,25.7,63.6,6.06,23.1,4.9,0.91,4.7,4.7,2.8,2.8,0.46,9.1,2.5
"62","52_4_X4.1","BC",2,"BC.2",62,69,7,"10YR3/4","10YR",3,4,"2.5Y4/4",NA,NA,NA,"sl","2msbk","fr",NA,25,NA,"Y","Y","52_4_X4.1_BC.2",338938.3605963,59594.8097688,20003.7197646,449.18787068,2472.4717162,7218.4282365,14763.097182,19425.515148,2589.18725232,567.3573191,382,91,31,191,15,11,84,3,3.6,24.8,60.7,5.89,23.1,4.9,0.95,4.9,5.6,3.4,3.3,0.54,8.7,2.7
"63","86_2_PFM","Oa",NA,"Oa",12,19,7,"5YR2.5/1","5YR",2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,"c","Y","Y","86_2_PFM_Oa",61374.4404169,11855.4506112,8253.2829798,92.93542152,482.4335056,1572.330903,2003.033286,3901.706034,1060.84755477,916.5002847,94,21,7,16,26,3,17,4,1.7,10.1,19.2,2.19,8.3,1.6,0.22,1.5,1.4,0.8,0.7,0.11,3.3,1.9
"64","86_2_PFM","E",NA,"E",19,23,4,"10YR4/2","10YR",4,2,NA,NA,NA,NA,"ls","1msbk","fr","as",3,"f","Y","Y","86_2_PFM_E",399471.4149298,39853.3674564,11120.9490999,704.76027986,603.041882,5574.627747,9199.115832,17516.169642,3074.65986213,174.5714828,358,70,42,339,13,12,70,2,2.7,43.5,88.8,10.3,39.6,8,0.96,7.1,7.5,4.6,4.6,0.71,14.5,3.7
"65","86_2_W2.2","Oa",NA,"Oa",11,16,5,"5YR2.5/1","5YR",2.5,1,NA,NA,NA,NA,NA,"1mgr","vfr","aw",0,"c","Y","Y","86_2_W2.2_Oa",19118.1615617,6086.503662,1468.8045981,69.70156614,361.8251292,1429.39173,816.050598,1328.240352,221.75909337,698.2859312,53,15,3,3,2,1,6,1,0.7,3.6,6.2,0.79,3,0.7,0.16,0.5,0.5,0.3,0.3,0.04,0.4,0.4
"66","86_2_W2.2","E",1,"E.1",16,23,7,"7.5YR5/1","7.5YR",5,1,NA,NA,NA,NA,"ls","2msbk","fr","vas",2,"f","Y","Y","86_2_W2.2_E.1",369602.2089691,50809.074048,10841.1767955,418.20939684,3075.5135982,6217.8540255,10979.589864,20089.635324,5130.42659256,174.5714828,390,80,36,253,2,12,80,3,5,33.5,68.5,7.98,30.7,6.3,0.99,5.5,6.1,4,3.9,0.63,10.6,3.1
"67","86_2_W2.2","E",2,"E.2",23,31,8,"7.5YR5/1","7.5YR",5,1,NA,NA,NA,NA,"ls","2msbk","fr","vas",2,"f","Y","Y","86_2_W2.2_E.2",362684.1456167,47845.2113952,19234.3459275,635.05871372,5970.1146318,8004.593688,9644.23434,17682.199686,7090.29749883,305.5000949,349,71,30,303,5,14,78,4,5,32.3,67.9,8.03,32.1,6.7,1.01,6,5.6,3.3,3.1,0.51,9.7,3
"68","86_3_PFM","Oa",NA,"Oa",13,30,17,"5YR2.5/1","5YR",2.5,1,"0",NA,NA,NA,NA,"2mgr",NA,"cs",0,"m","Y","Y","86_3_PFM_Oa",48379.6997955,25298.6847864,5805.2753163,100.68003998,422.1293174,1072.0437975,1706.287614,2822.510748,641.30332407,960.1431554,70,15,9,22,7,3,13,4,1.2,9.7,19.6,2.15,8.2,1.8,0.42,1.7,1.6,0.8,0.7,0.11,2.1,1.7
"69","86_3_PFM","Bhs1",NA,"Bhs1",30,44,14,"5YR2.5/1","5YR",2.5,1,"0",NA,NA,NA,"l","2msbk","fr","cw",0,"c","Y","Y","86_3_PFM_Bhs1",122187.9567782,40806.0375948,16996.1674923,278.80626456,964.8670112,2644.3747005,4673.744334,7305.321936,1570.29412062,1396.5718624,151,31,16,74,7,7,33,2,2.1,16.6,35.6,3.84,15.1,3.3,0.67,2.9,3.5,1.7,1.7,0.27,5.4,4.4
"70","86_3_PFM","Bhs2",NA,"Bhs2",44,72,28,"7.5YR2.5/3","7.5YR",2.5,3,"0",NA,NA,NA,"sl","2msbk","fr","cs",5,"f","Y","Y","86_3_PFM_Bhs2",296448.3633846,55519.4986212,30635.0673318,503.4001999,2834.2968454,5931.9756795,11424.708372,17267.124576,3632.05434006,436.428707,358,81,26,235,14,15,82,3,5.9,25.6,58.7,5.99,23.1,5.1,0.89,4.2,4.8,2.8,2.8,0.45,8.9,3.2
"71","86_3_PFM","C",NA,"C",72,75,3,"7.5YR3/4","7.5YR",3,4,"7.5YR4/6",NA,NA,"gr","ls","1msbk","fi",NA,25,NA,"Y","Y","86_3_PFM_C",360066.5000239,51761.7441864,23011.2720369,782.20646446,3015.20941,8862.228726,14837.2836,18678.37995,2679.08958747,523.7144484,354,93,37,221,13,12,89,2,3.7,23.9,51.5,5.76,22.4,4.9,0.89,4.7,6.3,4.3,4.6,0.75,7.7,2.5
"72","86_3_W3.2","Oa",NA,"Oa",7,12,5,"5YR2.5/1","5YR",2.5,1,"2.5YR2.5/3",NA,NA,NA,NA,"1mgr","vfr","cs",0,"f","Y","Y","86_3_W3.2_Oa",36787.2693131,9050.3663148,3916.8122616,116.1692769,542.7376938,1786.7396625,1409.541942,2324.420616,557.39447793,698.2859312,83,21,4,12,1,2,12,6,1.4,6.4,12,1.42,5.3,1,0.21,0.8,0.8,0.5,0.4,0.07,1.4,0.6
"73","86_3_W3.2","A",NA,"A",12,17,5,"5YR3/1","5YR",3,1,NA,NA,NA,NA,"sl","2msbk","fr","ci",0,"f","Y","Y","86_3_W3.2_A",253023.4927469,49009.5860088,21892.1828193,278.80626456,1809.125646,5646.0973335,11276.335536,17101.094532,3799.87203234,567.3573191,379,78,27,217,3,17,77,4,5.3,27.4,56.6,6.46,23.7,5,0.84,4.3,4.7,3.1,3.2,0.53,8.3,2.8
"74","86_3_W3.2","Bhs1",NA,"Bhs1",17,20,3,"5YR2.5/2","5YR",2.5,2,NA,NA,NA,NA,"sl","2msbk","fr","cs",0,"f","Y","Y","86_3_W3.2_Bhs1",265223.5909562,55519.4986212,37209.7164852,309.7847384,2653.3842808,5789.0365065,11795.640462,18512.349906,4273.35766413,698.2859312,418,80,22,252,3,20,87,5,6.8,30.6,63.6,7.2,27.4,5.5,0.97,4.6,4.3,2.5,2.5,0.43,8.8,3.3
"75","86_3_W3.2","Bhs2",1,"Bhs2.1",20,27,7,"7.5YR3/2","7.5YR",3,2,NA,NA,NA,NA,"ls","2msbk","fr","aw",0,"f","Y","Y","86_3_W3.2_Bhs2.1",296962.5437689,52873.1926812,29376.091962,363.99706762,2351.8633398,6146.384439,12389.131806,18844.409994,3554.13898293,567.3573191,406,83,24,252,4,17,85,4,5.7,27.4,57.3,6.66,24.4,5.1,0.9,4.5,4.4,2.7,2.8,0.41,8.3,2.8
"76","86_3_W3.2","Bhs2",2,"Bhs2.2",27,34,7,"7.5YR3/2","7.5YR",3,2,NA,NA,NA,NA,"ls","2msbk","fr","aw",0,"f","Y","Y","86_3_W3.2_Bhs2.2",297990.9045375,52767.3404436,32243.7580821,402.72015992,2773.9926572,6217.8540255,12166.572552,18346.319862,3470.23013679,567.3573191,397,81,27,255,4,16,88,4,5.8,27.2,56.5,6.36,24.1,4.9,0.9,4.6,4.9,2.8,2.8,0.49,8.3,3.1
"77","86_3_W3.2","Bhs3",1,"Bhs3.1",34,41,7,"7.5YR3/3","7.5YR",3,3,NA,NA,NA,"gr","ls","2msbk","vfr","ab",2,"0","Y","Y","86_3_W3.2_Bhs3.1",349034.9935971,50491.5173352,22241.8981998,441.44325222,2773.9926572,6575.201958,13130.995986,19259.485104,2703.06354351,349.1429656,391,84,23,197,4,14,89,2,4.9,21.2,43.3,5.04,19.9,4,0.79,3.4,3.8,2.3,2.3,0.43,6.6,2.2
"78","86_3_W3.2","Bhs3",2,"Bhs3.2",41,49,8,"7.5YR3/3","7.5YR",3,3,NA,NA,NA,"gr","ls","2msbk","vfr","ab",2,"0","Y","Y","86_3_W3.2_Bhs3.2",345669.4492635,51920.5225428,23221.1012652,418.20939684,2954.9052218,6575.201958,13501.928076,20172.650346,2816.9398347,305.5000949,400,85,26,207,3,12,83,3,5.3,23,47.1,5.47,20.7,4.3,0.77,3.6,4.1,2.7,2.8,0.39,7.5,2.6
"79","86_4_PFM","Oa",NA,"Oa",5,10,5,"5YR2.5/1","5YR",2.5,1,NA,NA,NA,NA,NA,"1sbk","fr","as",0,"m","Y","Y","86_4_PFM_Oa",48192.7251103,15613.205046,4616.2430226,131.65851382,301.520941,1715.270076,1780.474032,2656.480704,647.29681308,523.7144484,105,19,9,31,42,2,10,1,0.6,7.7,15.6,1.69,6.8,1.5,0.31,1.2,1.4,0.9,0.9,0.13,1.5,0.7
"80","86_4_PFM","E",NA,"E",10,16,6,"10YR6/2","10YR",6,2,"0",NA,NA,NA,NA,"1sbk","fr","ci",0,"f","Y","Y","86_4_PFM_E",380960.921095,43028.9345844,19094.4597753,526.63405528,964.8670112,4716.992709,10608.657774,19176.470082,3979.67670264,130.9286121,371,69,32,345,22,14,79,4,2.9,28.8,60.6,7,26.5,5.3,0.76,4.8,5.3,3.6,3.6,0.59,9.5,2.7
"81","86_4_PFM","Bhs",NA,"Bhs",16,21,5,"5YR2.5/1","5YR",2.5,1,"0",NA,NA,NA,NA,"2sbk","fr","ci",5,"f","Y","Y","86_4_PFM_Bhs",282799.211365,45093.0532176,39238.0656921,480.16634452,1929.7340224,5860.506093,10682.844192,15606.824136,3841.82645541,436.428707,320,73,27,202,11,19,66,3,3.8,21.1,44.8,5.01,18.8,4.1,0.66,3.6,4.1,2.6,2.7,0.47,7.4,2.1
"82","86_4_PFM","Bs",NA,"Bs",21,63,42,"7.5YR3/4","7.5YR",3,4,"0",NA,NA,NA,NA,"2sbk","fr","gs",10,"f","Y","Y","86_4_PFM_Bs",283874.3158049,56895.57771,28746.6042771,557.61252912,2713.688469,7075.4890635,11424.708372,14693.658894,3248.47104342,392.7858363,317,81,34,221,11,14,71,2,4.4,24.3,55.3,5.8,21.7,4.8,0.8,4.7,5.7,3.9,3.8,0.61,9.6,2.9
"83","86_4_W4.1","Oa",NA,"Oa",8,15,7,"5YR2.5/2","5YR",2.5,2,"0",NA,NA,NA,NA,"1mgr","vfr","as",0,"m","Y","Y","86_4_W4.1_Oa",89841.3362386,13707.8647692,4476.3568704,178.12622458,542.7376938,2715.844287,2670.711048,5229.946386,863.06241744,785.5716726,154,33,8,36,14,3,22,5,1.3,4.8,9.6,1.1,4.1,0.9,0.16,0.8,0.8,0.5,0.5,0.08,2.1,0.8
"84","86_4_W4.1","E",NA,"E",15,19.5,4.5,"7.5YR5/1","7.5YR",5,1,"0",NA,NA,NA,"ls","2msbk","vfr","aw",5,"f","Y","Y","86_4_W4.1_E",376333.2976363,45357.6838116,10001.8598823,379.48630454,964.8670112,4788.4622955,11647.267626,20504.710434,3440.26269174,174.5714828,391,71,34,316,19,11,80,4,3.2,30.2,63.8,7.16,26.1,5.6,0.73,5.1,5.8,3.8,3.8,0.61,10.1,2.9
"85","86_4_W4.1","Bhs",NA,"Bhs",19.5,24,4.5,"7.5YR2.5/2","7.5YR",2.5,2,"0",NA,NA,NA,"sl","2msbk","fr","cw",10,"f","Y","Y","86_4_W4.1_Bhs",314023.9837934,49750.551672,27907.2873639,433.69863376,1929.7340224,6503.7323715,12537.504642,18512.349906,3865.80041145,349.1429656,374,84,25,291,13,20,83,4,4.5,27.5,60.6,6.51,24.9,5.1,0.82,4.1,4.1,2.7,2.9,0.46,8.5,2.4
"86","86_4_W4.1","Bs",1,"Bs.1",24,33,9,"7.5YR3/4","7.5YR",3,4,"0",NA,NA,NA,"sl","2msbk","fr","cs",10,"f","Y","Y","86_4_W4.1_Bs.1",337068.6137443,54831.4590768,23850.5889501,511.14481836,2954.9052218,7718.715342,14243.792256,19093.45506,3350.36035659,349.1429656,395,97,29,299,28,15,100,4,6,28.5,62.8,6.66,25.7,5.4,0.96,4.7,5.2,3.5,3.3,0.53,9.7,2.7
"87","86_4_W4.1","Bs",2,"Bs.2",33,43,10,"7.5YR3/4","7.5YR",3,4,"0",NA,NA,NA,"sl","2msbk","fr","cs",10,"f","Y","Y","86_4_W4.1_Bs.2",323559.6927386,57477.7650168,22661.5566564,487.91096298,2894.6010336,7432.836996,13872.860166,18678.37995,3146.58173025,349.1429656,388,92,27,243,24,14,96,3,5.7,32.3,69.7,7.39,28,5.9,0.99,5.2,5.3,3.3,3.4,0.54,10,3.1
"88","86_4_W4.1","Bs",3,"Bs.3",43,53,10,"7.5YR3/4","7.5YR",3,4,"0",NA,NA,NA,"sl","2msbk","fr","cs",10,"f","Y","Y","86_4_W4.1_Bs.3",303927.3507926,62399.8940652,22311.8412759,449.18787068,3437.3387274,7146.95865,13947.046584,19010.440038,3074.65986213,523.7144484,399,90,28,229,18,13,89,3,5.8,27.8,59.7,6.56,25,5.4,0.95,5,5.2,3.1,3.2,0.53,9.6,3
"89","86_4_W4.1","BC",1,"BC.1",53,62,9,"10YR3/4","10YR",3,4,"5YR3/3",NA,NA,NA,"sl","2mabk","fr","gs",20,"0","Y","Y","86_4_W4.1_BC.1",314117.471136,66792.7619256,20843.0366778,441.44325222,3980.0764212,7647.2457555,15059.842854,20255.665368,3104.62730718,523.7144484,424,98,26,227,19,13,100,3,6.6,30.2,66.8,7.12,26.4,5.6,1.05,5.2,5,3,3,0.47,10,2.9
"90","86_4_W4.1","BC",2,"BC.2",62,82,20,"10YR3/4","10YR",3,4,"5YR3/3",NA,NA,NA,"sl","2mabk","fr","gs",20,"0","Y","Y","86_4_W4.1_BC.2",333890.0440959,62611.5985404,19723.9474602,549.86791066,3678.5554802,8433.411207,16543.571214,20670.740478,3110.62079619,611.0001898,412,100,34,265,21,12,93,3,5.1,34.3,80.2,7.95,29.6,6.2,0.98,5.9,6.1,3.7,3.8,0.61,11.5,3.1
"91","86_4_W4.1","D",1,"D.1",82,92,10,"10YR5/3","10YR",5,3,"5YR3/3",NA,NA,"gr","sl","2mpl",NA,NA,30,NA,"Y","Y","86_4_W4.1_D.1",340434.1580779,62452.820184,19304.2890036,565.35714758,3557.9471038,8433.411207,16914.503304,22248.025896,2739.02447757,654.6430605,421,101,32,232,27,13,103,3,5.3,29.9,75.5,7.06,26.5,5.7,1.04,5.4,5.8,3.6,3.5,0.58,10.4,2.7
