"","pedon","orig_horizon","subdivision","horizon","top cm","base cm","thick","major_color","hue","value","chroma","minor_color","depletion","concentration","texture_modifier","texture_base","structure","consistence","boundary","frags","roots","sample collected","elemental","newname","Si","Al","Fe","Mn","Mg","Ca","Na","K","Ti","P","Ba","Sr","Y","Zr","Co","Ga","Rb","Sn","Cs","La","Ce","Pr","Nd","Sm","Eu","Gd","Dy","Er","Yb","Lu","Th","U"
"13","42_3_V3.1","Bhs1",NA,"Bhs1",13,21,8,"5YR3/2","5YR",3,2,"0",NA,NA,NA,"sl","1mgr","fr","cs",2,"c","Y","Y","42_3_V3.1_Bhs1",323185.7433682,46574.984544,19444.1751558,1742.5391535,1567.9088932,4931.4014685,10015.16643,17765.214708,3644.04131808,1658.4290866,376,73,27,260,12,12,79,4,5.3,26.7,55.3,6.17,22.9,4.8,0.76,4.4,4.6,3,3.1,0.5,8.9,3.2
"14","42_3_V3.1","Bhs2",1,"Bhs2.1",21,28,7,"7.5YR2.5/3","7.5YR",2.5,3,"0",NA,NA,NA,"sl","2msbk","fr","gw",5,"c","Y","Y","42_3_V3.1_Bhs2.1",316033.9616593,50385.6650976,25948.8812331,1827.72995656,1628.2130814,4716.992709,9644.23434,17599.184664,3973.68321363,1963.9291815,377,72,32,288,13,13,74,5,5.1,27.8,57.7,6.5,24,4.9,0.84,4.8,5.4,3.5,3.6,0.56,9.4,3.1
"15","42_3_V3.1","Bhs2",2,"Bhs2.2",28,35,7,"7.5YR2.5/3","7.5YR",2.5,3,"0",NA,NA,NA,"sl","2msbk","fr","gw",5,"c","Y","Y","42_3_V3.1_Bhs2.2",282051.3126242,56736.7993536,32943.1888431,1587.6467843,2231.2549634,6003.445266,10682.844192,16353.959334,3098.63381817,2836.7865955,338,73,22,174,20,15,73,3,4,22.7,48.5,5.32,19.6,4.2,0.89,3.7,3.9,2.3,2.5,0.39,8.5,2.5
"16","42_3_V3.1","Bhs3",1,"Bhs3.1",35,45,10,"7.5YR3/3","7.5YR",3,3,"0",NA,NA,NA,"ls","2mabk","fr","gs",10,"f","Y","Y","42_3_V3.1_Bhs3.1",291867.4835972,57848.2478484,31264.5550167,1355.3082305,2713.688469,6575.201958,11795.640462,17184.109554,2733.03098856,2662.2151127,348,78,26,186,22,13,78,2,4,26.4,56.5,6.21,23,4.8,0.91,4.5,4.7,2.9,3,0.47,9.5,2.7
"17","42_3_V3.1","Bhs3",2,"Bhs3.2",45,55,10,"7.5YR3/3","7.5YR",3,3,"0",NA,NA,NA,"ls","2mabk","fr","gs",10,"f","Y","Y","42_3_V3.1_Bhs3.2",311032.3888302,57160.208304,27347.7427551,1091.99120286,2713.688469,7647.2457555,13353.55524,17433.15462,2840.91379074,2269.4292764,352,84,30,250,21,12,78,3,3.6,28.2,60.5,6.68,25.3,5.4,0.96,5.1,5.6,3.4,3.5,0.57,10.1,2.8
"18","42_3_V3.1","Bhs3",3,"Bhs3.3",55,62,7,"7.5YR3/3","7.5YR",3,3,"0",NA,NA,NA,"ls","2mabk","fr","gs",10,"f","Y","Y","42_3_V3.1_Bhs3.3",320100.6610624,58165.8045612,23780.645874,960.33268904,2834.2968454,8647.8199665,14688.910764,18595.364928,2751.01145559,1963.9291815,369,91,31,233,13,12,85,2,3.7,27.5,60.4,6.5,24,5.2,1.01,5.1,5.4,3.4,3.4,0.56,9.4,2.8
"19","42_3_V3.1","BC",1,"BC.1",62,67,5,"10YR4/4","10YR",4,4,"7.5Y2.5/3",NA,NA,"gr","ls","1mabk","vfr","cs",25,"f","Y","Y","42_3_V3.1_BC.1",332487.7339569,58165.8045612,19863.8336124,751.22799062,2593.0800926,8433.411207,15801.707034,20421.695412,2343.45420291,1745.714828,389,93,31,160,14,11,88,2,3.6,27,58.5,6.37,24.1,5.2,0.96,4.9,5.3,3.4,3.3,0.54,9.1,2.4
"20","42_3_V3.1","BC",2,"BC.2",67,77,10,"10YR4/4","10YR",4,4,"7.5Y2.5/3",NA,NA,"gr","ls","1mabk","vfr","cs",25,"f","Y","Y","42_3_V3.1_BC.2",340434.1580779,57213.1344228,20353.4351451,604.08023988,2773.9926572,8862.228726,15430.774944,19757.575236,2367.42815895,1440.2147331,383,95,31,229,36,12,93,3,3.8,26.5,57,6.3,24.7,5.3,0.94,4.9,5.4,3.2,3.2,0.48,9.3,2.6
"21","42_3_V3.1","BC",3,"BC.3",77,82,5,"10YR4/4","10YR",4,4,"7.5Y2.5/3",NA,NA,"gr","ls","1mabk","vfr","cs",25,"f","Y","Y","42_3_V3.1_BC.3",352026.5885603,59965.2926004,17345.8828728,487.91096298,2834.2968454,9219.5766585,17062.87614,21915.965808,2313.48675786,1091.0717675,412,101,32,193,34,11,97,3,3.8,27.2,58.4,6.44,24.6,5.4,0.99,5.1,5.7,3.5,3.5,0.55,9.2,2.4
"22","42_4_PFM","E",NA,"E",9,11.5,2.5,"10YR4/2","10YR",4,2,"0",NA,NA,NA,"sl","2msbk","fr","aw",2,"f","Y","Y","42_4_PFM_E",359552.3196396,46998.3934944,15737.1921225,410.46477838,1266.3879522,5789.0365065,11795.640462,20089.635324,3128.60126322,349.1429656,404,79,24,233,24,14,83,4,4.2,21.3,45.2,5.21,19.8,4,0.74,3.6,3.8,2.5,2.8,0.47,7,2
