"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Ce","Al","K","Mn","tau_Ce","tau_Al","tau_K","tau_Mn"
"12","42_3_V3.1",9,13,11,"42_3_V3.1_Oa",1851.98810409,93,13,19.9138505816129,27.4,28050.842964,9131.65242,960.33268904,-0.42644472574263,-0.383774984476606,-0.485428490948341,1.25109029726737
"13","42_3_V3.1",13,21,17,"42_3_V3.1_Bhs1",3644.04131808,260,27,14.0155435310769,55.3,46574.984544,17765.214708,1742.5391535,-0.411692010425011,-0.480002773643491,-0.491229730748355,1.07591061276414
"14","42_3_V3.1",21,28,24.5,"42_3_V3.1_Bhs2.1",3973.68321363,288,32,13.7975111584375,57.7,50385.6650976,17599.184664,1827.72995656,-0.437081555233515,-0.484123963782447,-0.537795825929575,0.996770651947714
"15","42_3_V3.1",28,35,31.5,"42_3_V3.1_Bhs2.2",3098.63381817,174,22,17.8082403343103,48.5,56736.7993536,16353.959334,1587.6467843,-0.393215623709351,-0.255051626064401,-0.449208519948978,1.22429829163913
"16","42_3_V3.1",35,45,40,"42_3_V3.1_Bhs3.1",2733.03098856,186,26,14.6937149922581,56.5,57848.2478484,17184.109554,1355.3082305,-0.198567777914723,-0.138853078170206,-0.343828998535262,1.15279619101466
"17","42_3_V3.1",45,55,50,"42_3_V3.1_Bhs3.2",2840.91379074,250,30,11.36365516296,60.5,57160.208304,17433.15462,1091.99120286,-0.174417977562875,-0.18140827887721,-0.35959828879244,0.66867008917997
"18","42_3_V3.1",55,62,58.5,"42_3_V3.1_Bhs3.3",2751.01145559,233,31,11.806916118412,60.4,58165.8045612,18595.364928,960.33268904,-0.148847366010699,-0.139785138954228,-0.294581470181825,0.515439873323783
"19","42_3_V3.1",62,67,64.5,"42_3_V3.1_BC.1",2343.45420291,160,31,14.6465887681875,58.5,58165.8045612,20421.695412,751.22799062,-0.0322519540842924,0.00981744557547182,-0.0905687354323921,0.391632899100627
"20","42_3_V3.1",67,77,72,"42_3_V3.1_BC.2",2367.42815895,229,31,10.3381142312227,57,57213.1344228,19757.575236,604.08023988,-0.0666147052115815,-0.0167803882958494,-0.129053672757719,0.107712910264151
