"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Ce","Al","K","Mn","tau_Ce","tau_Al","tau_K","tau_Mn"
"21","42_4_PFM",9,11.5,10.25,"42_4_PFM_E",3128.60126322,233,24,13.4274732327039,45.2,46998.3934944,20089.635324,410.46477838,-0.439918631002473,-0.388826666451618,-0.329874115223529,-0.430445776196582
"22","42_4_PFM",11.5,16,13.75,"42_4_PFM_Bhs1",3398.30826867,180,22,18.8794903815,45.2,44881.3487424,16686.019422,433.69863376,-0.484369533303864,-0.462677870062141,-0.487581820495599,-0.445968218354746
"23","42_4_PFM",16,36,26,"42_4_PFM_Bhs2",3416.2887357,246,23,13.8873525841463,46.5,55837.055334,17101.094532,487.91096298,-0.472331351122614,-0.33503384993198,-0.477599125403918,-0.379994696987778
"24","42_4_PFM",36,45,40.5,"42_4_PFM_Bh",2631.14167539,195,26,13.4930342327692,48.5,58906.7702244,17350.139598,565.35714758,-0.2854042766691,-0.0891380123618892,-0.311833865685127,-0.0672010464497759
"25","42_4_PFM",45,50.5,47.75,"42_4_PFM_BC",2397.395604,214,27,11.2027831962617,58.4,57371.9127792,18180.289818,542.1232922,-0.0556433342026653,-0.0263761023601223,-0.208600713885572,-0.0183249368973154
