"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Ce","Al","K","Mn","tau_Ce","tau_Al","tau_K","tau_Mn"
"75","86_4_PFM",5,10,7.5,"86_4_PFM_Oa",647.29681308,31,9,20.8805423574194,15.6,15613.205046,2656.480704,131.65851382,-0.0657049729554524,-0.0186584330881373,-0.57171017832468,-0.117011848002876
"76","86_4_PFM",10,16,13,"86_4_PFM_E",3979.67670264,345,32,11.5352947902609,60.6,43028.9345844,19176.470082,526.63405528,-0.409679671281167,-0.56010968480126,-0.497130343036714,-0.425525780628377
"77","86_4_PFM",16,21,18.5,"86_4_PFM_Bhs",3841.82645541,202,27,19.0189428485644,44.8,45093.0532176,15606.824136,480.16634452,-0.547932611419223,-0.522466878442254,-0.576053210837768,-0.457420513373154
"78","86_4_PFM",21,63,42,"86_4_PFM_Bs",3248.47104342,221,34,14.6989639973756,55.3,56895.57771,14693.658894,557.61252912,-0.340053030144662,-0.287424129598679,-0.527952708075102,-0.254817031698542
