"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Ce","Al","K","Mn","tau_Ce","tau_Al","tau_K","tau_Mn"
"64","86_3_PFM",13,30,21.5,"86_3_PFM_Oa",641.30332407,22,9,29.1501510940909,19.6,25298.6847864,2822.510748,100.68003998,0.184828488645997,0.604966800261619,-0.540689186567822,-0.318463240569565
"65","86_3_PFM",30,44,37,"86_3_PFM_Bhs1",1570.29412062,74,16,21.2201908191892,35.6,40806.0375948,7305.321936,278.80626456,-0.121115306326855,0.0572434932541981,-0.514495889169579,-0.229219143474446
"66","86_3_PFM",44,72,58,"86_3_PFM_Bhs2",3632.05434006,235,26,15.455550383234,58.7,55519.4986212,17267.124576,503.4001999,-0.373460189403866,-0.378093926281934,-0.503862285782055,-0.398313256938477
"67","86_3_PFM",72,75,73.5,"86_3_PFM_C",2679.08958747,221,37,12.1225773188688,51.5,51761.7441864,18678.37995,782.20646446,-0.254782748175619,-0.213944400231308,-0.272410328110299,0.267487138042456
