"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Ce","Al","K","Mn","tau_Ce","tau_Al","tau_K","tau_Mn"
"61","86_2_W2.2",11,16,13.5,"86_2_W2.2_Oa",221.75909337,3,3,73.91969779,6.2,6086.503662,1328.240352,69.70156614,0.0838599274238203,0.116652520480562,-0.374928368365749,0.364490435200643
"62","86_2_W2.2",16,23,19.5,"86_2_W2.2_E.1",5130.42659256,253,36,20.278365978498,68.5,50809.074048,20089.635324,418.20939684,-0.482393166631054,-0.597079464369468,-0.591348467461077,-0.646125144141889
"63","86_2_W2.2",23,31,27,"86_2_W2.2_E.2",7090.29749883,303,30,23.4003217783168,67.9,47845.2113952,17682.199686,635.05871372,-0.628748494032822,-0.725460005843406,-0.739740620831069,-0.611170848088781
