"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Ce","Al","K","Mn","tau_Ce","tau_Al","tau_K","tau_Mn"
"51","52_4_X4.1",9,16,12.5,"52_4_X4.1_Oa",2589.18725232,241,24,10.7435155697925,45.4,35936.8346652,16436.974356,317.52935686,-0.32024047711823,-0.435312776327835,-0.337489182095989,-0.467610084825264
"52","52_4_X4.1",16,26,21,"52_4_X4.1_E",2966.77705995,264,26,11.23779189375,56.1,44934.2748612,22248.025896,371.74168608,-0.266937748011201,-0.383796124271306,-0.217397689484187,-0.456041523475569
"53","52_4_X4.1",26,31,28.5,"52_4_X4.1_Bhs",2984.75752698,167,24,17.8727995627545,53.5,48003.9897516,19259.485104,402.72015992,-0.305123485446479,-0.345665410602284,-0.326604557486394,-0.414261580248542
"54","52_4_X4.1",31,36,33.5,"52_4_X4.1_Bs1",2822.93332371,231,24,12.2204905788312,55.6,51020.7785232,18346.319862,449.18787068,-0.236450707932237,-0.264677151287719,-0.321760783987092,-0.309224705369054
"55","52_4_X4.1",36,45,40.5,"52_4_X4.1_Bs2.1",2259.54535677,151,21,14.9638765349007,52.3,54460.9762452,17101.094532,387.230923,-0.102687881595861,-0.0193908104657725,-0.210163133899824,-0.256024961650106
"56","52_4_X4.1",45,54.5,49.75,"52_4_X4.1_Bs2.2",2475.31096113,222,23,11.1500493744595,52.6,54513.902364,17267.124576,441.44325222,-0.1762055023228,-0.103997735435009,-0.272011005287954,-0.225797598106496
"57","52_4_X4.1",54.5,62,58.25,"52_4_X4.1_BC.1",2469.31747212,201,24,12.2851615528358,63.6,59330.1791748,18844.409994,433.69863376,-0.00151143861034519,-0.0224694682994454,-0.203583641672318,-0.23753393157073
"58","52_4_X4.1",62,69,65.5,"52_4_X4.1_BC.2",2589.18725232,191,31,13.5559542006283,60.7,59594.8097688,19425.515148,449.18787068,-0.09115852337173,-0.0635672844552905,-0.217032669749805,-0.246863046825983
