"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Ce","Al","K","Mn","tau_Ce","tau_Al","tau_K","tau_Mn"
"68","86_3_W3.2",7,12,9.5,"86_3_W3.2_Oa",557.39447793,12,4,46.4495398275,12,9050.3663148,2324.420616,116.1692769,-0.165394020506111,-0.339405283115426,-0.564802277975078,-0.0952303565873874
"69","86_3_W3.2",12,17,14.5,"86_3_W3.2_A",3799.87203234,217,27,17.5109310246083,56.6,49009.5860088,17101.094532,278.80626456,-0.422555342421145,-0.475260613678439,-0.530333598549264,-0.681475418912153
"70","86_3_W3.2",17,20,18.5,"86_3_W3.2_Bhs1",4273.35766413,252,22,16.9577685084524,63.6,55519.4986212,18512.349906,309.7847384,-0.423033257654225,-0.471423449266272,-0.547907956467899,-0.685297515334743
"71","86_3_W3.2",20,27,23.5,"86_3_W3.2_Bhs2.1",3554.13898293,252,24,14.1037261227381,57.3,52873.1926812,18844.409994,363.99706762,-0.374995530617625,-0.394752883429533,-0.446671939913988,-0.555396502377006
"72","86_3_W3.2",27,34,30.5,"86_3_W3.2_Bhs2.2",3470.23013679,255,27,13.6087456344706,56.5,52767.3404436,18346.319862,402.72015992,-0.368820218875844,-0.381359242652137,-0.448271725834059,-0.496204260731906
"73","86_3_W3.2",34,41,37.5,"86_3_W3.2_Bhs3.1",2703.06354351,197,23,13.7211347386294,43.3,50491.5173352,19259.485104,441.44325222,-0.378995783661504,-0.240034692607291,-0.256428092302049,-0.291029729529895
"74","86_3_W3.2",41,49,45,"86_3_W3.2_Bhs3.2",2816.9398347,207,26,13.6084049985507,47.1,51920.5225428,20172.650346,418.20939684,-0.351804153904773,-0.250117732916134,-0.252657042550059,-0.355496007203101
