"","X","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Al","Si","Mn","Ca","P","K","Ce","tau_Fe","tau_Al","tau_Si","tau_Mn","tau_Ca","tau_P","tau_K","tau_Ce","LV","Hor","Cat"
"73",73,"86_3_W3.2",12,17,14.5,"86_3_W3.2_A",3799.87203234,217,27,17.5109310246083,21892.1828193,49009.5860088,253023.4927469,278.80626456,5646.0973335,567.3573191,17101.094532,56.6,-0.270276862722423,-0.475260613678439,-0.530357175575115,-0.681475418912153,-0.588283612087561,-0.424402884155083,-0.530333598549264,-0.422555342421145,"L","A","LA"
"74",74,"86_3_W3.2",17,20,18.5,"86_3_W3.2_Bhs1",4273.35766413,252,22,16.9577685084524,37209.7164852,55519.4986212,265223.5909562,309.7847384,5789.0365065,698.2859312,18512.349906,63.6,0.102872072402885,-0.471423449266272,-0.562257490191311,-0.685297515334743,-0.624633241875914,-0.370066118984698,-0.547907956467899,-0.423033257654225,"L","Bhs","LBhs"
"75",75,"86_3_W3.2",20,27,23.5,"86_3_W3.2_Bhs2.1",3554.13898293,252,24,14.1037261227381,29376.091962,52873.1926812,296962.5437689,363.99706762,6146.384439,567.3573191,18844.409994,57.3,0.0468817621681774,-0.394752883429533,-0.410690986098297,-0.555396502377006,-0.520814047120673,-0.384606118978622,-0.446671939913988,-0.374995530617625,"L","Bhs","LBhs"
"76",76,"86_3_W3.2",27,34,30.5,"86_3_W3.2_Bhs2.2",3470.23013679,255,27,13.6087456344706,32243.7580821,52767.3404436,297990.9045375,402.72015992,6217.8540255,567.3573191,18346.319862,56.5,0.176861616782635,-0.381359242652137,-0.394351637435471,-0.496204260731906,-0.503520856026883,-0.369726128763943,-0.448271725834059,-0.368820218875844,"L","Bhs","LBhs"
"77",77,"86_3_W3.2",34,41,37.5,"86_3_W3.2_Bhs3.1",2703.06354351,197,23,13.7211347386294,22241.8981998,50491.5173352,349034.9935971,441.44325222,6575.201958,349.1429656,19259.485104,43.3,0.0422061103320763,-0.240034692607291,-0.0892723303602635,-0.291029729529895,-0.325981827327268,-0.502058916669722,-0.256428092302049,-0.378995783661504,"L","Bhs","LBhs"
"78",78,"86_3_W3.2",41,49,45,"86_3_W3.2_Bhs3.2",2816.9398347,207,26,13.6084049985507,23221.1012652,51920.5225428,345669.4492635,418.20939684,6575.201958,305.5000949,20172.650346,47.1,0.0441028055148027,-0.250117732916134,-0.134515603759914,-0.355496007203101,-0.353229370477868,-0.581914893597424,-0.252657042550059,-0.351804153904773,"L","Bhs","LBhs"
"79",79,"86_4_PFM",5,10,7.5,"86_4_PFM_Oa",647.29681308,31,9,20.8805423574194,4616.2430226,15613.205046,48192.7251103,131.65851382,1715.270076,523.7144484,2656.480704,15.6,-0.0967182890710291,-0.0186584330881373,-0.47488571621709,-0.117011848002876,-0.265743488223666,2.11904761919382,-0.57171017832468,-0.0657049729554524,"V","Oa","VOa"
"80",80,"86_4_PFM",10,16,13,"86_4_PFM_E",3979.67670264,345,32,11.5352947902609,19094.4597753,43028.9345844,380960.921095,526.63405528,4716.992709,130.9286121,19176.470082,60.6,-0.392288290319693,-0.56010968480126,-0.3248372842694,-0.425525780628377,-0.671575024100044,-0.873171256448444,-0.497130343036714,-0.409679671281167,"V","E","VE"
"81",81,"86_4_PFM",16,21,18.5,"86_4_PFM_Bhs",3841.82645541,202,27,19.0189428485644,39238.0656921,45093.0532176,282799.211365,480.16634452,5860.506093,436.428707,15606.824136,44.8,0.293623417523862,-0.522466878442254,-0.480822016666258,-0.457420513373154,-0.577315674188039,-0.562068196993067,-0.576053210837768,-0.547932611419223,"V","Bhs","VBhs"
"82",82,"86_4_PFM",21,63,42,"86_4_PFM_Bs",3248.47104342,221,34,14.6989639973756,28746.6042771,56895.57771,283874.3158049,557.61252912,7075.4890635,392.7858363,14693.658894,55.3,0.120845034795795,-0.287424129598679,-0.383656363247322,-0.254817031698542,-0.396473660523327,-0.533869267242252,-0.527952708075102,-0.340053030144662,"V","Bs","VBs"
"83",83,"86_4_W4.1",8,15,11.5,"86_4_W4.1_Oa",863.06241744,36,8,23.97395604,4476.3568704,13707.8647692,89841.3362386,178.12622458,2715.844287,785.5716726,5229.946386,9.6,-0.343067846597112,-0.353811527550409,-0.265807720588687,-0.104026728120566,-0.128070392265604,2.50892857159305,-0.367603310182535,-0.568786910594824,"V","Oa","VOa"
"84",84,"86_4_W4.1",15,19.5,17.25,"86_4_W4.1_E",3440.26269174,316,34,10.8869072523418,10001.8598823,45357.6838116,376333.2976363,379.48630454,4788.4622955,174.5714828,20504.710434,63.8,-0.631763204952301,-0.463597412938674,-0.228462825470501,-0.521134115559666,-0.614323452438041,-0.804380288691677,-0.37799111046326,-0.281061103552695,"V","E","VE"
"85",85,"86_4_W4.1",19.5,24,21.75,"86_4_W4.1_Bhs",3865.80041145,291,25,13.2845374963918,27907.2873639,49750.551672,314023.9837934,433.69863376,6503.7323715,349.1429656,18512.349906,60.6,-0.0856421074148177,-0.476411531347301,-0.427073108951214,-0.512967410553707,-0.533832493686188,-0.651827242508597,-0.500245539475367,-0.392290390280148,"V","Bhs","VBhs"
"86",86,"86_4_W4.1",24,33,28.5,"86_4_W4.1_Bs.1",3350.36035659,299,29,11.205218583913,23850.5889501,54831.4590768,337068.6137443,511.14481836,7718.715342,349.1429656,19093.45506,62.8,-0.0983341776415638,-0.334159999765717,-0.290417968141939,-0.337689198417816,-0.361630295664941,-0.598262202894535,-0.405259438147643,-0.273340375277861,"V","Bs","VBs"
"87",87,"86_4_W4.1",33,43,38,"86_4_W4.1_Bs.2",3146.58173025,243,27,12.9488960092593,22661.5566564,57477.7650168,323559.6927386,487.91096298,7432.836996,349.1429656,18678.37995,69.7,-0.0878027812748471,-0.256822665375571,-0.274744195070358,-0.326851385301016,-0.345462766645097,-0.572244897939133,-0.380509365076769,-0.14126993338455,"V","Bs","VBs"
"88",88,"86_4_W4.1",43,53,48,"86_4_W4.1_Bs.3",3074.65986213,229,28,13.4264622800437,22311.8412759,62399.8940652,303927.3507926,449.18787068,7146.95865,523.7144484,19010.440038,59.7,-0.0808712415108717,-0.174307434512695,-0.302814217539134,-0.365779407853459,-0.355915340547076,-0.343358395959195,-0.354747571291787,-0.24726837902079,"V","Bs","VBs"
"89",89,"86_4_W4.1",53,62,57.5,"86_4_W4.1_BC.1",3104.62730718,227,26,13.676772278326,20843.0366778,66792.7619256,314117.471136,441.44325222,7647.2457555,523.7144484,20255.665368,66.8,-0.14966600606827,-0.12471088146182,-0.286394094652108,-0.382730517409233,-0.317481640115242,-0.349696635380439,-0.319118401255548,-0.165877383042498,"V","BC","VBC"
"90",90,"86_4_W4.1",62,82,72,"86_4_W4.1_BC.2",3110.62079619,265,34,11.7381916837359,19723.9474602,62611.5985404,333890.0440959,549.86791066,8433.411207,611.0001898,20670.740478,80.2,-0.196871962747337,-0.181084066784709,-0.242936663735149,-0.23260193250437,-0.248766459049647,-0.242774566438494,-0.30650470348671,-0.000482954615748765,"V","BC","VBC"
"91",91,"86_4_W4.1",82,92,87,"86_4_W4.1_D.1",2739.02447757,232,32,11.8061399895259,19304.2890036,62452.820184,340434.1580779,565.35714758,8433.411207,654.6430605,22248.025896,75.5,-0.107319765288417,-0.0723423262452414,-0.123376655178694,-0.103941486633373,-0.146848560715026,-0.0786183181812562,-0.152323536749831,0.0685969885150144,"V","D","VD"
