"","Pit","Inc","Approx. horizon","Horizon no.","Top depth","Bottom depth","Oriented","Weight","Bulk/Ind","Kinsman","Rangeley","Ammonoosuc","Other","TS","Elemental","Comment","newname","Si","Al","Fe","Mn","Mg","Ca","Na","K","Ti","P","Ba","Sr","Y","Zr","Co","Ga","Rb","Sn","Cs","La","Ce","Pr","Nd","Sm","Eu","Gd","Dy","Er","Yb","Lu","Th","U"
"1","42_3_V3.1","RF10","Cd",NA,103,111,"Y","311.1","Ind",311.1,NA,NA,NA,"1","Y",NA,"V3.1_RF10",312902.1356822,81770.853546,42595.3333449,712.50489832,8080.7612188,9219.5766585,17359.621812,36194.549592,4297.33162017,698.2859312,414,102,53,233,29,21,215,7,15.4,38.4,81.3,9.48,36.6,8.1,1.27,7.7,9,5.5,5.5,0.84,12.5,3.5
"2","42_4_V4.1","RF7","D",9,180,184,"N","157.2","Ind",NA,NA,157.2,NA,"Y","Y","RF9; No sister; Deep (cored)","V4.1_RF7",376146.3229511,43399.417416,30984.7827123,588.59100296,6452.5481374,2001.148422,5638.167768,15689.839158,2757.0049446,349.1429656,266,28,16,158,33,11,85,2,2,18.2,67.9,4.92,18.7,4,0.85,3.3,3.3,1.9,1.9,0.31,7.1,1.4
"3","42_4_V4.1","RF8","D",10,200,205,"N","311.7","Ind",311.7,NA,NA,NA,"Y","Y","RF10; Deep (cored)","V4.1_RF8",327486.1611278,82194.2624964,19164.4028514,371.74168608,2593.0800926,6932.5498905,22033.366146,49227.908046,1576.28760963,392.7858363,594,90,32,142,45,20,285,9,13.3,52.2,107,12.8,46.5,9.8,1.09,8,6.2,3.1,2.8,0.44,25,4.7
"4","52_3_X3.1","RF7","D",1,105,120,"N","25.2","Ind",25.2,NA,NA,NA,"Y","Y","Check whether kinsman","X3.1_RF7",331132.1674892,79600.8826752,27767.4012117,441.44325222,5668.5936908,5002.871055,15950.07987,29553.347832,3044.69241708,698.2859312,254,80,22,151,38,24,155,8,4.3,30.7,63.3,7.42,28.1,6.1,0.86,5,4.3,2.1,2.1,0.31,10,3
"5","52_3_X3.1","RF8","D",2,160,180,"N","28.2","Ind",28.2,NA,NA,NA,"Y","Y","Check whether kinsman","X3.1_RF8",327252.4427713,86057.8691688,8882.7706647,247.82779072,1929.7340224,6503.7323715,21068.942712,63589.506852,719.2186812,785.5716726,493,112,14,60,73,16,237,4,9.7,13.8,29.2,3.24,12,2.7,1.01,2.6,2.6,1.1,0.9,0.14,6.8,1.9
"6","52_4_X4.1","RF9","D",NA,109,114,"Y","226.8","Ind",NA,NA,226.8,NA,"Y","Y",NA,"X4.1_RF9",257510.8851917,78754.0647744,91345.6573866,1564.41292892,11819.6208872,29588.408811,16024.266288,26398.776996,16416.16639839,2487.6436299,883,330,56,476,29,26,131,2,13.8,73.5,150,18,70.8,14.7,3.54,13.1,11.5,5.8,4.8,0.74,14.1,1.7
"7","52_4_X4.1","RF10","D",NA,111,111,"Y","127.3","Ind",127.3,NA,NA,NA,"Y","Y",NA,"X4.1_RF10",309443.104006,80553.5528136,48540.4948134,735.7387537,8623.4989126,11220.7250805,16098.452706,33870.128976,5052.51123543,960.1431554,540,113,35,265,54,21,200,4,14.4,44.8,94.2,11.1,42.5,9.3,1.57,8,6.8,3.3,3,0.45,14.3,3.1
"8","86_4_W4.1","RF11","D",4,125,135,"N","108.1","Ind",108.1,NA,NA,NA,"Y","Y","check whether kinsman","W4.1_RF11",316594.8857149,80183.069982,33852.4488324,635.05871372,6633.460702,7504.3065825,16395.198378,35198.369328,3877.78738947,1003.7860261,428,101,34,207,62,20,225,13,13.8,36.4,78.5,8.91,34.2,7.5,1.18,6.8,6.7,3.8,3.5,0.52,11.8,2.9
