"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Cax","Ca","tau_Ca"
"79","86_3_W3.2",7,12,9.5,"86_3_W3.2_Oa",557.39447793,12,4,46.4495398275,598.835,1786.7396625,-0.409475814192549
"80","86_3_W3.2",12,17,14.5,"86_3_W3.2_A",3799.87203234,217,27,17.5109310246083,87.175,5646.0973335,-0.59464045894943
"81","86_3_W3.2",17,20,18.5,"86_3_W3.2_Bhs1",4273.35766413,252,22,16.9577685084524,39.205,5789.0365065,-0.627175332210934
"82","86_3_W3.2",20,27,23.5,"86_3_W3.2_Bhs2.1",3554.13898293,252,24,14.1037261227381,24.535,6146.384439,-0.522726850895083
"83","86_3_W3.2",27,34,30.5,"86_3_W3.2_Bhs2.2",3470.23013679,255,27,13.6087456344706,29.965,6217.8540255,-0.505913481760479
"84","86_3_W3.2",34,41,37.5,"86_3_W3.2_Bhs3.1",2703.06354351,197,23,13.7211347386294,14.085,6575.201958,-0.327425668295612
"85","86_3_W3.2",41,49,45,"86_3_W3.2_Bhs3.2",2816.9398347,207,26,13.6084049985507,14.215,6575.201958,-0.354627630874641
