"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Al","Si","Mn","Ca","P","K","Ce","tau_Fe","tau_Al","tau_Si","tau_Mn","tau_Ca","tau_P","tau_K","tau_Ce"
"8","42_3_PFM",5.5,8.5,7,"42_3_PFM_Oa",2265.53884578,181,15,12.5167892032044,18185.199786,33449.3070816,231661.6349628,480.16634452,4073.7664305,1963.9291815,11622.10308,39.5,0.0166807135997076,-0.399314411343054,-0.27879551325257,-0.0799115054819888,-0.501754509866059,2.34183673485052,-0.464637722905849,-0.324090593987919
"9","42_3_PFM",8.5,30.5,19.5,"42_3_PFM_Bhs1",3170.55568629,230,20,13.785024723,31474.384245,46469.1323064,306825.4584132,1068.75734748,5574.627747,2618.572242,16769.034444,51.6,0.257360690586813,-0.403705534966195,-0.317454162649528,0.463366553693443,-0.512809006363907,2.18390494208821,-0.448040480288942,-0.369075744424185
"10","42_3_PFM",30.5,41.5,36,"42_3_PFM_Bhs2",3566.12596095,290,25,12.2969860722414,28746.6042771,53190.749394,305189.4299177,1765.77300888,5360.2189875,2182.143535,16270.944312,52.4,0.0210050569064215,-0.393164428585024,-0.396400842532891,1.14955019819844,-0.583509961807542,1.35894357754155,-0.523842492372732,-0.430363885256356
"11","42_3_PFM",41.5,60,50.75,"42_3_PFM_Bhs3",3398.30826867,271,26,12.5398829102214,30914.8396362,55096.0896708,295092.7969169,1332.07437512,5574.627747,2487.6436299,15357.77907,50.8,0.152238142079669,-0.340386394734302,-0.387548570777977,0.701669043624709,-0.545460254614651,1.82199546498489,-0.52837132732182,-0.420486112651245
