"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Cax","Ca","tau_Ca"
"23","42_4_PFM",9,11.5,10.25,"42_4_PFM_E",3128.60126322,233,24,13.4274732327039,29.745,5789.0365065,-0.489920806134673
"24","42_4_PFM",11.5,16,13.75,"42_4_PFM_Bhs1",3398.30826867,180,22,18.8794903815,-0.0849999999999999,5717.56692,-0.53379845868319
"25","42_4_PFM",16,36,26,"42_4_PFM_Bhs2",3416.2887357,246,23,13.8873525841463,14.875,6217.8540255,-0.496888194545589
"26","42_4_PFM",36,45,40.5,"42_4_PFM_Bh",2631.14167539,195,26,13.4930342327692,7.475,8219.0024475,-0.135234251633179
"27","42_4_PFM",45,50.5,47.75,"42_4_PFM_BC",2397.395604,214,27,11.2027831962617,5.045,8933.6983125,0.0319651234596849
