"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Al","Si","Mn","Ca","P","K","Ce","tau_Fe","tau_Al","tau_Si","tau_Mn","tau_Ca","tau_P","tau_K","tau_Ce"
"68","86_3_W3.2",7,12,9.5,"86_3_W3.2_Oa",557.39447793,12,4,46.4495398275,3916.8122616,9050.3663148,36787.2693131,116.1692769,1786.7396625,698.2859312,2324.420616,12,-0.109962888938023,-0.339405283115426,-0.534509624600689,-0.0952303565873874,-0.111786477689919,3.82949308778398,-0.564802277975078,-0.165394020506111
"69","86_3_W3.2",12,17,14.5,"86_3_W3.2_A",3799.87203234,217,27,17.5109310246083,21892.1828193,49009.5860088,253023.4927469,278.80626456,5646.0973335,567.3573191,17101.094532,56.6,-0.270276862722423,-0.475260613678439,-0.530357175575115,-0.681475418912153,-0.588283612087561,-0.424402884155083,-0.530333598549264,-0.422555342421145
"70","86_3_W3.2",17,20,18.5,"86_3_W3.2_Bhs1",4273.35766413,252,22,16.9577685084524,37209.7164852,55519.4986212,265223.5909562,309.7847384,5789.0365065,698.2859312,18512.349906,63.6,0.102872072402885,-0.471423449266272,-0.562257490191311,-0.685297515334743,-0.624633241875914,-0.370066118984698,-0.547907956467899,-0.423033257654225
"71","86_3_W3.2",20,27,23.5,"86_3_W3.2_Bhs2.1",3554.13898293,252,24,14.1037261227381,29376.091962,52873.1926812,296962.5437689,363.99706762,6146.384439,567.3573191,18844.409994,57.3,0.0468817621681774,-0.394752883429533,-0.410690986098297,-0.555396502377006,-0.520814047120673,-0.384606118978622,-0.446671939913988,-0.374995530617625
"72","86_3_W3.2",27,34,30.5,"86_3_W3.2_Bhs2.2",3470.23013679,255,27,13.6087456344706,32243.7580821,52767.3404436,297990.9045375,402.72015992,6217.8540255,567.3573191,18346.319862,56.5,0.176861616782635,-0.381359242652137,-0.394351637435471,-0.496204260731906,-0.503520856026883,-0.369726128763943,-0.448271725834059,-0.368820218875844
"73","86_3_W3.2",34,41,37.5,"86_3_W3.2_Bhs3.1",2703.06354351,197,23,13.7211347386294,22241.8981998,50491.5173352,349034.9935971,441.44325222,6575.201958,349.1429656,19259.485104,43.3,0.0422061103320763,-0.240034692607291,-0.0892723303602635,-0.291029729529895,-0.325981827327268,-0.502058916669722,-0.256428092302049,-0.378995783661504
"74","86_3_W3.2",41,49,45,"86_3_W3.2_Bhs3.2",2816.9398347,207,26,13.6084049985507,23221.1012652,51920.5225428,345669.4492635,418.20939684,6575.201958,305.5000949,20172.650346,47.1,0.0441028055148027,-0.250117732916134,-0.134515603759914,-0.355496007203101,-0.353229370477868,-0.581914893597424,-0.252657042550059,-0.351804153904773
