"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Al","Si","Mn","Ca","P","K","Ce","tau_Fe","tau_Al","tau_Si","tau_Mn","tau_Ca","tau_P","tau_K","tau_Ce"
"65","86_2_W2.2",11,16,13.5,"86_2_W2.2_Oa",221.75909337,3,3,73.91969779,1468.8045981,6086.503662,19118.1615617,69.70156614,1429.39173,698.2859312,1328.240352,6.2,-0.161079885181447,0.116652520480562,-0.391948301484817,0.364490435200643,0.786029352969461,11.1389961395651,-0.374928368365749,0.0838599274238203
"66","86_2_W2.2",16,23,19.5,"86_2_W2.2_E.1",5130.42659256,253,36,20.278365978498,10841.1767955,50809.074048,369602.2089691,418.20939684,6217.8540255,174.5714828,20089.635324,68.5,-0.732353868575634,-0.597079464369468,-0.491890989917558,-0.646125144141889,-0.664180579018184,-0.868825100127363,-0.591348467461077,-0.482393166631054
"67","86_2_W2.2",23,31,27,"86_2_W2.2_E.2",7090.29749883,303,30,23.4003217783168,19234.3459275,47845.2113952,362684.1456167,635.05871372,8004.593688,305.5000949,17682.199686,67.9,-0.656401716045615,-0.725460005843406,-0.639222097553908,-0.611170848088781,-0.687180657704757,-0.833896872350625,-0.739740620831069,-0.628748494032822
