"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Al","Si","Mn","Ca","P","K","Ce","tau_Fe","tau_Al","tau_Si","tau_Mn","tau_Ca","tau_P","tau_K","tau_Ce"
"55","52_4_X4.1",9,16,12.5,"52_4_X4.1_Oa",2589.18725232,241,24,10.7435155697925,11400.7214043,35936.8346652,297944.1608662,317.52935686,4002.296844,480.0715777,16436.974356,45.4,-0.442291973934007,-0.435312776327835,-0.188390289807889,-0.467610084825264,-0.571683701463805,-0.285218253934749,-0.337489182095989,-0.32024047711823
"56","52_4_X4.1",16,26,21,"52_4_X4.1_E",2966.77705995,264,26,11.23779189375,11120.9490999,44934.2748612,387084.3420353,371.74168608,4288.17519,174.5714828,22248.025896,56.1,-0.525217216404276,-0.383796124271306,-0.0797697450299747,-0.456041523475569,-0.599496448122,-0.77316017314954,-0.217397689484187,-0.266937748011201
"57","52_4_X4.1",26,31,28.5,"52_4_X4.1_Bhs",2984.75752698,167,24,17.8727995627545,26998.0273746,48003.9897516,311780.287571,402.72015992,5217.2798145,392.7858363,19259.485104,53.5,0.145673845844193,-0.345665410602284,-0.263258026352049,-0.414261580248542,-0.515656096147539,-0.492685025793776,-0.326604557486394,-0.305123485446479
"58","52_4_X4.1",31,36,33.5,"52_4_X4.1_Bs1",2822.93332371,231,24,12.2204905788312,33642.6196041,51020.7785232,309910.540719,449.18787068,5860.506093,480.0715777,18346.319862,55.6,0.509479454395489,-0.264677151287719,-0.225695927809221,-0.309224705369054,-0.424754452557395,-0.344404003608942,-0.321760783987092,-0.236450707932237
"59","52_4_X4.1",36,45,40.5,"52_4_X4.1_Bs2.1",2259.54535677,151,21,14.9638765349007,18884.630547,54460.9762452,297803.9298523,387.230923,5717.56692,480.0715777,17101.094532,52.3,0.0585843055497466,-0.0193908104657725,-0.0704234126329438,-0.256024961650106,-0.298853198303766,-0.180939749866874,-0.210163133899824,-0.102687881595861
"60","52_4_X4.1",45,54.5,49.75,"52_4_X4.1_Bs2.2",2475.31096113,222,23,11.1500493744595,22171.9551237,54513.902364,314491.4205064,441.44325222,6575.201958,611.0001898,17267.124576,52.6,0.134520238292033,-0.103997735435009,-0.103903351222343,-0.225797598106496,-0.263965627420334,-0.0484261500764609,-0.272011005287954,-0.1762055023228
"61","52_4_X4.1",54.5,62,58.25,"52_4_X4.1_BC.1",2469.31747212,201,24,12.2851615528358,19374.2320797,59330.1791748,333936.7877672,433.69863376,7289.897823,523.7144484,18844.409994,63.6,-0.00623066842633502,-0.0224694682994454,-0.0461871877589122,-0.23753393157073,-0.181981216249182,-0.182385575551134,-0.203583641672318,-0.00151143861034519
"62","52_4_X4.1",62,69,65.5,"52_4_X4.1_BC.2",2589.18725232,191,31,13.5559542006283,20003.7197646,59594.8097688,338938.3605963,449.18787068,7218.4282365,567.3573191,19425.515148,60.7,-0.0214448131602815,-0.0635672844552905,-0.0767207391586138,-0.246863046825983,-0.227500961568649,-0.15525793646834,-0.217032669749805,-0.09115852337173
