"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Al","Si","Mn","Ca","P","K","Ce","tau_Fe","tau_Al","tau_Si","tau_Mn","tau_Ca","tau_P","tau_K","tau_Ce"
"1","42_2_PFM",8,32,20,"42_2_PFM_E1",5100.45914751,366,33,13.9356807309016,14338.3306005,45675.2405244,369555.4652978,433.69863376,4574.053536,480.0715777,19342.500126,64.5,-0.643936597230221,-0.635663090671181,-0.488970263797062,-0.630862490960213,-0.751508959586858,-0.637149571915172,-0.604234537579401,-0.509754801410684
"2","42_2_PFM",32,47,39.5,"42_2_PFM_E2",2966.77705995,248,35,11.9628107256048,16506.5659596,43558.1957724,378343.2755022,650.54795064,6432.262785,349.1429656,19508.53017,56.3,-0.295290962713266,-0.402666914340736,-0.100550213292189,-0.0480726660822451,-0.399244672183,-0.54632034629908,-0.313762899361134,-0.264324335348139
