"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Cax","Ca","tau_Ca"
"42","52_3_PFM",16.5,23,19.75,"52_3_PFM_Oa",2936.8096149,166,19,17.6916241861446,48.745,3502.0097385,-0.674183671745649
"43","52_3_PFM",23,33,28,"52_3_PFM_Bhs1",4291.33813116,292,29,14.6963634628767,22.455,4431.114363,-0.715335983374948
"44","52_3_PFM",33,48,40.5,"52_3_PFM_Bhs2",4207.42928502,383,54,10.9854550522715,9.235,7504.3065825,-0.506397075693351
