"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Al","Si","Mn","Ca","P","K","Ce","tau_Fe","tau_Al","tau_Si","tau_Mn","tau_Ca","tau_P","tau_K","tau_Ce"
"68","86_3_PFM",13,30,21.5,"86_3_PFM_Oa",641.30332407,22,9,29.1501510940909,5805.2753163,25298.6847864,48379.6997955,100.68003998,1072.0437975,960.1431554,2822.510748,19.6,0.146561492037284,0.604966800261619,-0.467921765083771,-0.318463240569565,-0.536800798645771,4.77169559439604,-0.540689186567822,0.184828488645997
"69","86_3_PFM",30,44,37,"86_3_PFM_Bhs1",1570.29412062,74,16,21.2201908191892,16996.1674923,40806.0375948,122187.9567782,278.80626456,2644.3747005,1396.5718624,7305.321936,35.6,0.37090707966805,0.0572434932541981,-0.451188486375339,-0.229219143474446,-0.53338278927191,2.42857142873214,-0.514495889169579,-0.121115306326855
"70","86_3_PFM",44,72,58,"86_3_PFM_Bhs2",3632.05434006,235,26,15.455550383234,30635.0673318,55519.4986212,296448.3633846,503.4001999,5931.9756795,436.428707,17267.124576,58.7,0.0683277841230132,-0.378093926281934,-0.424331407750604,-0.398313256938477,-0.547450813286369,-0.536775106060323,-0.503862285782055,-0.373460189403866
"71","86_3_PFM",72,75,73.5,"86_3_PFM_C",2679.08958747,221,37,12.1225773188688,23011.2720369,51761.7441864,360066.5000239,782.20646446,8862.228726,523.7144484,18678.37995,51.5,0.0879060996789438,-0.213944400231308,-0.0520808506286915,0.267487138042456,-0.0834113342926305,-0.246404602073976,-0.272410328110299,-0.254782748175619
