"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Al","Si","Mn","Ca","P","K","Ce","tau_Fe","tau_Al","tau_Si","tau_Mn","tau_Ca","tau_P","tau_K","tau_Ce"
"79","86_4_W4.1",8,15,11.5,"86_4_W4.1_Oa",863.06241744,36,8,23.97395604,4476.3568704,13707.8647692,89841.3362386,178.12622458,2715.844287,785.5716726,5229.946386,9.6,-0.343067846597112,-0.353811527550409,-0.265807720588687,-0.104026728120566,-0.128070392265604,2.50892857159305,-0.367603310182535,-0.568786910594824
"80","86_4_W4.1",15,19.5,17.25,"86_4_W4.1_E",3440.26269174,316,34,10.8869072523418,10001.8598823,45357.6838116,376333.2976363,379.48630454,4788.4622955,174.5714828,20504.710434,63.8,-0.631763204952301,-0.463597412938674,-0.228462825470501,-0.521134115559666,-0.614323452438041,-0.804380288691677,-0.37799111046326,-0.281061103552695
"81","86_4_W4.1",19.5,24,21.75,"86_4_W4.1_Bhs",3865.80041145,291,25,13.2845374963918,27907.2873639,49750.551672,314023.9837934,433.69863376,6503.7323715,349.1429656,18512.349906,60.6,-0.0856421074148177,-0.476411531347301,-0.427073108951214,-0.512967410553707,-0.533832493686188,-0.651827242508597,-0.500245539475367,-0.392290390280148
"82","86_4_W4.1",24,33,28.5,"86_4_W4.1_Bs.1",3350.36035659,299,29,11.205218583913,23850.5889501,54831.4590768,337068.6137443,511.14481836,7718.715342,349.1429656,19093.45506,62.8,-0.0983341776415638,-0.334159999765717,-0.290417968141939,-0.337689198417816,-0.361630295664941,-0.598262202894535,-0.405259438147643,-0.273340375277861
"83","86_4_W4.1",33,43,38,"86_4_W4.1_Bs.2",3146.58173025,243,27,12.9488960092593,22661.5566564,57477.7650168,323559.6927386,487.91096298,7432.836996,349.1429656,18678.37995,69.7,-0.0878027812748471,-0.256822665375571,-0.274744195070358,-0.326851385301016,-0.345462766645097,-0.572244897939133,-0.380509365076769,-0.14126993338455
"84","86_4_W4.1",43,53,48,"86_4_W4.1_Bs.3",3074.65986213,229,28,13.4264622800437,22311.8412759,62399.8940652,303927.3507926,449.18787068,7146.95865,523.7144484,19010.440038,59.7,-0.0808712415108717,-0.174307434512695,-0.302814217539134,-0.365779407853459,-0.355915340547076,-0.343358395959195,-0.354747571291787,-0.24726837902079
"85","86_4_W4.1",53,62,57.5,"86_4_W4.1_BC.1",3104.62730718,227,26,13.676772278326,20843.0366778,66792.7619256,314117.471136,441.44325222,7647.2457555,523.7144484,20255.665368,66.8,-0.14966600606827,-0.12471088146182,-0.286394094652108,-0.382730517409233,-0.317481640115242,-0.349696635380439,-0.319118401255548,-0.165877383042498
"86","86_4_W4.1",62,82,72,"86_4_W4.1_BC.2",3110.62079619,265,34,11.7381916837359,19723.9474602,62611.5985404,333890.0440959,549.86791066,8433.411207,611.0001898,20670.740478,80.2,-0.196871962747337,-0.181084066784709,-0.242936663735149,-0.23260193250437,-0.248766459049647,-0.242774566438494,-0.30650470348671,-0.000482954615748765
"87","86_4_W4.1",82,92,87,"86_4_W4.1_D.1",2739.02447757,232,32,11.8061399895259,19304.2890036,62452.820184,340434.1580779,565.35714758,8433.411207,654.6430605,22248.025896,75.5,-0.107319765288417,-0.0723423262452414,-0.123376655178694,-0.103941486633373,-0.146848560715026,-0.0786183181812562,-0.152323536749831,0.0685969885150144
