"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Cax","Ca","tau_Ca"
"3","42_2_V2.1",6,8,7,"42_2_V2.1_Oa",3236.4840654,205,24,15.7877271482927,79.705,3930.8272575,-0.670289637208578
"4","42_2_V2.1",8,14,11,"42_2_V2.1_E.1",5010.55681236,383,34,13.082393765953,8.965,3930.8272575,-0.783117200658793
"5","42_2_V2.1",14,20,17,"42_2_V2.1_E.2",5178.37450464,417,34,12.4181642797122,3.425,3716.418498,-0.801322129074902
"6","42_2_V2.1",20,28,24,"42_2_V2.1_E.3",5298.24428484,418,32,12.6752255618182,3.005,4288.17519,-0.7758932893881
"7","42_2_V2.1",28,32,30,"42_2_V2.1_E.4",4141.50090591,371,31,11.1630752180863,3.025,4359.6447765,-0.708518723803701
