"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Al","Si","Mn","Ca","P","K","Ce","tau_Fe","tau_Al","tau_Si","tau_Mn","tau_Ca","tau_P","tau_K","tau_Ce"
"22","42_4_PFM",9,11.5,10.25,"42_4_PFM_E",3128.60126322,233,24,13.4274732327039,15737.1921225,46998.3934944,359552.3196396,410.46477838,5789.0365065,349.1429656,20089.635324,45.2,-0.362889075363579,-0.388826666451618,-0.189435284619926,-0.430445776196582,-0.487286401259629,-0.569786535283611,-0.329874115223529,-0.439918631002473
"23","42_4_PFM",11.5,16,13.75,"42_4_PFM_Bhs1",3398.30826867,180,22,18.8794903815,38398.7487789,44881.3487424,293690.4867779,433.69863376,5717.56692,785.5716726,16686.019422,45.2,0.431173619913435,-0.462677870062141,-0.390459000506578,-0.445968218354746,-0.533805389348359,-0.108843537373194,-0.487581820495599,-0.484369533303864
"24","42_4_PFM",16,36,26,"42_4_PFM_Bhs2",3416.2887357,246,23,13.8873525841463,31824.0996255,55837.055334,299486.7020191,487.91096298,6217.8540255,741.9288019,17101.094532,46.5,0.179884722888082,-0.33503384993198,-0.381700649430315,-0.379994696987778,-0.49568171164836,-0.162781954847974,-0.477599125403918,-0.472331351122614
"25","42_4_PFM",36,45,40.5,"42_4_PFM_Bh",2631.14167539,195,26,13.4930342327692,25739.0520048,58906.7702244,323606.4364099,565.35714758,8219.0024475,785.5716726,17350.139598,48.5,0.239042877033238,-0.0891380123618892,-0.132541447129993,-0.0672010464497759,-0.134447050468673,0.15099251551116,-0.311833865685127,-0.2854042766691
"26","42_4_PFM",45,50.5,47.75,"42_4_PFM_BC",2397.395604,214,27,11.2027831962617,21612.4105149,57371.9127792,340013.4650362,542.1232922,8933.6983125,785.5716726,18180.289818,58.4,0.141830199133395,-0.0263761023601223,0.000304511216254522,-0.0183249368973154,0.0325482196854692,0.263214285773498,-0.208600713885572,-0.0556433342026653
