"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Al","Si","Mn","Ca","P","K","Ce","tau_Fe","tau_Al","tau_Si","tau_Mn","tau_Ca","tau_P","tau_K","tau_Ce"
"75","86_4_PFM",5,10,7.5,"86_4_PFM_Oa",647.29681308,31,9,20.8805423574194,4616.2430226,15613.205046,48192.7251103,131.65851382,1715.270076,523.7144484,2656.480704,15.6,-0.0967182890710291,-0.0186584330881373,-0.47488571621709,-0.117011848002876,-0.265743488223666,2.11904761919382,-0.57171017832468,-0.0657049729554524
"76","86_4_PFM",10,16,13,"86_4_PFM_E",3979.67670264,345,32,11.5352947902609,19094.4597753,43028.9345844,380960.921095,526.63405528,4716.992709,130.9286121,19176.470082,60.6,-0.392288290319693,-0.56010968480126,-0.3248372842694,-0.425525780628377,-0.671575024100044,-0.873171256448444,-0.497130343036714,-0.409679671281167
"77","86_4_PFM",16,21,18.5,"86_4_PFM_Bhs",3841.82645541,202,27,19.0189428485644,39238.0656921,45093.0532176,282799.211365,480.16634452,5860.506093,436.428707,15606.824136,44.8,0.293623417523862,-0.522466878442254,-0.480822016666258,-0.457420513373154,-0.577315674188039,-0.562068196993067,-0.576053210837768,-0.547932611419223
"78","86_4_PFM",21,63,42,"86_4_PFM_Bs",3248.47104342,221,34,14.6989639973756,28746.6042771,56895.57771,283874.3158049,557.61252912,7075.4890635,392.7858363,14693.658894,55.3,0.120845034795795,-0.287424129598679,-0.383656363247322,-0.254817031698542,-0.396473660523327,-0.533869267242252,-0.527952708075102,-0.340053030144662
