pedon,horizon,subdivision,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental
42_3_V3.2,Oi,,0,1,1,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,Y,
42_3_V3.2,Oe,,1,3,2,5YR2.5/1,5YR,2.5,1,,,,,,,,,0,m,Y,
42_3_V3.2,Oa,,3,5.5,2.5,5YR2.5/1,5YR,2.5,1,,,,,,,,cs,0,c,Y,
42_3_V3.2,A,,5.5,13,7.5,7.5YR2.5/1,7.5YR,2.5,1,0,,,,sl,2msbk,vfr,cs,0,c,Y,
42_3_V3.2,Bhs1,,13,35,22,7.5YR2.5/1,7.5YR,2.5,1,0,,,,sl,2msbk,fr,cs,0,f,Y,
42_3_V3.2,Bhs2,,35,59,24,7.5YR2.5/2,7.5YR,2.5,2,0,,,,sl,2msbk,fr,cw,1,0,Y,
42_3_V3.2,Bhs3,,59,74,15,5YR2.5/2,5YR,2.5,2,5YR3/4,,,,sl,2msbk,fr,as,2,0,Y,
42_3_V3.2,Bsm,,74,90,16,7.5YR3/4,7.5YR,3,4,7.5YR3/3,,,,sl,2msbk,fi,,10,0,Y,
42_4_PFM,Oi,,0,5.5,5.5,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,?,
42_4_PFM,Oe,,5.5,7.5,2,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,?,
42_4_PFM,Oa,,7.5,9,1.5,5YR2.5/1,5YR,2.5,1,0,,,,,1mgr,fr,ab,2,c,Y,
42_4_PFM,E,,9,11.5,2.5,10YR4/2,10YR,4,2,0,,,,sl,2msbk,fr,aw,2,f,Y,Y
42_4_PFM,Bhs1,,11.5,16,4.5,5YR2.5/2,5YR,2.5,2,0,,,,sl,2msbk,fr,cs,2,f,Y,Y
42_4_PFM,Bhs2,,16,36,20,7.5YR3/3,7.5YR,3,3,0,,,,sl,2msbk,fr,gs,10,0,Y,Y
42_4_PFM,Bh,,36,45,9,10YR3/3,10YR,3,3,0,,,,sl,2msbk,fr,as,10,0,Y,Y
42_4_PFM,BC,,45,50.5,5.5,10YR4/4,10YR,4,4,0,,,,sl,2msbk,fr,,10,0,Y,Y
42_4_V4.1,Oi,,0,3,3,5YR2.5/1,5YR,2.5,1,,,,,,,,,,,Y,
42_4_V4.1,Oe,,3,8,5,5YR2.5/1,5YR,2.5,1,,,,,,,,,0,m,Y,
42_4_V4.1,Oa,,8,16,8,5YR2.5/1,5YR,2.5,1,,,,,,,,as,0,c,Y,Y
42_4_V4.1,E,,16,24,8,7.5YR5/2,7.5YR,5,2,5YR4/1,,,,ls,2msbk,fr,aw,2,f,Y,Y
42_4_V4.1,Bhs1,,24,32.5,8.5,5YR3/1,5YR,3,1,0,,,,sl,2msbk,fr,cw,2,f,Y,Y
42_4_V4.1,Bhs2,1,32.5,38,5.5,7.5YR3/3,7.5YR,3,3,0,,,,sl,2msbk,fr,cs,2,f,Y,Y
42_4_V4.1,Bhs2,2,38,43,5,7.5YR3/3,7.5YR,3,3,0,,,,sl,2msbk,fr,cs,2,f,Y,Y
42_4_V4.1,Bh,1,43,50,7,10YR3/2,10YR,3,2,10YR2/2,,,,sl,2msbk,fr,gs,2,f,Y,Y
42_4_V4.1,Bh,2,50,56.5,6.5,10YR3/2,10YR,3,2,10YR2/2,,,,sl,2msbk,fr,gs,2,f,Y,Y
42_4_V4.1,BC,,56.5,66,9.5,10YR4/3,10YR,4,3,5YR3/2,,,,sl,2msbk,fr,gs,2,0,Y,Y
42_4_V4.1,Cd,,66,73.5,7.5,2.5Y5/2,2.5Y,5,2,5YR3/2,,,,ls,2mpl,fi,gs,10,0,Y,
42_4_V4.1,D,,73.5,82,8.5,2.5Y5/3,2.5Y,5,3,0,,,vgr,ls,1mpl,vfr,,40,0,Y,
42_4_V4.1,D,,82,90,8,2.5Y5/3,2.5Y,5,3,0,,,vgr,ls,1mpl,vfr,,40,0,Y,Y
42_4_V4.1,D,1,87,94,7,2.5Y4/2,2.5Y,4,2,0,,,gr,ls,,,,0,0,Y,
42_4_V4.1,D,2,94,110,16,2.5Y4/2,2.5Y,4,2,0,,,gr,ls,,,,0,0,Y,
42_4_V4.1,D,3,110,118,8,2.5Y5/2,2.5Y,5,2,0,,,,fsl,,,,0,0,Y,
42_4_V4.1,D,4,118,126.5,8.5,5Y5/2,5Y,5,2,0,,,,fsl,,,,0,0,Y,Y
42_4_V4.1,D,5,126.5,132,5.5,5Y5/2,5Y,5,2,0,,,gr,fsl,,,,0,0,Y,
42_4_V4.1,D,6,147,152,5,5Y4/2,5Y,4,2,0,,,,fsl,,,,0,0,Y,
42_4_V4.1,D,7,150,155,5,5Y5/2,5Y,5,2,0,,,vgr,fsl,,,,0,0,Y,
42_4_V4.1,D,8,166,171,5,,,,,,,,,,,,,,,Y,
