pedon,horizon,subdivision,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental
86_3_W3.1,Oe,,3,8,5,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,Y,
86_3_W3.1,Oa,,8,14,6,5YR2.5/1,5YR,2.5,1,5YR3/2,,,, ,2mgr, ,cs,0,c,Y,
86_3_W3.1,Bhs1,,14,34,20,2.5Y2.5/1,2.5Y,2.5,1,0,,,,sl,2msbk,fr,cs,0,f,Y,
86_3_W3.1,Bhs2,,34,45,11,2.5Y2.5/1,2.5Y,2.5,1,7.5YR3/3,,,,sl,2msbk,fr,cw,2,f,Y,
86_3_W3.1,Bhs3,,45,52,7,7.5YR2.5/2,7.5YR,2.5,2,7.5YR4/6,,,,sl,2msbk,fr, ,8, ,Y,
86_3_W3.2,Oi,,0,4,4,5YR2.5/1,5YR,2.5,1,,,,,,,,,0,f,Y,
86_3_W3.2,Oe,,4,7,3,5YR2.5/1,5YR,2.5,1,,,,,,,,,0,f,Y,
86_3_W3.2,Oa,,7,12,5,5YR2.5/1,5YR,2.5,1,2.5YR2.5/3,,,,,1mgr,vfr,cs,0,f,Y,Y
86_3_W3.2,A,,12,17,5,5YR3/1,5YR,3,1,,,,,sl,2msbk,fr,ci,0,f,Y,Y
86_3_W3.2,Bhs1,,17,20,3,5YR2.5/2,5YR,2.5,2,,,,,sl,2msbk,fr,cs,0,f,Y,Y
86_3_W3.2,Bhs2,,20,34,14,7.5YR3/2,7.5YR,3,2,,,,,ls,2msbk,fr,aw,0,f,Y,
86_3_W3.2,Bhs2,1,20,27,7,7.5YR3/2,7.5YR,3,2,,,,,ls,2msbk,fr,aw,0,f,Y,Y
86_3_W3.2,Bhs2,2,27,34,7,7.5YR3/2,7.5YR,3,2,,,,,ls,2msbk,fr,aw,0,f,Y,Y
86_3_W3.2,Bhs3,1,34,41,7,7.5YR3/3,7.5YR,3,3,,,,gr,ls,2msbk,vfr,ab,2,0,Y,Y
86_3_W3.2,Bhs3,2,41,49,8,7.5YR3/3,7.5YR,3,3,,,,gr,ls,2msbk,vfr,ab,2,0,Y,Y
86_3_W3.2,Bhs3,,34,49,15,7.5YR3/3,7.5YR,3,3,,,,gr,ls,2msbk,vfr,ab,2,0,Y,
86_3_W3.2,C,,49,50,1,2.5Y6/3,2.5Y,6,3,,,,,s,m,fr,vw,25,0,N,
86_3_W3.2,R,,50,50,0,,,,,,,,,,,,,,,Y,
86_4_PFM,Oi,,0,2,2,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0,m,?,
86_4_PFM,Oe,,2,5,3,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0,m,?,
86_4_PFM,Oa,,5,10,5,5YR2.5/1,5YR,2.5,1,,,,, ,1sbk,fr,as,0,m,Y,Y
86_4_PFM,E,,10,16,6,10YR6/2,10YR,6,2,0,,,, ,1sbk,fr,ci,0,f,Y,Y
86_4_PFM,Bhs,,16,21,5,5YR2.5/1,5YR,2.5,1,0,,,, ,2sbk,fr,ci,5,f,Y,Y
86_4_PFM,Bs,,21,63,42,7.5YR3/4,7.5YR,3,4,0,,,, ,2sbk,fr,gs,10,f,Y,Y
86_4_PFM,BC,,63,101,38,10YR3/6,10YR,3,6,0,,,, ,1sbk,vfr, ,35,0,Y,Y
86_4_W4.1,Oi,,0,5,5,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,Y,
86_4_W4.1,Oe,,5,8,3,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,Y,
86_4_W4.1,Oa,,8,15,7,5YR2.5/2,5YR,2.5,2,0,,,, ,1mgr,vfr,as,0,m,Y,Y
86_4_W4.1,E,,15,19.5,4.5,7.5YR5/1,7.5YR,5,1,0,,,,ls,2msbk,vfr,aw,5,f,Y,Y
86_4_W4.1,Bhs,,19.5,24,4.5,7.5YR2.5/2,7.5YR,2.5,2,0,,,,sl,2msbk,fr,cw,10,f,Y,Y
86_4_W4.1,Bs,1,24,33,9,7.5YR3/4,7.5YR,3,4,0,,,,sl,2msbk,fr,cs,10,f,Y,Y
86_4_W4.1,Bs,2,33,43,10,7.5YR3/4,7.5YR,3,4,0,,,,sl,2msbk,fr,cs,10,f,Y,Y
86_4_W4.1,Bs,3,43,53,10,7.5YR3/4,7.5YR,3,4,0,,,,sl,2msbk,fr,cs,10,f,Y,Y
86_4_W4.1,BC,1,53,62,9,10YR3/4,10YR,3,4,5YR3/3,,,,sl,2mabk,fr,gs,20,0,Y,Y
86_4_W4.1,BC,2,62,82,20,10YR3/4,10YR,3,4,5YR3/3,,,,sl,2mabk,fr,gs,20,0,Y,Y
86_4_W4.1,D,1,82,92,10,10YR5/3,10YR,5,3,5YR3/3,,,gr,sl,2mapl, , ,30, ,Y,Y
86_4_W4.1,D,2,100,110,10,10YR5/3,10YR,5,3,0,,,vgr,ls, , , ,35, ,Y,Y
86_4_W4.1,D,3,110,120,10,10YR5/3,10YR,5,3,0,,,gr,ls, , , ,25, ,Y,
86_4_W4.1,D,4,125,135,10,10YR5/3,10YR,5,3,0,,,gr,s, , , ,21, ,Y,Y
86_5_W5.1,Oi,,0,5,5,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,Y,
86_5_W5.1,Oe,,5,10,5,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,Y,
86_5_W5.1,Oa1,,10,13,3,2.5Y2.5/2,2.5Y,2.5,2,0,,,, ,1mgr, ,as,0,m,Y,
86_5_W5.1,Oa2,,13,23,10,2.5Y2.5/1,2.5Y,2.5,1,0,,,, ,2mgr, ,as,0,m,Y,
86_5_W5.1,Bhs,,23,32,9,7.5YR3/1,7.5YR,3,1,7.5YR2.5/1,,,,sl,2msbk,fr,cs,5,c,Y,
86_5_W5.1,Bh1,,32,51,19,10YR3/3,10YR,3,3,7.5YR2.5/1,,,,sl,2msbk,fr,cs,10,f,Y,
86_5_W5.1,Bh2,,51,64,13,10YR3/3,10YR,3,3,0,,,vgr,sl,1msbk,vfr, ,35, ,Y,
86_5_W5.2,Oi,,0,3,3,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,Y,
86_5_W5.2,Oe,,3,6,3,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,Y,
86_5_W5.2,Oa,,6,11,5,5YR2.5/1,5YR,2.5,1,0,,,, ,1msbk, , ,0,c,Y,
86_5_W5.2,Bhs,,11,39,28,7.5YR2.5/1,7.5YR,2.5,1,10YR3/2,,,,sl,2msbk,fr,gs,0,f,Y,
86_5_W5.2,Bh,,39,56,17,10YR3/3,10YR,3,3,0,,,,sl,2msbk,fr, ,2, ,Y,
86_5_W5.3,Oi,,0,3,3,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,Y,
86_5_W5.3,Oe,,3,7,4,5YR2.5/1,5YR,2.5,1,,,,, , , , ,0, ,Y,
86_5_W5.3,Oa,,7,17,10,5YR2.5/1,5YR,2.5,1,7.5YR2.5/2,,,, ,1fsbk, ,cs,0,m,Y,
86_5_W5.3,Bhs,,17,31,14,5YR2.5/1,5YR,2.5,1,0,,,,sl,2msbk,fr,as,0,c,Y,
86_5_W5.3,Bh,,31,48,17,10YR3/3,10YR,3,3,0,,,,sl,1msbk,fr, ,2,f,Y,
