,,SiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,Total,Sc,Be,V,Ba,Sr,Y,Zr,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Nb,Mo,Ag,In,Sn,Sb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U
52_2_PFM_Oa,52_2_PFM_Oa,13.16,2.5,0.88,0.043,0.13,0.21,0.25,0.51,0.149,0.44,80.57,98.85,2,2,19,96,19,4,18,< 20,34,< 20,20,< 30,2,< 1,< 5,21,2,< 2,< 0.5,< 0.2,6,0.9,4.4,6.7,12.4,1.32,5.2,0.9,0.2,0.9,0.2,0.8,0.2,0.5,0.08,0.5,0.08,0.9,< 0.1,37,0.1,< 5,< 0.4,1.6,0.9
52_2_PFM_E,52_2_PFM_E,73.65,10.43,2.14,0.059,0.28,0.52,1.2,2.6,0.927,0.13,6.69,98.62,8,5,68,483,85,30,382,50,13,< 20,< 10,< 30,18,3,< 5,95,11,< 2,1.3,< 0.2,6,< 0.5,10.2,40.8,82.9,9.62,36.6,7.1,1.08,5.7,0.9,5.1,1.1,3.1,0.48,3.2,0.55,8.7,1.6,152,0.5,24,< 0.4,12.3,3.7
52_3_PFM_Oa,52_3_PFM_Oa,39.13,6.78,1.94,0.046,0.23,0.49,0.84,1.44,0.49,0.38,46.67,98.43,5,3,42,256,53,19,166,40,14,< 20,10,< 30,10,2,< 5,55,5,2,0.7,< 0.2,7,0.6,5.5,20.4,40.8,4.62,17.8,3.7,0.58,2.9,0.5,3.3,0.8,2.1,0.3,2.2,0.35,4.5,1.1,131,0.3,< 5,< 0.4,6,2.5
52_3_PFM_Bhs1,52_3_PFM_Bhs1,62.72,8.86,2.4,0.068,0.31,0.62,1.2,2.21,0.716,0.25,19.39,98.76,7,4,52,374,72,29,292,50,37,< 20,< 10,< 30,14,2,< 5,87,8,2,1.1,< 0.2,5,< 0.5,8.7,27,54.1,6.33,22.5,5.1,0.79,4.3,0.7,5.1,1,3.3,0.48,3.3,0.52,6.6,2.1,300,0.3,< 5,< 0.4,8.6,3.2
52_3_PFM_Bhs2,52_3_PFM_Bhs2,76.07,9.37,3.59,0.136,0.49,1.05,1.64,2.55,0.702,0.13,3.92,99.66,8,3,47,404,81,54,383,50,29,< 20,< 10,30,14,2,< 5,95,8,< 2,1.4,< 0.2,5,< 0.5,5.1,37.3,74.8,8.4,32,6.5,0.92,6.3,1.2,8.4,1.9,5.9,0.92,6.3,1.01,9.1,2.3,401,0.4,22,< 0.4,11.4,3.5
52_4_PFM_Bh1,52_4_PFM_Bh1,62.21,12.12,4.78,0.076,0.91,1.17,1.85,2.51,0.784,0.15,13.72,100.3,9,5,72,541,132,30,202,60,31,20,< 10,< 30,17,2,7,99,8,3,1.1,< 0.2,3,< 0.5,10,34.6,67.9,8.08,31,6.2,1.19,5.3,0.9,5.5,1.1,3.3,0.5,3.4,0.55,7.4,1.6,120,0.3,< 5,< 0.4,9.8,4.4
52_4_PFM_Bh2,52_4_PFM_Bh2,67.33,10.75,4.66,0.065,0.81,1.07,1.63,2.25,0.707,0.16,11.12,100.5,8,7,66,485,115,25,296,70,27,< 20,< 10,40,17,2,6,93,9,2,1.1,< 0.2,4,< 0.5,8.6,28.5,54.7,6.74,25.9,5.4,1,4.9,0.8,4.7,0.9,2.8,0.41,2.8,0.49,7.2,1.5,89,0.5,17,< 0.4,8.6,3.7
86_2_PFM_Oa,86_2_PFM_Oa,13.13,2.24,1.18,0.012,0.08,0.22,0.27,0.47,0.177,0.21,80.48,98.47,2,< 1,19,94,21,7,16,< 20,26,< 20,< 10,< 30,3,< 1,< 5,17,3,< 2,< 0.5,< 0.2,4,0.5,1.7,10.1,19.2,2.19,8.3,1.6,0.22,1.5,0.2,1.4,0.3,0.8,0.11,0.7,0.11,1,0.2,54,0.1,< 5,< 0.4,3.3,1.9
86_2_PFM_E,86_2_PFM_E,85.46,7.53,1.59,0.091,0.1,0.78,1.24,2.11,0.513,0.04,1.19,100.7,5,3,25,358,70,42,339,40,13,< 20,< 10,< 30,12,2,< 5,70,6,< 2,1.1,< 0.2,2,< 0.5,2.7,43.5,88.8,10.3,39.6,8,0.96,7.1,1.1,7.5,1.6,4.6,0.68,4.6,0.71,8.3,1.6,153,0.3,17,< 0.4,14.5,3.7
86_3_PFM_Oa,86_3_PFM_Oa,10.35,4.78,0.83,0.013,0.07,0.15,0.23,0.34,0.107,0.22,83.18,100.3,2,2,15,70,15,9,22,20,7,< 20,10,< 30,3,< 1,< 5,13,< 1,< 2,< 0.5,< 0.2,4,< 0.5,1.2,9.7,19.6,2.15,8.2,1.8,0.42,1.7,0.3,1.6,0.3,0.8,0.12,0.7,0.11,1,< 0.1,54,< 0.1,< 5,< 0.4,2.1,1.7
