,,SiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,Total,Sc,Be,V,Ba,Sr,Y,Zr,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Nb,Mo,Ag,In,Sn,Sb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U
K1,,72.41,13.85,3.63,0.054,0.69,1.47,3.16,4.06,0.441,0.12,0.49,100.4,8,4,37,247,75,32,169,20,36,< 20,< 10,50,18,2,< 5,177,7,< 2,< 0.5,< 0.2,7,< 0.5,27.4,33.6,71.6,8.33,31.4,7.1,0.99,6.6,1.1,6.4,1.2,3.2,0.43,2.7,0.44,4.7,1.7,406,0.7,26,< 0.4,14,4.1
42_4_d1_1,,67.29,15.4,7.11,0.075,2,0.62,1.37,3.75,0.584,0.08,2.55,100.8,7,4,89,737,117,11,147,60,89,40,40,90,18,1,< 5,122,7,2,< 0.5,< 0.2,2,< 0.5,8.9,41.4,83.9,9.43,34.5,6.7,1.75,5.1,0.7,3.1,0.5,1.1,0.14,0.9,0.13,3.7,1.5,430,0.4,23,< 0.4,12.4,3.2
52_4_d2_1,,57.52,19.19,9.95,0.266,3.15,0.13,0.66,5.2,1.209,0.05,2.97,100.3,22,2,204,581,54,45,249,120,61,60,< 10,140,26,2,50,239,19,< 2,0.5,< 0.2,7,< 0.5,22.7,61.8,128,14.4,54.2,10.6,1.63,9.3,1.5,8.9,1.7,5.1,0.73,4.6,0.73,6.6,1.9,207,1,22,< 0.4,18.3,4.8
W1.1_T1,Top,61.77,17.72,8.91,0.191,2.68,0.43,0.96,4.39,1.19,0.06,2.48,100.8,22,2,194,609,84,49,263,110,63,50,70,120,25,2,12,177,19,3,0.6,< 0.2,3,< 0.5,7.8,59.5,122,14,53,10.5,1.41,9.3,1.6,9.1,1.8,5.4,0.78,5,0.78,6.7,2.6,536,0.8,22,< 0.4,18.5,5
W1.1_T4,Bottom,61.58,17.57,9.36,0.221,3.41,0.07,0.39,5.07,1.066,0.05,1.95,100.7,20,3,175,526,24,18,168,80,37,< 20,< 10,150,26,2,< 5,212,18,< 2,< 0.5,< 0.2,3,< 0.5,10.3,75.8,157,17.3,65.6,12.5,1.13,9.1,1.1,4.7,0.8,2.2,0.31,2,0.32,4.2,1.9,283,0.9,26,< 0.4,21,5.2
52_4_X4.1_Oa,,63.74,6.79,1.63,0.041,0.14,0.56,1.22,1.98,0.432,0.11,22.07,98.72,4,3,28,319,61,24,241,30,19,< 20,< 10,< 30,9,1,< 5,66,6,< 2,0.7,< 0.2,5,< 0.5,2.5,22,45.4,5.09,18.8,3.8,0.59,3.4,0.6,3.7,0.8,2.5,0.36,2.4,0.39,6.2,1.8,441,0.4,15,< 0.4,6.9,2.1
52_4_X4.1_E,,82.81,8.49,1.59,0.048,0.15,0.6,1.53,2.68,0.495,0.04,2.4,100.8,4,3,28,383,67,26,264,< 20,21,< 20,< 10,< 30,11,2,< 5,89,6,< 2,0.7,< 0.2,4,< 0.5,3.2,26.6,56.1,6.31,23.4,4.8,0.69,4.3,0.7,4.4,0.9,3,0.44,3.2,0.53,7.4,1.3,418,0.4,22,< 0.4,8.6,2.4
52_4_X4.1_Bhs,,66.7,9.07,3.86,0.052,0.27,0.73,1.62,2.32,0.498,0.09,13.89,99.11,5,3,46,358,71,24,167,20,29,< 20,< 10,< 30,16,1,8,81,6,< 2,< 0.5,< 0.2,3,< 0.5,3.2,21.8,53.5,5.13,19.6,4.1,0.79,3.7,0.7,4.3,0.9,2.7,0.43,2.7,0.45,4.2,2.3,386,0.4,22,< 0.4,7.2,2
52_4_X4.1_Bs1,,66.3,9.64,4.81,0.058,0.37,0.82,1.63,2.21,0.471,0.11,14.15,100.6,5,3,45,337,73,24,231,30,46,< 20,< 10,< 30,15,1,6,80,8,< 2,0.6,< 0.2,3,< 0.5,3.9,23.1,55.6,5.43,20.1,4.1,0.79,4.1,0.6,4,0.8,2.5,0.39,2.6,0.41,5.7,1.8,277,0.5,18,< 0.4,8.2,2.2
52_4_X4.1_Bs2.1,,63.71,10.29,2.7,0.05,0.35,0.8,1.66,2.06,0.377,0.11,16.34,98.44,5,3,34,329,73,21,151,20,17,< 20,< 10,30,11,1,5,76,5,< 2,< 0.5,< 0.2,2,< 0.5,3.2,21.6,52.3,4.9,18.9,3.9,0.82,3.8,0.6,3.9,0.8,2.5,0.38,2.5,0.4,4.2,1.1,214,0.4,13,< 0.4,7.2,2
