,,SiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,Total,Sc,Be,V,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Sr,Y,Zr,Nb,Mo,Ag,In,Sn,Sb,Cs,Ba,Bi,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Th,U
X3.1_RF4,X3.1_RF4,72.01,13.74,3.01,0.052,0.54,1.03,2.51,5.24,0.29,0.13,0.91,99.47,5,2,23,< 20,34,< 20,< 10,50,15,1,< 5,213,94,29,97,8,< 2,< 0.5,< 0.2,6,< 0.5,10.4,422,< 0.4,31.1,67.1,7.7,28.4,6.6,1.11,6,1,5.4,1,2.8,0.39,2.5,0.4,2.8,2.9,549,1.2,40,15.2,3.2
X3.1_RF7,X3.1_RF7,70.84,15.04,3.97,0.057,0.94,0.7,2.15,3.56,0.508,0.16,2.3,100.2,10,6,64,30,38,< 20,20,60,24,2,< 5,155,80,22,151,14,< 2,0.6,< 0.2,8,< 0.5,4.3,254,0.6,30.7,63.3,7.42,28.1,6.1,0.86,5,0.8,4.3,0.8,2.1,0.32,2.1,0.31,3.9,2.1,557,0.7,25,10,3
X3.1_RF8,X3.1_RF8,70.01,16.26,1.27,0.032,0.32,0.91,2.84,7.66,0.12,0.18,0.93,100.5,3,6,11,< 20,73,< 20,< 10,40,16,2,< 5,237,112,14,60,6,< 2,< 0.5,< 0.2,4,< 0.5,9.7,493,< 0.4,13.8,29.2,3.24,12,2.7,1.01,2.6,0.4,2.6,0.5,1.1,0.15,0.9,0.14,1.7,2.5,1190,0.8,49,6.8,1.9
V3.1_RF3,V3.1_RF3,70.34,15.78,2.36,0.042,0.55,1.35,2.77,6.47,0.319,0.11,0.76,100.9,6,5,30,< 20,39,< 20,< 10,50,20,1,< 5,243,119,44,124,8,< 2,0.5,< 0.2,3,< 0.5,6.4,649,< 0.4,54.8,116,13.4,48.3,10.5,1.31,9,1.4,8,1.5,4.2,0.58,3.5,0.55,3.4,2,883,1.2,46,28.6,5.1
V3.1_RF4,V3.1_RF4,71.62,14.16,3.39,0.062,0.62,0.96,2.44,5.62,0.331,0.17,1.14,100.5,7,4,32,20,39,< 20,< 10,60,20,2,< 5,294,78,28,126,11,2,0.5,< 0.2,8,< 0.5,13.2,372,< 0.4,34.7,74.8,8.75,32.6,7.5,0.86,6.4,1,5.2,0.9,2.7,0.36,2.3,0.36,3.8,2.6,517,1.7,36,18.1,4.6
V3.1_RF5,V3.1_RF5,66.31,16.05,5.98,0.093,1.47,1.57,2.21,4.26,0.84,0.22,1.76,100.8,15,4,97,50,48,< 20,10,80,23,2,< 5,193,126,38,262,16,< 2,1,< 0.2,3,< 0.5,13.3,561,< 0.4,48.3,101,11.8,45.2,9.6,1.59,8.4,1.3,7.2,1.3,3.7,0.49,3.2,0.5,6.3,2.4,676,1.1,23,15.9,2.9
V3.1_RF6,V3.1_RF6,72.18,13.45,3.81,0.051,0.76,1.14,2.52,5.34,0.393,0.2,0.88,100.7,7,3,37,20,22,< 20,< 10,60,17,1,< 5,214,95,37,143,10,< 2,0.6,< 0.2,6,< 0.5,11.7,438,< 0.4,44.1,93.8,10.9,40.4,9.2,0.99,8.3,1.3,7,1.3,3.4,0.46,2.9,0.44,3.7,1.1,328,1.1,34,20.4,3.9
V3.1_RF9,V3.1_RF9,73.22,14.59,0.82,0.019,0.17,0.74,2.65,6.47,0.094,0.16,0.83,99.75,2,3,6,< 20,45,< 20,< 10,< 30,15,2,< 5,253,65,11,28,4,< 2,< 0.5,< 0.2,5,< 0.5,9.6,221,0.7,9.1,19.8,2.3,8.4,2.1,0.6,2.1,0.3,1.9,0.3,0.9,0.12,0.8,0.13,0.9,2.8,783,1.4,40,4.3,1.4
V3.1_RF10,V3.1_RF10,66.94,15.45,6.09,0.092,1.34,1.29,2.34,4.36,0.717,0.16,1.53,100.3,15,2,79,50,29,< 20,10,90,21,2,< 5,215,102,53,233,15,< 2,1,< 0.2,7,< 0.5,15.4,414,< 0.4,38.4,81.3,9.48,36.6,8.1,1.27,7.7,1.4,9,1.9,5.5,0.83,5.5,0.84,5.7,2.2,322,1.1,26,12.5,3.5
V4.1_RF1,V4.1_RF1,75.54,12.98,2.48,0.061,0.46,0.25,1.04,5.03,0.198,0.21,2.31,100.5,6,3,34,< 20,18,< 20,< 10,50,17,1,< 5,306,36,19,60,6,< 2,< 0.5,< 0.2,12,< 0.5,8.7,335,< 0.4,20.1,45.5,4.94,18.5,4.4,0.84,3.9,0.6,3.4,0.6,1.7,0.25,1.7,0.28,1.6,1.9,416,1.8,24,5.8,2.4
V4.1_RF2,V4.1_RF2,74.62,13.3,2.1,0.031,0.44,0.62,2.09,5.45,0.289,0.17,1.4,100.5,6,3,22,< 20,34,< 20,< 10,30,19,2,< 5,248,78,24,119,9,< 2,0.5,< 0.2,11,< 0.5,12.7,355,< 0.4,30.7,69.1,7.63,28.2,6.5,0.85,5.7,0.9,4.5,0.8,2.1,0.3,1.9,0.29,3.2,3.4,651,1.3,36,16.4,2.7
V4.1_RF3,V4.1_RF3,73.45,13.71,2.6,0.041,0.55,0.48,1.75,5.54,0.364,0.21,1.72,100.4,7,2,33,< 20,44,< 20,< 10,40,19,2,6,190,121,19,99,10,< 2,< 0.5,< 0.2,6,< 0.5,4.9,467,< 0.4,30.9,66.7,7.75,28.9,6.9,0.99,5.7,0.8,4.1,0.6,1.7,0.24,1.6,0.25,2.9,3.4,715,1.1,42,12.8,3.6
V4.1_RF4,V4.1_RF4,74.5,13.33,2.15,0.043,0.34,0.62,2.3,5.52,0.271,0.08,1.26,100.4,6,3,22,< 20,34,< 20,< 10,40,21,2,6,291,53,39,115,11,< 2,0.5,< 0.2,9,< 0.5,11.4,371,0.6,37.1,80.1,9.11,33.5,7.4,0.61,6.7,1.1,6.8,1.3,4,0.6,4,0.63,3.5,2.1,544,1.6,32,18.7,3.7
V4.1_RF5,V4.1_RF5,71.78,13.39,4.59,0.067,0.86,1.16,2.19,3.81,0.507,0.24,1.5,100.1,10,5,53,30,25,< 20,10,60,18,2,< 5,191,84,24,149,11,< 2,0.6,< 0.2,11,< 0.5,16.7,301,< 0.4,26.1,55,6.47,24.7,5.3,0.95,4.8,0.8,4.5,0.9,2.4,0.34,2.2,0.36,3.8,2.3,378,1.1,22,8.4,2.2
V4.1_RF6,V4.1_RF6,73.46,13.73,2.42,0.041,0.34,1.07,2.92,5.05,0.2,0.09,0.71,100,5,4,16,< 20,32,< 20,< 10,50,18,1,< 5,241,63,32,93,9,< 2,< 0.5,< 0.2,6,< 0.5,9.4,343,< 0.4,31.5,67.7,7.68,28.5,6.5,0.74,5.8,0.9,5.8,1.1,3.1,0.47,3,0.46,3,3.2,542,1.3,29,17,2.8
V4.1_RF7,V4.1_RF7,80.47,8.2,4.43,0.076,1.07,0.28,0.76,1.89,0.46,0.08,1.48,99.2,6,2,46,40,33,30,< 10,70,11,1,< 5,85,28,16,158,7,< 2,0.7,< 0.2,2,< 0.5,2,266,< 0.4,18.2,67.9,4.92,18.7,4,0.85,3.3,0.6,3.3,0.6,1.9,0.28,1.9,0.31,4.2,1.3,329,0.5,< 5,7.1,1.4
V4.1_RF8,V4.1_RF8,70.06,15.53,2.74,0.048,0.43,0.97,2.97,5.93,0.263,0.09,1.14,100.2,6,6,25,< 20,45,< 20,20,60,20,2,< 5,285,90,32,142,13,< 2,1.5,< 0.2,9,< 0.5,13.3,594,0.6,52.2,107,12.8,46.5,9.8,1.09,8,1.1,6.2,1.1,3.1,0.42,2.8,0.44,4.2,2.6,677,1.7,41,25,4.7
X4.1_RF1,X4.1_RF1,70.83,13.98,4.99,0.073,1.02,0.96,1.78,4.21,0.646,0.21,2.14,100.8,12,2,68,40,32,< 20,< 10,60,20,2,5,200,91,25,192,13,< 2,0.8,< 0.2,7,< 0.5,12.4,389,< 0.4,31.9,67.6,7.81,30.2,6.4,1.11,5.4,0.8,4.9,0.9,2.5,0.36,2.3,0.37,5.1,1.8,86,1,26,9.6,1.9
X4.1_RF2,X4.1_RF2,68.85,14.24,4.95,0.068,1.02,1.82,2.5,4.03,0.632,0.14,1.4,99.66,11,3,53,40,31,20,< 10,70,21,2,< 5,169,115,25,230,10,< 2,1,< 0.2,5,< 0.5,10.5,523,< 0.4,8,23.3,2.17,8.5,2.3,0.76,2.7,0.5,3.9,0.9,2.7,0.42,2.8,0.45,6.2,2,472,0.9,27,7.6,1.4
X4.1_RF3,X4.1_RF3,73.28,13.06,3.39,0.041,0.78,0.6,1.93,4.85,0.45,0.14,2.05,100.6,8,3,45,20,61,< 20,< 10,40,19,1,< 5,187,94,29,148,10,< 2,0.6,< 0.2,4,< 0.5,7.4,441,< 0.4,45.5,98.8,11.4,42,9.7,1.03,7.9,1.1,5.7,1,2.7,0.38,2.3,0.38,4,0.8,908,1.1,34,19.5,3.7
X4.1_RF4,X4.1_RF4,72.52,15.56,1.96,0.022,0.39,0.49,2.38,5.12,0.308,0.12,2.01,100.9,8,3,27,20,65,< 20,< 10,40,25,2,< 5,245,54,31,130,16,< 2,0.5,< 0.2,14,< 0.5,8.9,208,< 0.4,36.4,76.9,9,33.3,7.6,0.61,6.1,1,5.6,1,2.9,0.42,2.7,0.42,4.2,4.2,1000,0.9,24,15.9,3.2
X4.1_RF5,X4.1_RF5,71.39,15.6,0.95,0.022,0.2,0.74,2.7,7.21,0.096,0.14,1.05,100.1,2,7,7,< 20,65,< 20,< 10,< 30,15,1,< 5,243,112,10,61,4,9,< 0.5,< 0.2,5,< 0.5,21.3,594,< 0.4,13,28.8,3.1,11.8,2.6,1.13,2.2,0.3,1.8,0.3,0.8,0.14,0.9,0.14,2,3.4,952,1.2,47,6.3,1.7
X4.1_RF6,X4.1_RF6,47.65,16.04,14.86,0.161,4.58,3.51,2.48,0.99,3.457,0.44,6.15,100.3,26,2,330,20,59,30,20,170,25,2,18,48,412,28,283,39,2,1.1,< 0.2,3,< 0.5,9.9,385,< 0.4,30.7,64.7,7.92,34.5,7.2,2.19,7,1,5.8,1.1,3.2,0.45,2.8,0.44,6.4,2.6,65,0.3,8,4.2,1.1
X4.1_RF7,X4.1_RF7,66.63,15.3,6.26,0.079,1.3,1.76,2.46,3.35,0.758,0.21,2.28,100.4,13,4,84,40,23,< 20,10,70,22,2,< 5,166,136,21,238,15,< 2,0.8,< 0.2,4,< 0.5,11.9,507,< 0.4,32.2,70.8,7.91,30.9,6.3,1.27,5.2,0.8,4.4,0.8,2.2,0.3,1.9,0.31,6,1.3,216,0.7,23,10.5,1.9
X4.1_RF8,X4.1_RF8,69.83,14.7,4.29,0.058,0.99,0.99,2.19,3.86,0.564,0.22,1.95,99.64,11,3,64,30,36,< 20,20,60,20,2,< 5,163,103,22,196,14,< 2,0.7,< 0.2,8,< 0.5,6.4,398,1.4,34,70,8.41,32.2,6.7,1.07,5.7,0.9,4.6,0.8,2.3,0.32,2,0.31,5.2,2.5,355,0.8,23,10,3
X4.1_RF9,X4.1_RF9,55.09,14.88,13.06,0.202,1.96,4.14,2.16,3.18,2.739,0.57,2.7,100.7,23,2,113,< 20,29,< 20,20,140,26,2,< 5,131,330,56,476,48,3,1.9,< 0.2,2,< 0.5,13.8,883,< 0.4,73.5,150,18,70.8,14.7,3.54,13.1,2,11.5,2.2,5.8,0.77,4.8,0.74,10.9,3.2,149,1,21,14.1,1.7
X4.1_RF10,X4.1_RF10,66.2,15.22,6.94,0.095,1.43,1.57,2.17,4.08,0.843,0.22,1.46,100.2,13,3,86,50,54,30,20,100,21,2,< 5,200,113,35,265,17,2,1,< 0.2,4,< 0.5,14.4,540,< 0.4,44.8,94.2,11.1,42.5,9.3,1.57,8,1.2,6.8,1.2,3.3,0.47,3,0.45,6.3,2.5,558,1,27,14.3,3.1
