,,SiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,Total,Sc,Be,V,Ba,Sr,Y,Zr,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Nb,Mo,Ag,In,Sn,Sb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U
52_4_X4.1_D.3,X4.1_D.3,79.74,9.83,2.38,0.091,0.52,1.16,2.03,2.36,0.305,0.12,2.16,100.7,5,4,28,335,98,28,142,30,7,< 20,20,40,9,2,6,92,4,< 2,< 0.5,< 0.2,2,< 0.5,3.3,22.7,55,5.31,20.3,4.4,0.81,4.1,0.7,4.5,0.9,2.8,0.41,2.6,0.4,3.2,0.6,< 1,0.3,24,< 0.4,7.8,2.4
52_4_X4.1_D.6,X4.1_D.6,79.49,9.26,1.84,0.062,0.37,1,1.99,2.29,0.225,0.12,1.86,98.51,4,3,21,322,84,20,77,< 20,5,< 20,< 10,40,9,1,6,95,3,< 2,< 0.5,< 0.2,1,< 0.5,3.2,16.9,49.1,4.13,15.8,3.5,0.83,3.4,0.6,4,0.8,2.4,0.35,2.5,0.43,2.3,0.5,1,0.4,27,< 0.4,7,2.3
W4.1_RF3,W4.1_RF3,71.14,13.96,2.41,0.047,0.52,0.96,2.37,5.54,0.309,0.11,1.15,98.51,6,3,28,446,99,20,105,< 20,21,< 20,< 10,40,17,2,< 5,227,8,< 2,< 0.5,< 0.2,7,< 0.5,12.1,33.2,70.4,8.06,29.7,6.5,1.14,5.3,0.8,3.9,0.7,2,0.3,1.8,0.28,3.1,2.3,248,0.9,41,< 0.4,14.5,2.7
W4.1_RF11,W4.1_RF11,67.73,15.15,4.84,0.082,1.1,1.05,2.21,4.24,0.647,0.23,1.75,99.04,11,6,70,428,101,34,207,40,62,< 20,< 10,60,20,2,< 5,225,14,< 2,0.6,< 0.2,13,< 0.5,13.8,36.4,78.5,8.91,34.2,7.5,1.18,6.8,1.2,6.7,1.3,3.8,0.55,3.5,0.52,5.3,3,531,0.8,25,0.4,11.8,2.9
42_2_V2.1_Oa,V2.1_Oa,54.97,6.05,1.5,0.506,0.22,0.55,0.9,1.47,0.54,0.21,31.65,98.55,5,2,49,351,57,24,205,30,25,< 20,< 10,< 30,11,2,< 5,53,7,< 2,0.7,< 0.2,8,1,3.9,22.9,46.6,5.34,20.7,4.3,0.61,3.6,0.6,3.7,0.8,2.4,0.38,2.7,0.42,4.9,1.3,237,0.7,70,< 0.4,7.3,2.3
42_2_V2.1_E.1,V2.1_E.1,81.19,8.37,1.41,0.12,0.2,0.55,1.24,2.18,0.836,0.06,3.12,99.28,6,4,47,393,69,34,383,20,41,< 20,< 10,< 30,14,2,< 5,75,12,< 2,1.1,< 0.2,5,< 0.5,4.9,37.2,76.8,8.63,31.6,6.4,0.91,5.6,0.9,5.9,1.2,3.9,0.59,4.1,0.66,10,4,535,0.4,31,< 0.4,11.4,3.3
42_2_V2.1_E.2,V2.1_E.2,81.62,8.79,1.34,0.058,0.21,0.52,1.23,2.37,0.864,0.05,2.13,99.19,7,4,44,405,72,34,417,30,42,< 20,< 10,< 30,15,2,< 5,85,13,< 2,1.3,< 0.2,5,< 0.5,5.9,39.6,81.4,9.26,34.3,6.6,0.94,6,1,6,1.3,3.8,0.61,4.1,0.67,10.9,3,552,0.4,21,< 0.4,11.9,3.3
42_2_V2.1_E.3,V2.1_E.3,82.34,8.64,1.46,0.066,0.25,0.6,1.16,2.31,0.884,0.08,2.52,100.3,7,4,50,390,73,32,418,30,23,< 20,< 10,< 30,16,2,< 5,84,12,< 2,1.2,< 0.2,5,< 0.5,6.5,33.9,69.2,8.08,29.4,6.5,0.88,4.9,0.8,5.4,1.1,3.3,0.54,3.4,0.6,9.3,1.6,294,0.4,20,< 0.4,11,3.2
42_2_V2.1_E.4,V2.1_E.4,84.28,7.71,1.29,0.064,0.2,0.61,1.19,2.16,0.691,0.07,1.76,100,5,4,37,355,70,31,371,30,26,< 20,< 10,< 30,13,2,< 5,81,12,< 2,1,< 0.2,4,< 0.5,5.6,32.8,67.5,7.78,29.7,5.8,0.83,4.7,0.8,5.4,1.1,3.3,0.52,3.5,0.56,8.7,2.8,483,0.4,20,< 0.4,11.1,3
42_3_V3.1_Oa,V3.1_Oa,35.04,5.3,1.53,0.124,0.19,0.37,0.64,1.1,0.309,0.51,54.44,99.56,3,1,32,205,42,13,93,20,13,< 20,20,< 30,8,1,< 5,45,5,< 2,0.7,< 0.2,11,1.5,4.2,13.8,27.4,3.02,11.4,2.3,0.45,2,0.4,2.3,0.4,1.4,0.22,1.4,0.24,3.8,0.6,153,0.3,21,< 0.4,4,1.6
