,,SiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,TiO2,P2O5,LOI,Total,Sc,Be,V,Ba,Sr,Y,Zr,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Nb,Mo,Ag,In,Sn,Sb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U
42_3_V3.1_Bhs1,V3.1_Bhs1,69.14,8.8,2.78,0.225,0.26,0.69,1.35,2.14,0.608,0.38,12.19,98.57,5,4,44,376,73,27,260,20,12,< 20,< 10,< 30,12,1,5,79,8,< 2,0.9,< 0.2,4,< 0.5,5.3,26.7,55.3,6.17,22.9,4.8,0.76,4.4,0.8,4.6,1,3,0.46,3.1,0.5,7.3,2.1,148,0.3,26,< 0.4,8.9,3.2
42_3_V3.1_Bhs2.1,V3.1_Bhs2.1,67.61,9.52,3.71,0.236,0.27,0.66,1.3,2.12,0.663,0.45,12,98.53,6,4,47,377,72,32,288,20,13,< 20,< 10,< 30,13,1,< 5,74,8,< 2,1,< 0.2,5,< 0.5,5.1,27.8,57.7,6.5,24,4.9,0.84,4.8,0.8,5.4,1.1,3.5,0.52,3.6,0.56,7.4,1.2,127,0.3,17,< 0.4,9.4,3.1
42_3_V3.1_Bhs2.2,V3.1_Bhs2.2,60.34,10.72,4.71,0.205,0.37,0.84,1.44,1.97,0.517,0.65,16.66,98.42,6,3,46,338,73,22,174,30,20,< 20,< 10,< 30,15,< 1,7,73,6,< 2,0.6,< 0.2,3,< 0.5,4,22.7,48.5,5.32,19.6,4.2,0.89,3.7,0.6,3.9,0.8,2.3,0.37,2.5,0.39,4.5,1.2,192,0.3,6,< 0.4,8.5,2.5
42_3_V3.1_Bhs3.1,V3.1_Bhs3.1,62.44,10.93,4.47,0.175,0.45,0.92,1.59,2.07,0.456,0.61,14.58,98.69,6,6,44,348,78,26,186,30,22,< 20,< 10,< 30,13,< 1,6,78,6,< 2,0.7,< 0.2,2,< 0.5,4,26.4,56.5,6.21,23,4.8,0.91,4.5,0.8,4.7,1,2.9,0.45,3,0.47,5.3,1.2,230,0.3,15,< 0.4,9.5,2.7
42_3_V3.1_Bhs3.2,V3.1_Bhs3.2,66.54,10.8,3.91,0.141,0.45,1.07,1.8,2.1,0.474,0.52,11.6,99.4,6,3,41,352,84,30,250,20,21,< 20,< 10,< 30,12,1,6,78,6,< 2,0.8,< 0.2,3,< 0.5,3.6,28.2,60.5,6.68,25.3,5.4,0.96,5.1,0.9,5.6,1.1,3.4,0.52,3.5,0.57,6.6,2,207,0.3,12,< 0.4,10.1,2.8
42_3_V3.1_Bhs3.3,V3.1_Bhs3.3,68.48,10.99,3.4,0.124,0.47,1.21,1.98,2.24,0.459,0.45,9.19,99,6,4,40,369,91,31,233,20,13,< 20,< 10,30,12,1,5,85,5,< 2,0.8,< 0.2,2,< 0.5,3.7,27.5,60.4,6.5,24,5.2,1.01,5.1,0.9,5.4,1.1,3.4,0.5,3.4,0.56,6.3,1.3,144,0.3,15,< 0.4,9.4,2.8
42_3_V3.1_BC.1,V3.1_BC.1,71.13,10.99,2.84,0.097,0.43,1.18,2.13,2.46,0.391,0.4,7,99.06,6,5,35,389,93,31,160,20,14,< 20,< 10,< 30,11,1,< 5,88,4,< 2,0.5,< 0.2,2,< 0.5,3.6,27,58.5,6.37,24.1,5.2,0.96,4.9,0.9,5.3,1.1,3.4,0.52,3.3,0.54,4.3,1.5,211,0.3,20,< 0.4,9.1,2.4
42_3_V3.1_BC.2,V3.1_BC.2,72.83,10.81,2.91,0.078,0.46,1.24,2.08,2.38,0.395,0.33,6.45,99.96,6,3,38,383,95,31,229,20,36,< 20,< 10,< 30,12,1,< 5,93,5,< 2,0.6,< 0.2,3,< 0.5,3.8,26.5,57,6.3,24.7,5.3,0.94,4.9,0.9,5.4,1.1,3.2,0.49,3.2,0.48,4.9,1.5,406,0.4,17,< 0.4,9.3,2.6
42_3_V3.1_C.1,V3.1_C.1,75.31,11.33,2.48,0.063,0.47,1.29,2.3,2.64,0.386,0.25,4.16,100.7,6,4,34,412,101,32,193,< 20,34,< 20,< 10,30,11,1,< 5,97,5,< 2,0.6,< 0.2,3,< 0.5,3.8,27.2,58.4,6.44,24.6,5.4,0.99,5.1,0.9,5.7,1.2,3.5,0.5,3.5,0.55,5.4,1.6,398,0.3,20,< 0.4,9.2,2.4
42_3_V3.1_D.2,V3.1_D.2,71.13,12.98,3.11,0.069,0.92,1.51,2.48,3.08,0.464,0.17,2.6,98.51,8,4,50,522,152,27,178,40,18,< 20,20,60,14,1,6,131,7,< 2,0.6,< 0.2,4,< 0.5,6.9,29.4,65.7,7.2,27.3,5.8,1.1,5.5,0.9,5.2,1,2.9,0.42,2.9,0.43,5,1.2,212,0.5,30,< 0.4,11.9,3
42_3_V3.1_D.8,V3.1_D.8,72.54,12.5,3.27,0.079,0.74,1.25,2.37,3.15,0.447,0.15,1.92,98.42,8,4,47,456,99,27,151,250,246,140,290,60,14,1,5,136,6,3,11,< 0.2,26,< 0.5,6.6,26,56.4,6.33,24.6,5.3,0.97,4.8,0.8,5,1,2.8,0.44,2.9,0.44,3.8,1.8,341,0.5,23,< 0.4,10.3,3.3
52_2_X2.1_Oa,X2.1_Oa,30.41,5.16,1.36,0.035,0.16,0.2,0.48,1.07,0.508,0.41,59.58,99.38,4,2,43,194,38,15,136,30,9,< 20,20,< 30,8,1,< 5,47,6,2,0.8,< 0.2,12,1.5,5.7,18.9,37.1,4.16,15.6,3.1,0.46,2.5,0.4,2.5,0.5,1.6,0.24,1.6,0.25,4.2,0.7,122,0.2,22,< 0.4,5.8,2.6
52_2_X2.1_E1.1,X2.1_E1.1,80.03,9.01,1.38,0.045,0.19,0.37,1.13,2.41,0.922,0.07,4.68,100.2,7,3,49,394,70,38,429,30,9,< 20,< 10,< 30,12,2,< 5,83,14,< 2,1.2,< 0.2,6,< 0.5,6.3,38.6,78.6,8.79,32.7,6.6,0.97,5.9,1,6.4,1.4,4.2,0.65,4.2,0.67,10.6,2.5,197,0.3,21,< 0.4,11.4,4
52_2_X2.1_E1.2,X2.1_E1.2,81.93,8.12,1.22,0.053,0.18,0.34,0.99,2.32,0.781,0.06,3.05,99.05,6,3,42,379,61,32,349,30,17,< 20,< 10,< 30,12,2,< 5,82,13,< 2,1.1,< 0.2,5,< 0.5,6,34.1,70.4,7.91,29.2,5.9,0.87,5.3,0.9,5.4,1.2,3.6,0.54,3.6,0.56,9.1,2.8,349,0.3,20,< 0.4,10.1,3.1
52_2_X2.1_E2,X2.1_E2,84.56,7.83,1.23,0.053,0.17,0.35,1,2.22,0.783,0.04,1.63,99.86,6,3,40,379,62,36,370,30,71,< 20,60,50,11,2,< 5,78,13,< 2,1,< 0.2,5,< 0.5,5.5,36.8,75.4,8.53,31.9,6.3,0.9,5.5,1,6.1,1.3,4.1,0.64,4.3,0.68,9.6,4.5,966,0.3,20,< 0.4,11,3.3
52_3_X3.1_Oa,X3.1_Oa,63.13,7.73,1.39,0.041,0.16,0.55,1.24,2.33,0.491,0.16,22.25,99.46,5,2,33,344,62,24,242,20,14,< 20,10,50,11,2,< 5,83,7,< 2,1,< 0.2,6,0.5,3.8,27,55.5,6.4,24.3,4.8,0.63,4,0.7,4.1,0.8,2.5,0.37,2.5,0.38,6.8,1.6,252,0.3,25,< 0.4,10.4,2.6
52_3_X3.1_E,X3.1_E,79.3,9.19,1.93,0.053,0.16,0.64,1.5,2.8,0.66,0.08,4.46,100.8,6,4,39,411,72,38,368,20,21,< 20,< 10,< 30,13,2,< 5,101,9,< 2,1.1,< 0.2,4,< 0.5,4.9,40.4,83.8,9.53,35.1,7.3,0.76,6,1.1,6.3,1.3,4,0.6,4,0.64,8.4,2.4,381,0.4,24,< 0.4,14.8,3.4
52_3_X3.1_Bhs1,X3.1_Bhs1,56.88,8.19,5.5,0.052,0.3,0.64,1.1,1.82,0.731,0.17,23.37,98.76,5,2,63,304,58,26,215,30,26,< 20,< 10,< 30,24,1,7,70,10,< 2,0.7,< 0.2,4,< 0.5,4.6,23.4,50.9,5.33,20.3,4.3,0.65,4,0.7,4.6,1,3,0.47,3.2,0.51,5.2,1.9,293,0.3,16,< 0.4,8.9,3
52_3_X3.1_Bhs2.1,X3.1_Bhs2.1,58.69,8.48,5.47,0.056,0.31,0.69,1.21,1.83,0.606,0.17,22.68,100.2,5,2,46,311,64,28,260,20,44,< 20,< 10,< 30,20,1,6,69,9,< 2,0.9,< 0.2,4,< 0.5,4.4,35.2,78,8.52,31.1,8.2,0.75,6,1,5.2,1,3,0.44,3,0.49,6.4,1.6,95,0.3,18,< 0.4,18.1,3.2
52_3_X3.1_Bhs2.2,X3.1_Bhs2.2,59.3,10.22,5.11,0.068,0.47,0.94,1.53,1.87,0.618,0.18,20.14,100.4,6,3,53,346,82,28,280,30,35,< 20,40,< 30,18,1,6,73,11,< 2,0.9,< 0.2,3,< 0.5,5.1,27.7,65.9,6.49,23.9,5.3,0.94,4.8,0.8,5.1,1,3.1,0.47,3.2,0.53,6.6,2,179,0.3,8,< 0.4,10.3,3.4
52_3_X3.1_Bhs2.3,X3.1_Bhs2.3,62.07,11.77,4.12,0.073,0.62,1.14,1.93,2.09,0.58,0.2,15.48,100.1,7,4,52,380,98,30,265,30,38,< 20,10,40,13,1,7,76,7,< 2,0.8,< 0.2,3,< 0.5,4.8,30,72.3,7.09,26.6,5.5,1.02,5.2,0.9,5.3,1.1,3.3,0.49,3.2,0.5,6.7,2,205,0.3,10,< 0.4,10.8,3.3
52_3_X3.1_BC.1,X3.1_BC.1,69.29,12.25,3.18,0.069,0.66,1.22,2.21,2.34,0.541,0.16,8.69,100.6,8,4,49,401,111,31,287,30,22,< 20,10,60,13,1,7,89,9,< 2,0.9,< 0.2,3,< 0.5,5.3,32.2,80.4,7.55,28.1,6.1,1.08,5.5,0.9,5.4,1.1,3.3,0.52,3.3,0.55,7.7,1.9,244,0.3,21,< 0.4,11.1,3.5
52_3_X3.1_BC.2,X3.1_BC.2,73.82,11.31,3.42,0.097,0.66,1.42,2.18,2.23,0.609,0.16,4.62,100.5,8,4,50,398,117,41,356,30,22,< 20,10,60,12,2,7,88,9,< 2,1,< 0.2,3,< 0.5,4.8,32.4,80.6,7.45,29,6.3,1.12,5.9,1.1,7.1,1.5,4.6,0.68,4.6,0.72,8.5,3.1,272,0.4,25,< 0.4,11.4,3.4
52_3_X3.1_D.1,X3.1_D.1,74.15,12.74,3.45,0.089,0.75,1.28,2.48,3.33,0.479,0.14,1.63,100.5,8,5,47,421,103,31,195,180,140,70,50,60,15,2,6,147,8,4,0.7,< 0.2,7,< 0.5,10.3,32.1,72,7.61,28.7,6.2,1.09,5.9,1,6.2,1.3,3.8,0.56,3.7,0.59,5.4,3.3,925,0.6,29,< 0.4,11.8,3.1
52_3_X3.1_D.2,X3.1_D.2,68.18,14.9,5.13,0.109,1.28,1.25,2.12,3.65,0.668,0.16,2.78,100.2,13,4,77,521,110,46,186,90,61,30,30,80,19,2,6,174,12,2,0.5,< 0.2,6,< 0.5,11.1,64.6,89.1,14.6,56,11.5,2,10.6,1.5,8.2,1.6,4.5,0.66,4.1,0.64,4.7,2.3,476,0.6,25,< 0.4,12.2,3.6
52_3_X3.1_D.3,X3.1_D.3,78.23,10.58,2.8,0.08,0.59,1.12,2.16,2.84,0.359,0.11,0.66,99.53,7,4,39,385,92,23,109,350,55,130,30,40,12,2,< 5,118,5,7,< 0.5,< 0.2,3,< 0.5,5.2,21.3,42.3,5.06,19.3,4.3,0.82,4,0.7,4.2,0.9,2.6,0.4,2.6,0.41,2.8,0.8,471,0.5,20,< 0.4,6.2,1.9
86_4_W4.1_Oa,W4.1_Oa,19.22,2.59,0.64,0.023,0.09,0.38,0.36,0.63,0.144,0.18,74.28,98.55,2,< 1,15,154,33,8,36,< 20,14,< 20,10,50,3,< 1,< 5,22,2,< 2,< 0.5,< 0.2,5,0.8,1.3,4.8,9.6,1.1,4.1,0.9,0.16,0.8,0.1,0.8,0.2,0.5,0.09,0.5,0.08,1.4,0.1,64,0.1,13,< 0.4,2.1,0.8
86_4_W4.1_E,W4.1_E,80.51,8.57,1.43,0.049,0.16,0.67,1.57,2.47,0.574,0.04,3.1,99.13,5,3,36,391,71,34,316,< 20,19,< 20,< 10,< 30,11,2,< 5,80,7,< 2,0.9,< 0.2,4,< 0.5,3.2,30.2,63.8,7.16,26.1,5.6,0.73,5.1,0.9,5.8,1.3,3.8,0.57,3.8,0.61,8.4,2,289,0.3,20,< 0.4,10.1,2.9
86_4_W4.1_Bhs,W4.1_Bhs,67.18,9.4,3.99,0.056,0.32,0.91,1.69,2.23,0.645,0.08,13.73,100.2,6,3,66,374,84,25,291,30,13,< 20,< 10,< 30,20,1,5,83,8,< 2,1,< 0.2,4,< 0.5,4.5,27.5,60.6,6.51,24.9,5.1,0.82,4.1,0.6,4.1,0.9,2.7,0.43,2.9,0.46,6.6,1.1,125,0.4,15,< 0.4,8.5,2.4
86_4_W4.1_Bs.1,W4.1_Bs.1,72.11,10.36,3.41,0.066,0.49,1.08,1.92,2.3,0.559,0.08,8.2,100.6,6,3,46,395,97,29,299,30,28,< 20,< 10,40,15,1,5,100,10,< 2,1,< 0.2,4,0.7,6,28.5,62.8,6.66,25.7,5.4,0.96,4.7,0.8,5.2,1.1,3.5,0.51,3.3,0.53,9.1,1.7,305,0.4,25,< 0.4,9.7,2.7
86_4_W4.1_Bs.2,W4.1_Bs.2,69.22,10.86,3.24,0.063,0.48,1.04,1.87,2.25,0.525,0.08,9.17,98.79,6,4,44,388,92,27,243,30,24,< 20,< 10,30,14,1,5,96,7,< 2,0.9,< 0.2,3,< 0.5,5.7,32.3,69.7,7.39,28,5.9,0.99,5.2,0.9,5.3,1.1,3.3,0.5,3.4,0.54,7.3,1.4,282,0.3,16,< 0.4,10,3.1
86_4_W4.1_Bs.3,W4.1_Bs.3,65.02,11.79,3.19,0.058,0.57,1,1.88,2.29,0.513,0.12,12.75,99.18,7,5,48,399,90,28,229,30,18,< 20,< 10,50,13,1,6,89,7,4,0.7,< 0.2,3,< 0.5,5.8,27.8,59.7,6.56,25,5.4,0.95,5,0.9,5.2,1,3.1,0.47,3.2,0.53,6.2,0.8,167,0.3,17,< 0.4,9.6,3
86_4_W4.1_BC.1,W4.1_BC.1,67.2,12.62,2.98,0.057,0.66,1.07,2.03,2.44,0.518,0.12,9.54,99.25,8,4,48,424,98,26,227,30,19,< 20,< 10,40,13,1,5,100,7,< 2,0.7,< 0.2,3,< 0.5,6.6,30.2,66.8,7.12,26.4,5.6,1.05,5.2,0.8,5,1,3,0.44,3,0.47,6.1,1.7,177,0.3,10,< 0.4,10,2.9
86_4_W4.1_BC.2,W4.1_BC.2,71.43,11.83,2.82,0.071,0.61,1.18,2.23,2.49,0.519,0.14,6.99,100.3,7,5,44,412,100,34,265,30,21,< 20,10,50,12,1,< 5,93,7,< 2,0.8,< 0.2,3,< 0.5,5.1,34.3,80.2,7.95,29.6,6.2,0.98,5.9,1,6.1,1.2,3.7,0.55,3.8,0.61,7.1,1.9,216,0.3,20,< 0.4,11.5,3.1
86_4_W4.1_D.1,W4.1_D.1,72.83,11.8,2.76,0.073,0.59,1.18,2.28,2.68,0.457,0.15,5.41,100.2,7,4,40,421,101,32,232,30,27,< 20,< 10,40,13,1,5,103,7,< 2,0.7,< 0.2,3,< 0.5,5.3,29.9,75.5,7.06,26.5,5.7,1.04,5.4,0.9,5.8,1.2,3.6,0.52,3.5,0.58,6.1,1.4,298,0.4,26,< 0.4,10.4,2.7
86_4_W4.1_D.2,W4.1_D.2,74.73,11.11,2.92,0.08,0.64,1.27,2.26,2.6,0.483,0.16,4.46,100.7,7,4,44,414,97,34,258,30,52,< 20,10,50,13,1,< 5,112,8,< 2,1.2,< 0.2,4,< 0.5,5.6,32.4,82.8,7.9,29.2,6.4,1.09,6.2,1.1,6.7,1.4,4.3,0.65,4.3,0.68,7.2,2.2,614,0.4,23,< 0.4,11.3,3.1
86_4_W4.1_D.4,W4.1_D.4,76.03,11.28,2.45,0.064,0.54,1.22,2.39,2.77,0.398,0.15,2.62,99.92,6,6,37,421,99,29,203,20,52,< 20,10,40,11,1,6,104,6,< 2,0.8,< 0.2,3,< 0.5,4.7,25.4,60.9,6.12,23.1,5.3,0.92,4.9,0.9,5.2,1.1,3.3,0.49,3.3,0.52,5.4,2,627,0.4,26,< 0.4,9,2.4
42_4_V4.1_Oa,V4.1_Oa,41.25,4.62,1.04,0.035,0.12,0.5,0.8,1.33,0.257,0.13,49.4,99.48,3,2,22,252,47,15,84,30,50,40,20,< 30,6,1,< 5,48,2,< 2,0.5,< 0.2,5,0.5,2.2,12.2,24.9,2.84,10.7,2.3,0.39,2,0.4,2.4,0.5,1.6,0.24,1.7,0.28,2.7,0.9,555,0.2,< 5,< 0.4,4.3,1.4
42_4_V4.1_E,V4.1_E,80.29,9.24,1.41,0.041,0.16,0.65,1.58,2.77,0.564,0.06,3.26,100,5,4,34,402,74,23,264,< 20,25,< 20,< 10,30,12,2,< 5,98,7,< 2,0.9,< 0.2,4,< 0.5,4.3,28.4,60.1,6.88,25.4,5.4,0.78,4.4,0.7,4.5,0.9,2.7,0.41,2.8,0.46,7.1,1.1,471,0.3,22,< 0.4,10,2.4
42_4_V4.1_Bhs1,V4.1_Bhs1,74.42,9.45,1.68,0.045,0.24,0.71,1.58,2.76,0.655,0.1,6.77,98.42,6,3,44,403,77,28,214,20,81,< 20,< 10,< 30,14,2,< 5,105,8,< 2,0.7,< 0.2,4,< 0.5,5.6,29,61.1,6.83,24.5,5.1,0.79,4.7,0.8,5,1,3.2,0.48,3.3,0.53,5.9,3.5,1210,0.4,23,< 0.4,9.4,2.5
42_4_V4.1_Bhs2.1,V4.1_Bhs2.1,67.41,10.05,3.22,0.048,0.33,0.76,1.67,2.77,0.51,0.12,11.8,98.7,5,3,45,395,76,23,170,30,21,< 20,< 10,< 30,18,2,7,114,7,< 2,0.7,< 0.2,4,< 0.5,5.7,25.5,54.7,6.04,22.4,4.8,0.89,4.3,0.7,4.6,1,2.9,0.47,3,0.51,5.2,1.8,264,0.3,< 5,< 0.4,8.5,2.5
42_4_V4.1_Bhs2.2,V4.1_Bhs2.2,66.71,9.38,3.75,0.051,0.35,0.85,1.64,2.32,0.452,0.13,12.98,98.61,5,3,43,359,78,24,190,30,18,< 20,< 10,30,16,1,< 5,93,6,< 2,0.6,< 0.2,6,< 0.5,4.7,23.3,49.8,5.56,20.5,4.4,0.8,3.8,0.7,4.3,0.9,2.6,0.41,2.7,0.44,4.4,1,207,0.4,14,< 0.4,8.5,2.3
42_4_V4.1_Bh.1,V4.1_Bh.1,65.39,10.85,3.22,0.062,0.41,0.98,1.83,2.29,0.4,0.19,12.95,98.58,6,3,39,362,82,25,171,20,20,< 20,< 10,< 30,13,1,5,91,5,< 2,0.6,< 0.2,3,< 0.5,4.6,25.8,56.2,6.23,23.4,4.9,0.85,4.4,0.8,4.7,0.9,2.8,0.43,2.8,0.44,4.5,1.5,187,0.4,9,< 0.4,9.2,2.3
42_4_V4.1_Bh.2,V4.1_Bh.2,67.47,11.8,2.76,0.056,0.48,1.07,2.01,2.36,0.397,0.2,11.81,100.4,6,4,37,373,88,25,197,20,18,< 20,< 10,< 30,12,1,5,94,6,< 2,0.7,< 0.2,3,< 0.5,4.9,26.8,58.4,6.42,23.6,5.3,0.9,4.7,0.8,4.9,1,3,0.42,2.7,0.43,4.9,0.8,151,0.3,6,< 0.4,9.5,2.5
42_4_V4.1_BC,V4.1_BC,71.45,12.07,2.59,0.059,0.55,1.11,2.26,2.67,0.395,0.2,7.1,100.5,7,4,39,399,95,25,202,30,23,< 20,< 10,50,12,1,6,105,7,< 2,0.7,< 0.2,5,< 0.5,5.3,27.6,59.7,6.54,24.6,5.2,0.97,4.7,0.8,4.8,0.9,2.8,0.42,2.9,0.44,5.1,1.8,220,0.4,24,< 0.4,9.1,2.3
42_4_V4.1_C.2,V4.1_C.2,76.71,11.39,2.52,0.074,0.57,1.32,2.34,2.89,0.413,0.18,1.97,100.4,6,3,38,416,104,28,219,30,34,< 20,10,60,14,2,10,139,7,< 2,0.8,< 0.2,4,< 0.5,6.1,31.6,67.1,7.31,28.8,5.8,1.02,5.2,0.9,5.6,1.1,3.4,0.49,3.2,0.51,5.7,1.7,365,0.7,29,< 0.4,11.3,2.9
42_4_V4.1_D.4,V4.1_D.4,76.23,11.78,2.38,0.062,0.56,1.32,2.54,2.89,0.395,0.16,1.5,99.82,7,4,37,425,107,28,233,50,28,30,30,60,12,2,< 5,117,7,< 2,2.5,< 0.2,4,< 0.5,5.1,27.3,62.3,6.7,25,5.6,1.04,5.1,0.9,5.4,1.1,3.2,0.48,3.2,0.51,6.2,1.8,305,0.5,24,< 0.4,10.8,2.8
42_4_V4.1_D.9,V4.1_D.9,78.06,11.3,2.44,0.073,0.51,1.13,2.41,3.04,0.314,0.14,1.11,100.5,6,3,30,376,93,24,161,80,57,50,210,80,12,2,5,125,6,< 2,32.4,< 0.2,13,< 0.5,5.3,22.7,48.8,5.55,20.6,4.5,0.85,4.3,0.8,4.6,0.9,2.7,0.4,2.6,0.41,4.3,3.1,598,0.5,26,< 0.4,8.5,2.5
