ID,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
17,42_5_V5.1,Bh1,NA,5/27/21 17:01,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.962516291,1.949285799,0.603867319,2.217455487,0.379366419,0.533549322,47.85992629,1.214552964,0.977505211,VT,9.746428994,0.048634875,2.667746612,0.011603944,1.896832094,0.015611787,11.08727743,0.028356208,239.2996315,2.660855798,3.019336597,6.072764819,4.887526057,0.104206814
18,42_5_V5.1,Bh2,NA,5/27/21 17:05,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.961952469,1.534492179,0.434449676,1.74864886,0.242189061,0.421139414,36.97706863,1.316790838,0.502334785,VT,7.672460895,0.038285733,2.105697071,0.009159187,1.210945303,0.009966628,8.743244298,0.022361239,184.8853431,2.055804408,2.172248379,6.583954191,2.511673923,0.079772787
19,52_2_PFM,E,NA,5/27/21 17:08,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.090259842,2.225162274,1.47093702,4.07741174,1.232421637,0.453831638,14.78735981,7.471791892,0.882322578,VT,11.12581137,0.055518021,2.269158191,0.009870197,6.162108184,0.05071694,20.3870587,0.052140815,73.93679903,0.822128974,7.354685098,37.35895946,4.411612888,0.168245972
20,52_3_PFM,Oa,NA,5/27/21 17:12,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.933987394,4.586424336,3.874373473,21.24162564,5.309710339,3.57810145,31.03246105,4.795756066,1.100023122,VT,22.93212168,0.114431745,17.89050725,0.077818648,26.54855169,0.218506598,106.2081282,0.271632041,155.1623052,1.725303616,19.37186736,23.97878033,5.500115611,0.682389033
22,52_3_PFM,Bhs1,NA,5/27/21 17:19,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.954709811,2.254844107,1.845088229,6.1824635,2.270758344,0.804471074,17.88697849,6.842689195,0.365696455,VT,11.27422053,0.056258586,4.022355368,0.017496109,11.35379172,0.093446845,30.9123175,0.079059636,89.43489245,0.994457662,9.225441143,34.21344597,1.828482277,0.246261175
23,52_3_PFM,Bhs2,NA,5/27/21 17:23,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.812492065,1.157693831,0.850714171,1.427683673,0.493466874,0.26566105,10.31688064,4.140657009,0.125642557,VT,5.788469157,0.028884577,1.328305252,0.005777752,2.467334368,0.020307279,7.138418365,0.018256824,51.58440319,0.573584913,4.253570856,20.70328504,0.628212784,0.073226432
24,52_4_PFM,Bh1,NA,5/27/21 17:26,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.840165146,2.334746683,0.882360296,4.921376779,1.178576947,0.883926898,58.2919364,3.640680069,1.059669861,VT,11.67373341,0.058252163,4.419634488,0.01922416,5.892884737,0.048501109,24.60688389,0.062933207,291.459682,3.240841535,4.411801479,18.20340034,5.298349307,0.188910639
25,52_4_PFM,Bh2,NA,6/3/21 14:53,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.915102383,1.283906787,0.525634511,2.58147168,0.502496441,0.754346342,49.98584478,1.955481854,0.292560848,VT,6.419533933,0.032033602,3.771731712,0.016405967,2.512482204,0.020678866,12.9073584,0.033011147,249.9292239,2.779049932,2.628172554,9.777409272,1.462804239,0.102129582
26,52_4_X4.2,Oa,NA,6/3/21 14:57,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.85372526,10.24291209,10.91930045,33.99437299,11.92113651,2.205127758,1.57290471,0.231462971,1.044973287,VT,51.21456044,0.255561679,11.02563879,0.047958411,59.60568253,0.490581749,169.971865,0.434710652,7.86452355,0.087448372,54.59650226,1.157314857,5.224866435,1.228812492
27,52_4_X4.2,E,NA,6/3/21 15:39,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.755572267,0.280902398,0.187107129,0.794550782,0.158199886,0.135510856,4.823897687,0.175611975,0.018307527,VT,1.404511988,0.007008543,0.677554282,0.00294717,0.790999432,0.006510283,3.972753909,0.010160496,24.11948844,0.268192977,0.935535646,0.878059873,0.091537634,0.026626492
28,52_4_X4.2,Bhs,NA,6/3/21 15:43,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.729231929,0.778079603,0.274187603,3.140787389,0.69522176,0.788401115,48.74796002,17.64229939,0.075958711,VT,3.890398017,0.019413164,3.942005573,0.01714661,3.476108799,0.028609949,15.70393695,0.040163522,243.7398001,2.710227577,1.370938017,88.21149693,0.379793554,0.105333244
29,52_4_X4.2,Bs,NA,6/3/21 15:46,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.945124438,0.476286484,0.127119304,0.745524903,0.103420277,0.256841964,47.31275803,0.568273385,0.015808801,VT,2.381432421,0.011883395,1.284209822,0.00558595,0.517101386,0.004255978,3.727624514,0.009533567,236.5637901,2.630435027,0.63559652,2.841366927,0.079044003,0.03125889
30,52_4_X4.2,Cd,NA,6/3/21 15:50,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.805168286,0.188856917,0.076474925,0.482125226,0.038505054,0.124882176,16.25158511,0.502123631,0.007390096,VT,0.944284586,0.004711999,0.624410879,0.002716011,0.192525269,0.00158457,2.41062613,0.006165284,81.25792557,0.903535125,0.382374626,2.510618154,0.036950479,0.015177864
