"","Lab_id","pedon","horizon","Mn_mgL","Fe_mgL","Ca_mgL","K_mgL","Na_mgL","Mg_mgL","P_mgL","S_mgL","Ca_mgKg","Na_mgKg","Mg_mgKg","K_mgKg","P_mgKg"
"43","Blank",NA,NA,-99.99,-99.99,0.104,-99.99,-99.99,-99.99,0.299,0.329,1.04,-999.9,-999.9,-999.9,2.99
"44","44","86_5_W5.1","Oa1",4.086,0.883,24.903,38.643,2.648,10.859,3.716,11.482,249.03,26.48,108.59,386.43,37.16
"45","45","86_5_W5.1","Bhs",-99.99,1.568,6.261,4.232,0.693,-99.99,1.185,2.186,62.61,6.93,-999.9,42.32,11.85
"46","46","86_5_W5.1","Bh1",0.531,1.969,5.792,2.987,0.581,-99.99,0.884,2.1,57.92,5.81,-999.9,29.87,8.84
"47","47","86_5_W5.1","Bh2",-99.99,1.176,3.034,1.287,0.369,-99.99,0.564,1.305,30.34,3.69,-999.9,12.87,5.64
"48","48","52_3_X3.1","Oa",0.538,1.92,7.53,11.254,0.552,3.286,2.927,5.487,75.3,5.52,32.86,112.54,29.27
"49","49","52_3_X3.1","E",-99.99,2.179,0.848,1.399,0.188,-99.99,0.868,1.115,8.48,1.88,-999.9,13.99,8.68
"50","50","52_3_X3.1","Bhs1",-99.99,25.357,1.868,5.75,0.397,0.24,1.4,2.822,18.68,3.97,2.4,57.5,14
"51","51","52_3_X3.1","Bhs2.1",-99.99,13.01,1.685,3.762,0.516,-99.99,0.602,2.522,16.85,5.16,-999.9,37.62,6.02
"52","52","52_3_X3.1","Bhs2.2",-99.99,4.729,1.034,2.173,0.448,-99.99,0.599,2.12,10.34,4.48,-999.9,21.73,5.99
"53","53","52_3_X3.1","Bhs2.3",-99.99,2.753,1.231,1.206,0.28,-99.99,0.657,2.453,12.31,2.8,-999.9,12.06,6.57
"54","Blank",NA,NA,-99.99,-99.99,0.088,-99.99,-99.99,-99.99,0.304,0.342,0.88,-999.9,-999.9,-999.9,3.04
"55","55","52_3_X3.1","BC1",-99.99,0.802,0.779,0.202,0.223,-99.99,0.53,1.911,7.79,2.23,-999.9,2.02,5.3
"56","56","52_3_X3.1","BC2",-99.99,0.684,0.491,-99.99,0.155,-99.99,0.501,1.54,4.91,1.55,-999.9,-999.9,5.01
"57","57","52_3_X3.1","D1",0.889,3.427,8.065,8.13,2.366,1.578,0.461,0.779,80.65,23.66,15.78,81.3,4.61
"58","58","52_3_X3.1","D3",-99.99,0.935,4.672,0.756,0.829,-99.99,0.445,0.417,46.72,8.29,-999.9,7.56,4.45
"59","59","52_2_X2.1","E1.1",-99.99,3.745,0.808,1.79,0.139,-99.99,1.129,1.067,8.08,1.39,-999.9,17.9,11.29
