...1,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,CEC_cmolKg
30,42_5_V5.1,Bhs,NA,5/27/21 16:57,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.959080395,2.734292517,1.389155455,5.771360752,1.324250841,0.691348683,80.02132406,1.177346833,2.828498572,VT,27.34292517,0.136441742,6.913486825,0.030071713,13.24250841,0.108991839,57.71360752,0.147605134,800.2132406,8.897849228,13.89155455,0.423110428
31,42_5_V5.1,Bh1,NA,5/27/21 17:01,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.962516291,2.033054166,0.410715194,2.78276732,0.512069866,0.473998628,49.12217656,1.217140898,0.973911808,VT,20.33054166,0.101449809,4.739986284,0.0206176,5.12069866,0.042145668,27.8276732,0.07117052,491.2217656,5.462065592,4.10715194,0.235383597
32,42_5_V5.1,Bh2,NA,5/27/21 17:05,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.961952469,1.618260546,0.24129755,2.313960693,0.374892508,0.36158872,38.23931889,1.319378773,0.498741382,VT,16.18260546,0.080751524,3.615887202,0.015728087,3.748925078,0.03085535,23.13960693,0.05918058,382.3931889,4.251962812,2.412975505,0.186515542
33,52_2_PFM,E,NA,5/27/21 17:08,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.090259842,2.308930641,1.277784894,4.642723573,1.365125084,0.394280944,16.04961007,7.474379827,0.878729174,VT,23.08930641,0.1152161,3.942809442,0.017150106,13.65125084,0.112355974,46.42723573,0.118739733,160.4961007,1.784611943,12.77784894,0.363461913
34,52_3_PFM,Oa,NA,5/27/21 17:12,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.933987394,4.670192703,3.681221347,21.80693747,5.442413786,3.518550756,32.29471131,4.798344001,1.096429719,VT,46.70192703,0.233043548,35.18550756,0.15304701,54.42413786,0.447935291,218.0693747,0.557722186,322.9471131,3.590961228,36.81221347,1.391748035
36,52_3_PFM,Bhs1,NA,5/27/21 17:19,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.954709811,2.338612474,1.651936103,6.747775332,2.403461791,0.744920379,19.14922876,6.845277129,0.362103052,VT,23.38612474,0.116697229,7.449203795,0.03240193,24.03461791,0.197815785,67.47775332,0.172577374,191.4922876,2.12926932,16.51936103,0.519492319
37,52_3_PFM,Bhs2,NA,5/27/21 17:23,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.812492065,1.241462198,0.657562046,1.992995506,0.626170321,0.206110356,11.5791309,4.143244943,0.122049154,VT,12.41462198,0.061949211,2.061103563,0.008965218,6.261703207,0.051536652,19.92995506,0.050971752,115.791309,1.287523822,6.575620458,0.173422833
38,52_4_PFM,Bh1,NA,5/27/21 17:26,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.840165146,2.41851505,0.68920817,5.486688612,1.311280395,0.824376204,59.55418667,3.643268003,1.056076458,VT,24.1851505,0.120684384,8.243762036,0.035858034,13.11280395,0.107924312,54.86688612,0.140324517,595.5418667,6.622037065,6.892081705,0.404791247
13,52_4_PFM,Bh2,NA,6/3/21 14:53,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.915102383,1.367675154,0.332482385,3.146783513,0.635199888,0.694795648,51.24809504,1.958069789,0.288967445,VT,13.67675154,0.068247263,6.947956484,0.030221646,6.351998879,0.052279826,31.46783513,0.080480397,512.4809504,5.698453859,3.324823854,0.231229132
14,52_4_X4.2,Oa,NA,6/3/21 14:57,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.85372526,10.32668046,10.72614833,34.55968483,12.05383995,2.145577064,2.835154976,0.234050906,1.041379884,VT,103.2668046,0.515303416,21.45577064,0.093326536,120.5383995,0.992085593,345.5968483,0.883879407,28.35154976,0.315250739,107.2614833,2.484594952
