"","Pedon","Horizon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Si","Ca","P","tau_Fe","tau_Si","tau_Ca","tau_P"
"14","52_2_X2.1","E",10,30,20,"X2.1_RF1",4447.16884542,222,58,20.0322920964865,34971.53805,325663.1579471,6789.6107175,698.2859312,-0.158290682505026,-0.00955678750127931,-0.375053589351398,-0.132617326079142
"15","52_2_X2.1","E",10,20,15,"X2.1_RF2",3470.23013679,153,31,22.6812427241176,28816.5473532,343472.4967124,4502.5839495,654.6430605,-0.111178220395566,0.338684573506765,-0.468889284389064,0.0420951166600978
