"","Pedon","Horizon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Si","Ca","P","tau_Fe","tau_Si","tau_Ca","tau_P"
"1","42_2_V2.1","E",15,20,17.5,"V2.1_RF8",6940.46027358,320,48,21.6889383549375,55954.46088,295700.4646438,6503.7323715,1352.9289917,-0.137066233393754,-0.423753496733547,-0.616420038725435,0.0768316205487678
"2","42_2_V2.1","E",15,20,17.5,"V2.1_RF10",5118.43961454,257,34,19.916107449572,46372.2594543,319492.9933355,11077.7859075,1003.7860261,-0.0302680751653803,-0.155755338531004,-0.114075105525752,0.0833396306450058
"3","42_2_V2.1","E",20,28,24,"V2.1_RF4",5897.59318584,310,39,19.024494147871,53296.6239882,304488.2748482,8647.8199665,1222.0003796,-0.0327117582338853,-0.301702751710333,-0.399776009404656,0.144610164721783
"4","42_2_V2.1","E",28,32,30,"V2.1_RF11",2067.75370845,121,18,17.0888736235537,21892.1828193,339031.8479389,4216.7056035,1091.0717675,0.133238389280799,1.21761554501361,-0.165250832482853,1.91484576109274
