"","Pedon","Horizon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Si","Ca","P","tau_Fe","tau_Si","tau_Ca","tau_P"
"5","42_3_V3.1","Bhs1",20,25,22.5,"V3.1_RF3",1911.92299419,124,44,15.4187338241129,16506.5659596,328794.9839242,9648.3941775,480.0715777,-0.0759034357042011,1.32594454334576,1.06569483433989,0.387064534588958
"6","42_3_V3.1","Bhs2",22,36,29,"V3.1_RF4",1983.84486231,126,28,15.7448004945238,23710.7027979,334778.1738506,6861.080304,741.9288019,0.279286273740488,1.28241176753142,0.415683979116591,1.06592995635153
"7","42_3_V3.1","Bhs3",45,50,47.5,"V3.1_RF6",2355.44118093,143,37,16.4716166498601,26648.3119941,337395.8194434,8147.532861,872.857414,0.210956272134678,0.937367465159926,0.415909119698512,1.04706725206513
