"","Pedon","Horizon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Si","Ca","P","tau_Fe","tau_Si","tau_Ca","tau_P"
"29","86_2_W2.2","E",16,18,17,"W2.2_RF2",683.25774714,23,4,29.7068585713044,5315.6737836,362543.9146028,3144.661806,174.5714828,-0.167268915224972,6.17663111895419,0.88395664033754,0.411399000108062
"30","86_2_W2.2","E",24,27,25.5,"W2.2_RF4",5484.04244415,273,31,20.088067560989,47911.0071285,320100.6610624,6074.9148525,305.5000949,-0.0648839457854199,-0.2105396324374,-0.546558871215331,-0.69226874259939
"31","86_2_W2.2","E",28,32,30,"W2.2_RF6",5058.50472444,211,33,23.97395604,41266.414899,323092.2560256,9148.107072,218.2143535,-0.126816338831872,-0.136128875376089,-0.259729230509334,-0.761700998204504
"32","86_2_W2.2","E",28,31,29.5,"W2.2_RF5",4818.76516404,228,26,21.13493493,42035.7887361,321082.2781597,7289.897823,305.5000949,-0.0662847351682992,-0.0987917837650677,-0.380748309197057,-0.649783457062738
