"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Al","Si","Mn","Ca","P","K","Ce","tau_Fe","tau_Al","tau_Si","tau_Mn","tau_Ca","tau_P","tau_K","tau_Ce"
"36","52_2_X2.1",7,12.5,9.75,"52_2_X2.1_Oa",3044.69241708,136,15,22.3874442432353,9512.2583496,27309.8773008,142147.5044233,271.0616461,1429.39173,1789.3576987,8882.607354,37.1,-0.604288899721882,-0.63507138101652,-0.67071524092836,-0.613513754683982,-0.869915184921516,1.26560742417819,-0.695539051471457,-0.527617944381929
"37","52_2_X2.1",12.5,19.5,16,"52_2_X2.1_E1.1",5525.99686722,429,38,12.8811115786014,9652.1445018,47686.4330388,374089.6014139,348.5078307,2644.3747005,305.5000949,20006.620302,78.6,-0.778766340963561,-0.648912146795619,-0.52253579573737,-0.726213958229806,-0.867403786105467,-0.786876355738383,-0.622168943920647,-0.448589769621798
"38","52_2_X2.1",19.5,26,22.75,"52_2_X2.1_E1.2",4680.91491681,349,32,13.4123636584814,8533.0552842,42976.0084656,382970.8989609,410.46477838,2429.965941,261.8572242,19259.485104,70.4,-0.769106432638806,-0.62646875994747,-0.422953457764977,-0.619324833770314,-0.856157175029732,-0.784342418135126,-0.570613405413859,-0.416951315733847
"39","52_2_X2.1",26,30,28,"52_2_X2.1_E2",4692.90189483,370,36,12.6835186346757,8602.9983603,41441.1510204,395264.4845128,410.46477838,2501.4355275,174.5714828,18429.334884,75.4,-0.767808463021393,-0.640729189062776,-0.405951184498708,-0.620297184131054,-0.852304724642692,-0.856595511761204,-0.59017094650034,-0.377136648636968
