"","Pedon","TDepth","BDepth","Depth","Name","Ti","Zr","Y","Ratio","Fe","Al","Si","Mn","Ca","P","K","Ce","tau_Fe","tau_Al","tau_Si","tau_Mn","tau_Ca","tau_P","tau_K","tau_Ce"
"43","52_3_X3.1",4,9,6.5,"52_3_X3.1_Oa",2942.80310391,242,24,12.1603434045868,9722.0875779,40911.8898324,295092.7969169,317.52935686,3930.8272575,698.2859312,19342.500126,55.5,-0.581556963387468,-0.43438627931879,-0.292749571550128,-0.531583618420599,-0.629880882556736,-0.0852487634136244,-0.314060267780183,-0.268869863686744
"44","52_3_X3.1",9,15,12,"52_3_X3.1_E",3955.7027466,368,38,10.7491922461957,13499.0136873,48639.1031772,370677.313409,410.46477838,4574.053536,349.1429656,23244.20616,83.8,-0.567768503613327,-0.499742613255592,-0.339081096312737,-0.549534386628205,-0.6795971584976,-0.65974025972431,-0.386766846237609,-0.17873507063287
"45","52_3_X3.1",15,20,17.5,"52_3_X3.1_Bhs1",4381.24046631,215,26,20.377862634,38468.691855,43346.4912972,265878.0023544,402.72015992,4574.053536,741.9288019,15108.734004,50.9,0.112111545603384,-0.597479077759799,-0.571982887551596,-0.600960693520894,-0.710716996728339,-0.347176079703619,-0.640113511677065,-0.549615330012515
"46","52_3_X3.1",20,28,24,"52_3_X3.1_Bhs2.1",3632.05434006,260,28,13.9694397694615,38258.8626267,44881.3487424,274338.6068597,433.69863376,4931.4014685,741.9288019,15191.749026,78,0.334190177888786,-0.497258007137349,-0.467266009474661,-0.481623729054688,-0.623784411045294,-0.21251768030255,-0.563494222587096,-0.167459876890997
"47","52_3_X3.1",28,36,32,"52_3_X3.1_Bhs2.2",3703.97620818,280,28,13.2284864577857,35740.9118871,54090.4934136,277189.970809,526.63405528,6718.141131,785.5716726,15523.809114,65.9,0.222180814522606,-0.405866069938765,-0.472180853248446,-0.382765563652496,-0.497426368153092,-0.182385575551134,-0.56261421730609,-0.310268383694148
"48","52_3_X3.1",36,46,41,"52_3_X3.1_Bhs2.3",3476.2236258,265,30,13.1178250030189,28816.5473532,62294.0418276,290137.9677591,565.35714758,8147.532861,872.857414,17350.139598,72.3,0.0499588038008227,-0.270928026770495,-0.411328956119643,-0.293967688605951,-0.350562774928864,-0.0320197043881241,-0.479129425923743,-0.193705869896701
