"","Pit","Inc","Approx. horizon","Horizon no.","Top depth","Bottom depth","Oriented","Weight","Bulk/Ind","Kinsman","Rangeley","Ammonoosuc","Other","TS","Elemental","Comment","newname","Si","Al","Fe","Mn","Mg","Ca","Na","K","Ti","P","Ba","Sr","Y","Zr","Co","Ga","Rb","Sn","Cs","La","Ce","Pr","Nd","Sm","Eu","Gd","Dy","Er","Yb","Lu","Th","U"
"15","52_2_X2.1","RF2","E",NA,10,20,"Y","129.3","Ind",129.3,NA,NA,NA,"Y","Y","PFM2","X2.1_RF2",343472.4967124,64887.4216488,28816.5473532,456.93248914,5608.2895026,4502.5839495,13724.48733,44413.03677,3470.23013679,654.6430605,557,152,31,153,40,17,199,6,19.4,29.5,62.7,7.23,27.1,5.7,1.2,5,5,3.1,3,0.47,9.6,2.6
"16","52_3_X3.1","RF1","E",NA,2,15,"Y","2782","Ind",2782,NA,NA,NA,"Y","Y",NA,"X3.1_RF1",341462.5188465,71926.5954492,16996.1674923,286.55088302,1809.125646,6432.262785,20104.519278,40096.255626,1078.8280218,349.1429656,283,54,31,73,53,19,248,7,12.4,25.9,55.8,6.33,22.1,5.2,0.6,4.9,5.3,3,3.1,0.44,13.9,2.4
"17","52_3_X3.1","RF2","E",NA,11,14,"Y","172.2","Ind",172.2,NA,NA,NA,"Y","Y",NA,"X3.1_RF2",335385.8415775,69544.9201032,28466.8319727,387.230923,4281.5973622,4716.992709,13279.368822,47899.667694,2373.42164796,392.7858363,473,72,27,132,27,22,298,4,11.3,49.7,105,12.2,43.9,9.5,0.91,7.3,5.4,2.5,2.2,0.33,23.2,2.5
"18","52_3_X3.1","RF3","Bhs",2,22,27,"Y","298","Ind",298,NA,NA,NA,"Y","Y",NA,"X3.1_RF3",333890.0440959,79706.7349128,16366.6798074,348.5078307,3557.9471038,7361.3674095,19585.214352,48148.71276,1756.09227993,567.3573191,498,98,22,112,39,19,283,5,8.9,25.1,62.9,6.24,23.2,5.3,0.96,4.6,4.1,2.1,1.9,0.28,14.4,2.7
"19","52_3_X3.1","RF4","Bhs",2,35,40,"Y","229.7","Ind",229.7,NA,NA,NA,"Y","Y",NA,"X3.1_RF4",336601.1770313,72720.4872312,21052.8659061,402.72015992,3256.4261628,7361.3674095,18620.790918,43499.871528,1738.1118129,567.3573191,422,94,29,97,34,15,213,6,10.4,31.1,67.1,7.7,28.4,6.6,1.11,6,5.4,2.8,2.5,0.4,15.2,3.2
"20","52_3_X3.1","RF7","D",1,105,120,"N","25.2","Ind",25.2,NA,NA,NA,"Y","Y","Check whether kinsman","X3.1_RF7",331132.1674892,79600.8826752,27767.4012117,441.44325222,5668.5936908,5002.871055,15950.07987,29553.347832,3044.69241708,698.2859312,254,80,22,151,38,24,155,8,4.3,30.7,63.3,7.42,28.1,6.1,0.86,5,4.3,2.1,2.1,0.31,10,3
"21","52_3_X3.1","RF8","D",2,160,180,"N","28.2","Ind",28.2,NA,NA,NA,"Y","Y","Check whether kinsman","X3.1_RF8",327252.4427713,86057.8691688,8882.7706647,247.82779072,1929.7340224,6503.7323715,21068.942712,63589.506852,719.2186812,785.5716726,493,112,14,60,73,16,237,4,9.7,13.8,29.2,3.24,12,2.7,1.01,2.6,2.6,1.1,0.9,0.14,6.8,1.9
"22","52_4_X4.1","RF1","Oa",NA,9,11,"Y","145.8","Ind",145.8,NA,NA,NA,"Y","Y",NA,"X4.1_RF1",331085.4238179,73990.7140824,34901.5949739,565.35714758,6151.0271964,6861.080304,13205.182404,34949.324262,3871.79390046,916.5002847,389,91,25,192,32,20,200,7,12.4,31.9,67.6,7.81,30.2,6.4,1.11,5.4,4.9,2.5,2.3,0.37,9.6,1.9
"23","52_4_X4.1","RF2","E",NA,16,26,"N","43.9","Ind",43.9,NA,NA,NA,"Y","Y",NA,"X4.1_RF2",321830.1769005,75366.7931712,34621.8226695,526.63405528,6151.0271964,13007.464743,18546.6045,33455.053866,3787.88505432,611.0001898,523,115,25,230,31,21,169,5,10.5,8,23.3,2.17,8.5,2.3,0.76,2.7,3.9,2.7,2.8,0.45,7.6,1.4
"24","52_4_X4.1","RF3","Bhs",NA,26,31,"N","19.9","Ind",19.9,NA,NA,NA,"Y","Y",NA,"X4.1_RF3",342537.6232864,69121.5111528,23710.7027979,317.52935686,4703.7266796,4288.17519,14317.978674,40262.28567,2697.0700545,611.0001898,441,94,29,148,61,19,187,4,7.4,45.5,98.8,11.4,42,9.7,1.03,7.9,5.7,2.7,2.3,0.38,19.5,3.7
"25","52_4_X4.1","RF4","Bhs",NA,26,31,"N","13.1","Ind",13.1,NA,NA,NA,"Y","Y",NA,"X4.1_RF4",338985.1042676,82353.0408528,13708.8429156,170.38160612,2351.8633398,3502.0097385,17656.367484,42503.691264,1845.99461508,523.7144484,208,54,31,130,65,25,245,14,8.9,36.4,76.9,9,33.3,7.6,0.61,6.1,5.6,2.9,2.7,0.42,15.9,3.2
"26","52_4_X4.1","RF5","Bs",1,31,36,"N","16.7","Ind",16.7,NA,NA,NA,"Y","Y",NA,"X4.1_RF5",333703.0694107,82564.745328,6644.5922295,170.38160612,1206.083764,5288.749401,20030.33286,59853.830862,575.37494496,611.0001898,594,112,10,61,65,15,243,5,21.3,13,28.8,3.1,11.8,2.6,1.13,2.2,1.8,0.8,0.9,0.14,6.3,1.7
"27","52_4_X4.1","RF6","Bs",2,46,51,"Y","58.1","Ind",58.1,NA,NA,NA,"Y","Y",NA,"X4.1_RF6",222733.5937445,84893.4945552,103935.4110846,1246.88357206,27619.3181956,25085.8248615,18398.231664,8218.487178,20719.49150757,1920.2863108,385,412,28,283,59,25,48,3,9.9,30.7,64.7,7.92,34.5,7.2,2.19,7,5.8,3.2,2.8,0.44,4.2,1.1
"28","52_4_X4.1","RF7","Bs",2,36,54.5,"N","65.7","Ind",65.7,NA,NA,NA,"Y","Y",NA,"X4.1_RF7",311453.0818719,80976.961764,43784.3656386,611.82485834,7839.544466,12578.647224,18249.858828,27810.03237,4543.06466958,916.5002847,507,136,21,238,23,22,166,4,11.9,32.2,70.8,7.91,30.9,6.3,1.27,5.2,4.4,2.2,1.9,0.31,10.5,1.9
"29","52_4_X4.1","RF8","C",NA,87,91,"Y","225","Ind",225,NA,NA,NA,"Y","Y",NA,"X4.1_RF8",326411.0566879,77801.394636,30005.5796469,449.18787068,5970.1146318,7075.4890635,16246.825542,32043.798492,3380.32780164,960.1431554,398,103,22,196,36,20,163,8,6.4,34,70,8.41,32.2,6.7,1.07,5.7,4.6,2.3,2,0.31,10,3
"30","52_4_X4.1","RF10","D",NA,111,111,"Y","127.3","Ind",127.3,NA,NA,NA,"Y","Y",NA,"X4.1_RF10",309443.104006,80553.5528136,48540.4948134,735.7387537,8623.4989126,11220.7250805,16098.452706,33870.128976,5052.51123543,960.1431554,540,113,35,265,54,21,200,4,14.4,44.8,94.2,11.1,42.5,9.3,1.57,8,6.8,3.3,3,0.45,14.3,3.1
"31","86_2_W2.2","RF2","E",NA,16,18,"Y","73.3","Ind",73.3,NA,NA,NA,"1","Y",NA,"W2.2_RF2",362543.9146028,76742.87226,5315.6737836,85.19080306,1266.3879522,3144.661806,13353.55524,26232.746952,683.25774714,174.5714828,290,102,4,23,1,15,112,5,3.1,1.6,2.9,0.33,1,0.3,0.73,0.3,0.3,0.2,0.3,0.06,0.4,0.4
"32","86_2_W2.2","RF4","E",NA,24,27,"Y","110.17","Ind",110.17,NA,NA,NA,"1","Y","Possibly Rangeley","W2.2_RF4",320100.6610624,76160.6849532,47911.0071285,844.16341214,9226.5407946,6074.9148525,11276.335536,34534.249152,5484.04244415,305.5000949,466,72,31,273,10,24,277,10,27.7,50.1,106,12.5,48.2,9.3,1.12,7.8,6.5,3.3,3,0.44,17.4,4.8
"33","86_3_W3.2","RF1","Bhs",2,25,29,"Y","865.8","Ind",865.76,NA,NA,NA,"Y","Y","Not in column","W3.2_RF1",320988.7908171,79865.5132692,40636.9272141,1006.8003998,7055.5900194,1715.270076,15208.21569,34451.23413,4495.1167575,741.9288019,555,57,28,236,9,20,194,9,4.7,36.2,75.5,8.99,33.5,6.8,1.13,5.8,5.2,2.8,2.6,0.37,12.5,2.4
"34","86_3_W3.2","RF2","Bhs",2,30,36,"Y","336.29999999999995","Ind",336.3,NA,NA,NA,"Y","Y","Not in column","W3.2_RF2",305002.4552325,82617.6714468,46232.3733021,720.24951678,8925.0198536,11149.255494,16395.198378,30632.543118,5525.99686722,829.2145433,560,121,35,259,10,23,222,6,40.2,49.6,105,12.1,47.1,9.3,1.55,7.9,6.9,3.9,3.6,0.55,16.3,3.3
"35","86_3_W3.2","RF8","Bhs",3,40,44,"Y","732.5","Ind",732.5,NA,NA,NA,"Y","Y","Not in column","W3.2_RF8",339452.5409806,70021.2551724,17066.1105684,379.48630454,2110.646587,6503.7323715,19659.40077,43084.796418,1282.60664814,349.1429656,311,52,30,81,23,20,276,5,11.8,28.3,60.1,7.19,26.8,5.9,0.67,5.4,6,3.5,3.5,0.53,16,3.5
"36","86_3_W3.2","RF6","Bhs",3,41,45,"Y","1290.5","Ind",705.7,NA,NA,NA,"Y","Y","Not in column","W3.2_RF6",334357.4808089,76584.0939036,23081.215113,363.99706762,4643.4224914,7861.654515,16766.130468,45990.322188,2481.30445014,916.5002847,402,107,21,122,6,20,227,4,6.7,44.5,95.8,11.2,41.6,9.5,1.27,7.8,5.3,2.2,2,0.31,20.4,6.1
"37","86_4_W4.1","RF2","E",NA,15,22,"Y","392.3","Ind",392.3,NA,NA,NA,"Y","Y",NA,"W4.1_RF2",320942.0471458,86798.834832,18115.2567099,278.80626456,3437.3387274,4574.053536,23888.026596,51884.38875,2271.53233479,611.0001898,614,110,37,161,19,23,310,9,9.2,31.7,92.4,7.99,29.2,6.6,1.07,6.4,6.3,3.6,3.1,0.47,22.5,3.5
"38","86_4_W4.1","RF3","E",NA,19,22,"Y","93.5","Ind",93.5,NA,NA,NA,"Y","Y",NA,"W4.1_RF3",332534.4776282,73884.8618448,16856.2813401,363.99706762,3135.8177864,6861.080304,17582.181066,45990.322188,1851.98810409,480.0715777,446,99,20,105,21,17,227,7,12.1,33.2,70.4,8.06,29.7,6.5,1.14,5.3,3.9,2,1.8,0.28,14.5,2.7
"39","86_4_W4.1","RF4","Bhs",NA,21,29,"N","42.1","Ind",42.1,NA,NA,NA,"Y","Y",NA,"W4.1_RF4",299533.4456904,85211.051268,43644.4794864,1293.35128282,11518.0999462,1286.452557,3783.507318,30051.437964,8462.80648212,174.5714828,735,51,47,284,25,29,128,4,5.3,62,128,14.7,55,11,1.28,9,8.4,4.8,4.3,0.68,19.3,4
"40","86_4_W4.1","RF1","Bs",1,24,40,"Y","2188","Ind",2188,NA,NA,NA,"Y","Y","missing piece (thin sectioned)","W4.1_RF1",311032.3888302,79653.808794,50149.1855637,851.9080306,9347.149171,7933.1241015,17062.87614,32956.963734,4435.1818674,829.2145433,259,81,31,204,31,23,280,7,24.4,41.6,87.1,10.2,37.9,7.8,1.03,6.5,5.7,3,2.7,0.41,12.9,3.1
"41","86_4_W4.1","RF6","Bs",2,34,40,"Y","348.7","Ind",348.7,NA,NA,NA,"Y","Y",NA,"W4.1_RF6",319726.711692,76160.6849532,44134.0810191,751.22799062,9045.62823,9648.3941775,16914.503304,29221.287744,4543.06466958,829.2145433,380,115,35,209,33,20,161,6,12.7,36.8,76.5,8.92,34.2,7.1,1.31,6.4,6.4,3.6,3,0.48,12.4,2.5
"42","86_4_W4.1","RF9","D",1,87,92,"Y","232.8","Ind",232.8,NA,NA,NA,"Y","Y",NA,"W4.1_RF9",330197.2940632,73884.8618448,28257.0027444,542.1232922,5005.2476206,8004.593688,17656.367484,35364.399372,2451.33700509,698.2859312,493,104,26,105,24,17,210,7,16,22.9,48.4,5.55,21.2,4.7,1.21,4.4,4.7,2.7,2.6,0.4,7.3,1.7
"43","86_4_W4.1","RF11","D",4,125,135,"N","108.1","Ind",108.1,NA,NA,NA,"Y","Y","check whether kinsman","W4.1_RF11",316594.8857149,80183.069982,33852.4488324,635.05871372,6633.460702,7504.3065825,16395.198378,35198.369328,3877.78738947,1003.7860261,428,101,34,207,62,20,225,13,13.8,36.4,78.5,8.91,34.2,7.5,1.18,6.8,6.7,3.8,3.5,0.52,11.8,2.9
