,Name,Si,Al,Fe,Mn,Mg,Ca,Na,K,Ti,P,Ba,Sr,Y,Zr,Co,Ga,Rb,Sn,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Dy,Er,Yb,Lu,Th,U
92,V3.1_RF3,328794.9839,83517.41547,16506.56596,325.2739753,3316.730351,9648.394178,20549.63779,53710.71923,1911.922994,480.0715777,649,119,44,124,39,20,243,3,6.4,54.8,116,13.4,48.3,10.5,1.31,9,8,4.2,3.5,0.55,28.6,5.1
93,V3.1_RF4,334778.1739,74943.38422,23710.7028,480.1663445,3738.859668,6861.080304,18101.48599,46654.44236,1983.844862,741.9288019,372,78,28,126,39,20,294,8,13.2,34.7,74.8,8.75,32.6,7.5,0.86,6.4,5.2,2.7,2.3,0.36,18.1,4.6
94,V3.1_RF5,309957.2844,84946.42067,41825.95951,720.2495168,8864.715665,11220.72508,16395.19838,35364.39937,5034.530768,960.1431554,561,126,38,262,48,23,193,3,13.3,48.3,101,11.8,45.2,9.6,1.59,8.4,7.2,3.7,3.2,0.5,15.9,2.9
95,V3.1_RF6,337395.8194,71185.62979,26648.31199,394.9755415,4583.118303,8147.532861,18694.97734,44330.02175,2355.441181,872.857414,438,95,37,143,22,17,214,6,11.7,44.1,93.8,10.9,40.4,9.2,0.99,8.3,7,3.4,2.9,0.44,20.4,3.9
96,V3.1_RF9,342257.1613,77219.20733,5735.33224,147.1477507,1025.171199,5288.749401,19659.40077,53710.71923,563.3879669,698.2859312,221,65,11,28,45,15,253,5,9.6,9.1,19.8,2.3,8.4,2.1,0.6,2.1,1.9,0.9,0.8,0.13,4.3,1.4
97,V3.1_RF10,312902.1357,81770.85355,42595.33334,712.5048983,8080.761219,9219.576659,17359.62181,36194.54959,4297.33162,698.2859312,414,102,53,233,29,21,215,7,15.4,38.4,81.3,9.48,36.6,8.1,1.27,7.7,9,5.5,5.5,0.84,12.5,3.5
98,V4.1_RF1,353101.693,68698.1022,17345.88287,472.4217261,2773.992657,1786.739663,7715.387472,41756.55607,1186.710824,916.5002847,335,36,19,60,18,17,306,12,8.7,20.1,45.5,4.94,18.5,4.4,0.84,3.9,3.4,1.7,1.7,0.28,5.8,2.4
99,V4.1_RF2,348801.2752,70391.738,14688.04598,240.0831723,2653.384281,4431.114363,15504.96136,45243.18699,1732.118324,741.9288019,355,78,24,119,34,19,248,11,12.7,30.7,69.1,7.63,28.2,6.5,0.85,5.7,4.5,2.1,1.9,0.29,16.4,2.7
100,V4.1_RF3,343332.2657,72561.70887,18185.19979,317.5293569,3316.730351,3430.540152,12982.62315,45990.32219,2181.63,916.5002847,467,121,19,99,44,19,190,6,4.9,30.9,66.7,7.75,28.9,6.9,0.99,5.7,4.1,1.7,1.6,0.25,12.8,3.6
101,V4.1_RF4,348240.3512,70550.51636,15037.76136,333.0185938,2050.342399,4431.114363,17062.87614,45824.29214,1624.235522,349.1429656,371,53,39,115,34,21,291,9,11.4,37.1,80.1,9.11,33.5,7.4,0.61,6.7,6.8,4,4,0.63,18.7,3.7
