pedon.x,orig_horizon,subdivision,horizon.x,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental,ID,pH,C_pct,N_pct,CNRatio,om_pct,om,bd,Ca_cmolKg,Na_cmolKg,Mg_cmolKg,K_cmolKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
42_2_V2.1,R,NA,R,32,32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,42_2_V2.1 R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_PFM,Oi,NA,Oi,0,3.5,3.5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,NA,42_3_PFM Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_PFM,Oe,NA,Oe,3.5,5.5,2,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,f,?,NA,42_3_PFM Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_PFM,Oa,NA,Oa,5.5,8.5,3,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,NA,1mgr,vfr,as,1,f,Y,Y,42_3_PFM Oa,NA,16.8993,1.00119,16.87924,29.13439,0.29134,0.32119,0.181,0.037,0.18,0.231,1.226,14.931,19.804,28.47,0.628
42_3_PFM,Bhs1,NA,Bhs1,8.5,30.5,22,7.5YR2.5/2,7.5YR,2.5,2,0,NA,NA,NA,sl,2msbk,fr,cs,2,0,Y,Y,42_3_PFM Bhs1,3.67,5.6906,0.28999,19.623169999999998,9.8106,0.09811,0.66408,0.018,0.007,0.035,0.042,1.529,10.731,52.303,9.394,0.101
42_3_PFM,Bhs2,NA,Bhs2,30.5,41.5,11,10YR2/2,10YR,2,2,0,NA,NA,NA,sl,2msbk,fr,as,2,0,Y,Y,42_3_PFM Bhs2,3.8,4.55886,0.22118,20.61129,7.85948,0.07859,0.74432,0.014,0.006,0.016,0.019,1.995,7.326,15.259,21.717,0.056
42_3_PFM,Bhs3,NA,Bhs3,41.5,60,18.5,7.5YR3/3,7.5YR,3,3,7.5YR2.5/2,NA,NA,NA,sl,2msbk,fr,cs,2,0,Y,Y,42_3_PFM Bhs3,3.92,5.07698,0.23441,21.65831,8.75271,0.08753,0.70531,0.027,0.01,0.017,0.026,2.144,7.954,15.73,10.548,0.08
42_3_PFM,BC,NA,BC,60,71,11,10YR3/4,10YR,3,4,0,NA,NA,NA,sl,2msbk,fr,NA,5,0,Y,NA,42_3_PFM BC,3.98,6.08869,0.26178,23.25886,10.49691,0.10497,0.63982000000000006,0.031,0.009,0.022,0.032,2.218,9.213,24.226,12.044,0.095
42_3_V3.1,Oi,NA,Oi,0,5,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,42_3_V3.1 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.1,Oe,NA,Oe,5,9,4,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,42_3_V3.1 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.1,Oa,NA,Oa,9,13,4,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,1,c,Y,Y,42_3_V3.1 Oa,NA,24.68433,1.34783,18.31415,42.55578,0.42556,0.23641,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_3_V3.1,Bhs1,NA,Bhs1,13,21,8,5YR3/2,5YR,3,2,0,NA,NA,NA,sl,1mgr,fr,cs,2,c,Y,Y,42_3_V3.1 Bhs1,3.67,4.87684,0.31145,15.6584,8.40768,0.08408,0.71988,0.014,0.009,0.011,0.027,0.778,1.372,7.068,2.032,0.061
