pedon.x,orig_horizon,subdivision,horizon.x,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental,ID,pH,C_pct,N_pct,CNRatio,om_pct,om,bd,Ca_cmolKg,Na_cmolKg,Mg_cmolKg,K_cmolKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
42_4_V4.1,C,1,C.1,73.5,82,8.5,2.5Y5/3,2.5Y,5,3,0,NA,NA,vgr,ls,1mpl,vfr,NA,40,0,Y,NA,42_4_V4.1 C.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.1,C,2,C.2,82,90,8,2.5Y5/3,2.5Y,5,3,0,NA,NA,vgr,ls,1mpl,vfr,NA,40,0,Y,Y,42_4_V4.1 C.2,NA,0.358,0.01206,29.69631,0.61718,0.00617,1.34953,0.006,0.006,0.002,0.01,0.845,0.906,2.877,0.262,0.024
42_4_V4.1,D,1,D.1,87,94,7,2.5Y4/2,2.5Y,4,2,0,NA,NA,gr,ls,NA,NA,NA,0,0,Y,NA,42_4_V4.1 D.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.1,D,2,D.2,94,110,16,2.5Y4/2,2.5Y,4,2,0,NA,NA,gr,ls,NA,NA,NA,0,0,Y,NA,42_4_V4.1 D.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.1,D,3,D.3,110,118,8,2.5Y5/2,2.5Y,5,2,0,NA,NA,NA,fsl,NA,NA,NA,0,0,Y,NA,42_4_V4.1 D.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.1,D,4,D.4,118,126.5,8.5,5Y5/2,5Y,5,2,0,NA,NA,NA,fsl,NA,NA,NA,0,0,Y,Y,42_4_V4.1 D.4,4.45,0.20135,0.00824,24.44088,0.34713,0.00347,1.39172,0.016,0.006,0.008,0.02,0.516,1.602,5.76,1.62,0.05
42_4_V4.1,D,5,D.5,126.5,132,5.5,5Y5/2,5Y,5,2,0,NA,NA,gr,fsl,NA,NA,NA,0,0,Y,NA,42_4_V4.1 D.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.1,D,6,D.6,147,152,5,5Y4/2,5Y,4,2,0,NA,NA,NA,fsl,NA,NA,NA,0,0,Y,NA,42_4_V4.1 D.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.1,D,7,D.7,150,155,5,5Y5/2,5Y,5,2,0,NA,NA,vgr,fsl,NA,NA,NA,0,0,Y,NA,42_4_V4.1 D.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.1,D,8,D.8,166,171,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,42_4_V4.1 D.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.1,D,9,D.9,180,184,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,42_4_V4.1 D.9,NA,0.1744,0.00792,22.03191,0.30067,0.00301,1.39925,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.2,Oi,NA,Oi,0,6,6,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,42_4_V4.2 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.2,Oe,NA,Oe,6,9,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,42_4_V4.2 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.2,Oa,NA,Oa,9,11,2,7.5YR2.5/2,7.5YR,2.5,2,0,NA,NA,NA,NA,1mgr,NA,cs,0,m,Y,NA,42_4_V4.2 Oa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.2,E,NA,E,11,16,5,7.5YR7/1,7.5YR,7,1,5YR4/1,NA,NA,NA,ls,2msbk,fr,cs,2,c,Y,NA,42_4_V4.2 E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.2,Bhs,NA,Bhs,16,20,4,5YR2.5/2,5YR,2.5,2,0,NA,NA,NA,sl,2msbk,fr,cw,2,f,Y,NA,42_4_V4.2 Bhs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.2,Bs,NA,Bs,20,48,28,7.5YR3/3,7.5YR,3,3,"7.5YR2.5/3, 7.5YR3/4",NA,NA,NA,sl,2msbk,fr,cs,5,f,Y,NA,42_4_V4.2 Bs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.2,BC,NA,BC,48,62,14,10YR3/3,10YR,3,3,"5YR2.5/2, 7.5YR5/3",NA,NA,NA,sl,2msbk,fr,cs,5,f,Y,NA,42_4_V4.2 BC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_4_V4.2,Cd,NA,Cd,62,68,6,2.5Y4/3,2.5Y,4,3,0,NA,NA,NA,ls,1msbk,fr,NA,8,0,N,NA,42_4_V4.2 Cd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_5_V5.1,Oi,NA,Oi,0,3,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,42_5_V5.1 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_5_V5.1,Oe,NA,Oe,3,9,6,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,42_5_V5.1 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_5_V5.1,Oa,NA,Oa,9,15,6,7.5YR2.5/2,7.5YR,2.5,2,0,NA,NA,NA,NA,1mgr,NA,as,0,m,Y,NA,42_5_V5.1 Oa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_5_V5.1,Bhs,NA,Bhs,15,44,29,7.5YR2.5/1,7.5YR,2.5,1,0,NA,NA,NA,sl,2msbk,fr,cs,2,c,Y,NA,42_5_V5.1 Bhs,4.05,NA,NA,NA,NA,NA,NA,0.066,0.016,0.049,0.067,4.379,7.912,5.874,14.16,0.198
42_5_V5.1,Bh1,NA,Bh1,44,55,11,10YR3/1,10YR,3,1,7.5YR2.5/3,NA,NA,NA,sl,2msbk,fr,cs,5,f,Y,NA,42_5_V5.1 Bh1,4.33,NA,NA,NA,NA,NA,NA,0.049,0.012,0.016,0.028,2.661,3.019,6.073,4.888,0.104
42_5_V5.1,Bh2,NA,Bh2,55,68,13,10YR3/2,10YR,3,2,0,NA,NA,NA,sl,1msbk,fr,NA,8,f,Y,NA,42_5_V5.1 Bh2,4.23,NA,NA,NA,NA,NA,NA,0.038,0.009,0.01,0.022,2.056,2.172,6.584,2.512,0.08
42_5_V5.2,Oi,NA,Oi,0,6,6,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,42_5_V5.2 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_5_V5.2,Oe,NA,Oe,6,11,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,42_5_V5.2 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_5_V5.2,Oa,NA,Oa,11,16,5,5YR2.5/2,5YR,2.5,2,0,NA,NA,NA,NA,1mgr,NA,as,0,m,Y,NA,42_5_V5.2 Oa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_5_V5.2,Bhs,NA,Bhs,16,28,12,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,sl,1msbk,fr,cw,2,c,Y,NA,42_5_V5.2 Bhs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42_5_V5.2,Bh,NA,Bh,28,63,35,10YR2/2,10YR,2,2,0,NA,NA,NA,sl,2msbk,fr,NA,8,f,Y,NA,42_5_V5.2 Bh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_1_PFM,O,NA,O,NA,NA,0,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,52_1_PFM O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_1_X1.1,O,NA,O,0,9,9,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,52_1_X1.1 O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_1_X1.1,R,NA,R,9,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,52_1_X1.1 R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_2_PFM,Oi,NA,Oi,0,5,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,NA,52_2_PFM Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_2_PFM,Oe,NA,Oe,5,8,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,?,NA,52_2_PFM Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_2_PFM,Oa,NA,Oa,8,10,2,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,NA,1mgr,NA,cb,0,m,Y,Y,52_2_PFM Oa,NA,31.2401,1.8598,16.79751,53.85793,0.53858,0.19341,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_2_PFM,E,NA,E,10,30,20,5YR4/1,5YR,4,1,0,NA,NA,NA,sl,2msbk,fr,NA,5,c,Y,Y,52_2_PFM E,3.22,2.72403,0.15349,17.74726,4.69623,0.04696,0.92562,0.056,0.01,0.051,0.052,0.822,7.355,37.359,4.412,0.168
52_2_PFM,R,NA,R,30,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,52_2_PFM R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_2_X2.1,Oi,NA,Oi,0,4,4,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,52_2_X2.1 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_2_X2.1,Oe,NA,Oe,4,7,3,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,52_2_X2.1 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_2_X2.1,Oa,NA,Oa,7,12.5,5.5,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,NA,1mgr,fr,cs,0,m,Y,Y,52_2_X2.1 Oa,NA,25.06405,1.27538,19.65226,43.21042,0.4321,0.2334,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_2_X2.1,E1,1,E1.1,12.5,19.5,7,5YR5/2,5YR,5,2,0,NA,NA,NA,sl,2msbk,fr,cs,2,NA,Y,Y,52_2_X2.1 E1.1,3.31,1.90684,0.09603,19.85635,3.2874,0.03287,1.03827,0.016,0.004,0.024,0.027,0.367,3.814,18.124,1.051,0.071
52_2_X2.1,E1,2,E1.2,19.5,26,6.5,5YR5/2,5YR,5,2,0,NA,NA,NA,sl,2msbk,fr,cs,2,NA,Y,Y,52_2_X2.1 E1.2,3.35,1.09073,0.06848,15.92866,1.88043,0.0188,1.1819,0.015,0.003,0.017,0.134,0.409,3.081,15.371,0.75,0.17
52_2_X2.1,E2,NA,E2,26,30,4,7.5YR5/1,7.5YR,5,1,0,NA,NA,NA,sl,2msbk,fr,NA,2,NA,Y,Y,52_2_X2.1 E2,3.44,0.44355,0.02958,14.99702,0.76469,0.00765,1.32754,0.008,0.003,0.006,0.008,0.368,1.821,10.409,0.455,0.025
52_2_X2.1,R,NA,R,30,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,52_2_X2.1 R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_3_PFM,Oi,NA,Oi,0,9.5,9.5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,?,NA,52_3_PFM Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_3_PFM,Oe,NA,Oe,9.5,16.5,7,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,?,NA,52_3_PFM Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_3_PFM,Oa,NA,Oa,16.5,23,6.5,7.5YR3/1,7.5YR,3,1,0,NA,NA,NA,NA,1mgr,NA,as,0,c,Y,Y,52_3_PFM Oa,NA,20.1491,1.09648,18.37619,34.73705,0.34737,0.27936,0.114,0.078,0.219,0.272,1.725,19.372,23.979,5.5,0.682
52_3_PFM,Bhs1,NA,Bhs1,23,33,10,7.5YR3/1,7.5YR,3,1,7.5YR2.5/1,NA,NA,gr,sl,2msbk,fr,cw,20,f,Y,Y,52_3_PFM Bhs1,3.19,8.36775,0.40946,20.43599,14.42601,0.14426,0.52915,0.056,0.017,0.093,0.079,0.994,9.225,34.213,1.828,0.246
52_3_PFM,Bhs2,NA,Bhs2,33,48,15,7.5YR3/2,7.5YR,3,2,0,NA,NA,vgr,sl,1msbk,fr,NA,50,NA,Y,Y,52_3_PFM Bhs2,3.8,1.66062,0.08326,19.94422,2.8629,0.02863,1.07778,0.029,0.006,0.02,0.018,0.574,4.254,20.703,0.628,0.073
52_3_PFM,R,NA,R,48,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,52_3_PFM R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_3_X3.1,Oi,NA,Oi,0,2,2,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Y,NA,52_3_X3.1 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_3_X3.1,Oe,NA,Oe,2,4,2,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Y,NA,52_3_X3.1 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_3_X3.1,Oa,NA,Oa,4,9,5,10YR2.5/1,10YR,2.5,1,0,NA,NA,NA,NA,1mgr,vfr,cs,0,c,Y,Y,52_3_X3.1 Oa,2.93,11.15172,0.60218,18.51894,19.22557,0.19226,0.43685,0.176,0.012,0.137,0.144,0.383,12.689,8.663,5.821,0.469
52_3_X3.1,E,NA,E,9,15,6,5YR4/1,5YR,4,1,0,NA,NA,NA,ls,2msbk,vfr,as,5,NA,Y,Y,52_3_X3.1 E,3.34,1.84928,0.11844,15.61361,3.18815,0.03188,1.04724,0.019,0.005,0.022,0.023,0.501,2.628,10.591,0.426,0.068
52_3_X3.1,Bhs1,NA,Bhs1,15,20,5,7.5YR2.5/1,7.5YR,2.5,1,10YR2.5/1,NA,NA,NA,sl,2msbk,fr,cs,5,f,Y,Y,52_3_X3.1 Bhs1,3.48,8.57035,0.46168,18.56322,14.77529,0.14775,0.52114,0.043,0.01,0.072,0.078,2.569,4.751,130.676,1.299,0.203
52_3_X3.1,Bhs2,1,Bhs2.1,20,28,8,7.5YR2.5/2,7.5YR,2.5,2,0,NA,NA,NA,sl,2msbk,fr,aw,10,f,Y,Y,52_3_X3.1 Bhs2.1,3.71,6.53967,0.32405,20.18107,11.27439,0.11274,0.6144,0.035,0.013,0.048,0.052,2.432,1.249,67.013,1.5,0.148
52_3_X3.1,Bhs2,2,Bhs2.2,28,36,8,7.5YR2.5/2,7.5YR,2.5,2,0,NA,NA,NA,sl,2msbk,fr,aw,10,f,Y,Y,52_3_X3.1 Bhs2.2,3.81,6.53978,0.31304,20.89105,11.27457,0.11275,0.61439,0.023,0.012,0.026,0.034,2.306,1.307,27.299,0.922,0.095
52_3_X3.1,Bhs2,3,Bhs2.3,36,46,10,7.5YR2.5/2,7.5YR,2.5,2,0,NA,NA,NA,sl,2msbk,fr,aw,10,f,Y,Y,52_3_X3.1 Bhs2.3,3.98,4.68269,0.20928,22.37536,8.07297,0.08073,0.73461,0.025,0.007,0.015,0.021,3.823,1.504,14.23,0.947,0.069
52_3_X3.1,BC,1,BC.1,46,55,9,10YR4/4,10YR,4,4,5YR2.5/2,NA,NA,NA,ls,2msbk,fr,NA,15,NA,Y,Y,52_3_X3.1 BC.1,4.17,2.48145,0.1057,23.47533,4.27802,0.04278,0.95643,0.015,0.004,0.004,0.008,2.912,0.865,3.99,0.107,0.031
52_3_X3.1,BC,2,BC.2,55,75,20,10YR4/4,10YR,4,4,5YR2.5/2,NA,NA,NA,ls,2msbk,fr,NA,15,NA,Y,Y,52_3_X3.1 BC.2,4.31,1.15441,0.04722,24.44692,1.9902,0.0199,1.16928,0.009,0.003,0.001,0.005,2.169,0.76,2.761,0.059,0.017
52_3_X3.1,D,1,D.1,105,180,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,52_3_X3.1 D.1,4.76,0.26684,0.00968,27.55381,0.46004,0.0046,1.37376,0.17,0.045,0.094,0.096,0.521,0.76,15.107,7.202,0.405
52_3_X3.1,D,3,D.3,280,300,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,52_3_X3.1 D.3,4.84,0.05154,0.00319,16.1508,0.08885,8.9e-4,1.43462,0.108,0.017,0.033,0.015,0.064,0.88,4.737,1.971,0.173
52_4_PFM,Oi,NA,Oi,0,5,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,?,NA,52_4_PFM Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_PFM,Oe,NA,Oe,5,10,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,?,NA,52_4_PFM Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_PFM,Oa,NA,Oa,10,15,5,7.5YR2.5/1,7.5YR,2.5,1,0,NA,NA,NA,NA,2mgr,NA,cs,0,m,Y,NA,52_4_PFM Oa,NA,NA,NA,NA,NA,NA,NA,0.121,0.076,0.237,0.287,1.808,20.115,24.989,5.908,0.721
52_4_PFM,Bh1,NA,Bh1,15,32,17,10YR3/1,10YR,3,1,0,NA,NA,NA,sl,2msbk,fr,cs,2,c,Y,Y,52_4_PFM Bh1,3.87,5.23281,0.29094,17.98577,9.02136,0.09021,0.69436,0.058,0.019,0.049,0.063,3.241,4.412,18.203,5.298,0.189
52_4_PFM,Bh2,NA,Bh2,32,63,31,10YR3/2,10YR,3,2,0,NA,NA,NA,sl,2msbk,fr,cs,2,f,Y,Y,52_4_PFM Bh2,4.02,3.99269,0.20226,19.74019,6.88339,0.06883,0.7922,0.032,0.016,0.021,0.033,2.779,2.628,9.777,1.463,0.102
52_4_PFM,BC,NA,BC,63,72,9,10YR4/3,10YR,4,3,0,NA,NA,NA,ls,1msbk,fr,NA,5,NA,Y,NA,52_4_PFM BC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.1,Oi,NA,Oi,0,4,4,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Y,NA,52_4_X4.1 Oi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.1,Oe,NA,Oe,4,9,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,Y,NA,52_4_X4.1 Oe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.1,Oa,NA,Oa,9,16,7,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,1mgr,NA,ab,0,NA,Y,Y,52_4_X4.1 Oa,2.85,11.54272,0.52592,21.94779,19.89965,0.199,0.42641,0.077,0.022,0.08,0.111,0.147,9.783,6.091,0.688,0.291
52_4_X4.1,E,NA,E,16,26,10,7.5YR4/2,7.5YR,4,2,7.5YR3/2,NA,NA,NA,sl,2msbk,fr,aw,2,f,Y,Y,52_4_X4.1 E,3.32,0.98155,0.05509,17.81717,1.69219,0.01692,1.20419,0.015,0.004,0.011,0.016,0.396,1.449,9.077,0.099,0.046
52_4_X4.1,Bhs,NA,Bhs,26,31,5,7.5YR2.5/1,7.5YR,2.5,1,0,NA,NA,NA,sl,2msbk,fr,aw,5,f,Y,Y,52_4_X4.1 Bhs,3.52,5.2488,0.26409,19.87494,9.04893,0.09049,0.69326,0.027,0.011,0.037,0.033,2.042,1.349,68.132,0.307,0.108
52_4_X4.1,Bs1,NA,Bs1,31,36,5,7.5YR3/4,7.5YR,3,4,"7.5YR2.5/1, 7.5YR4/6",NA,NA,NA,sl,2msbk,fi,cw,10,NA,Y,Y,52_4_X4.1 Bs1,3.85,4.6725,0.18788,24.86901,8.05538,0.08055,0.7354,0.027,0.009,0.019,0.023,2.881,0.494,32.168,0.291,0.079
52_4_X4.1,Bs2,1,Bs2.1,36,45,9,7.5YR2.5/2,7.5YR,2.5,2,7.5YR3/3,NA,NA,NA,sl,2msbk,fr,cs,5,NA,Y,Y,52_4_X4.1 Bs2.1,4.05,5.91424,0.2289,25.83715,10.19615,0.10196,0.65023,0.033,0.007,0.015,0.019,3.399,1.388,9.261,0.593,0.073
52_4_X4.1,Bs2,2,Bs2.2,45,54.5,9.5,7.5YR2.5/2,7.5YR,2.5,2,7.5YR3/3,NA,NA,NA,sl,2msbk,fr,cs,5,NA,Y,Y,52_4_X4.1 Bs2.2,4.14,5.01455,0.20329,24.6666,8.64509,0.08645,0.70979,0.023,0.007,0.01,0.013,3.018,1.043,7.024,0.441,0.053
52_4_X4.1,BC,1,BC.1,54.5,62,7.5,10YR3/4,10YR,3,4,2.5Y4/4,NA,NA,NA,sl,2msbk,fr,NA,25,NA,Y,Y,52_4_X4.1 BC.1,4.29,2.58088,0.12989,19.87011,4.44943,0.04449,0.94356,0.013,0.003,0.005,0.008,2.233,0.721,3.965,0.37,0.029
52_4_X4.1,BC,2,BC.2,62,69,7,10YR3/4,10YR,3,4,2.5Y4/4,NA,NA,NA,sl,2msbk,fr,NA,25,NA,Y,Y,52_4_X4.1 BC.2,4.35,2.34459,0.11414,20.54233,4.04207,0.04042,0.97473,0.013,0.005,0.005,0.008,2.437,0.948,5.993,0.351,0.031
52_4_X4.1,C,1,C.1,75,85,10,10YR4/4,10YR,4,4,0,NA,NA,gr,ls,NA,NA,NA,NA,NA,Y,NA,52_4_X4.1 C.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.1,C,2,C.2,85,95,10,10YR4/2,10YR,4,2,0,NA,NA,gr,s,NA,NA,NA,NA,NA,Y,NA,52_4_X4.1 C.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.1,D,3,D.3,109,111,2,10YR5/2,10YR,5,2,0,NA,NA,vgr,s,NA,NA,NA,NA,NA,Y,Y,52_4_X4.1 D.3,4.47,0.43412,0.02096,20.71335,0.74842,0.00748,1.32993,0.011,0.004,0.002,0.004,0.775,0.522,4.306,0.705,0.022
52_4_X4.1,D,4,D.4,112,122,10,10YR5/2,10YR,5,2,0,NA,NA,gr,s,NA,NA,NA,NA,NA,Y,NA,52_4_X4.1 D.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.1,D,5,D.5,126,134,8,10YR5/2,10YR,5,2,0,NA,NA,NA,ls,NA,NA,NA,NA,NA,Y,NA,52_4_X4.1 D.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.1,D,6,D.6,134,144,10,10YR5/3,10YR,5,3,0,NA,NA,NA,s,NA,NA,NA,NA,NA,Y,Y,52_4_X4.1 D.6,4.55,0.33125,0.01252,26.46357,0.57107,0.00571,1.35655,0.011,0.002,0.002,0.005,0.739,0.209,3.61,0.635,0.02
52_4_X4.1,D,7,D.7,144,155,11,10YR5/2,10YR,5,2,0,NA,NA,gr,s,NA,NA,NA,NA,NA,Y,NA,52_4_X4.1 D.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.1,D,8,D.8,155,160,5,10YR5/2,10YR,5,2,0,NA,NA,gr,s,NA,NA,NA,NA,NA,Y,Y,52_4_X4.1 D.8,4.52,0.28314,0.0209,13.54524,0.48814,0.00488,1.36937,0.015,0.005,0.002,0.006,2.354,1.331,44.466,3.63,0.027
52_4_X4.1,D,9,D.9,160,172,12,2.5Y6/2,2.5Y,6,2,0,NA,NA,NA,lfs,NA,NA,NA,NA,NA,Y,Y,52_4_X4.1 D.9,4.57,0.15438,0.00792,19.48843,0.26615,0.00266,1.40489,0.013,0.004,0.002,0.009,0.479,0.692,3.041,0.355,0.028
52_4_X4.1,D,10,D.10,172,178,6,2.5Y6/2,2.5Y,6,2,0,NA,NA,gr,lfs,NA,NA,NA,NA,NA,Y,NA,52_4_X4.1 D.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.1,D,11,D.11,184,189,5,2.5Y5/2,2.5Y,5,2,0,NA,NA,gr,lfs,NA,NA,NA,NA,NA,Y,NA,52_4_X4.1 D.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.1,D,12,D.12,190,195,5,2.5Y6/2,2.5Y,6,2,0,NA,NA,NA,fsl,NA,NA,NA,NA,NA,Y,NA,52_4_X4.1 D.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52_4_X4.1,D,13,D.13,207,217,10,2.5Y6/2,2.5Y,6,2,0,NA,NA,gr,fsl,NA,NA,NA,NA,NA,Y,NA,52_4_X4.1 D.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
