ID,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
17,42_5_V5.1,Bh1,NA,5/27/21 17:01,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.962516291,1.949285799,0.603867319,2.78276732,0.379366419,0.533549322,47.85992629,1.214552964,0.977505211,VT,19.49285799,0.09726975,5.335493224,0.023207887,3.793664189,0.031223574,27.8276732,0.07117052,478.5992629,5.321711596,6.038673194,12.14552964,9.775052115,0.222871731
18,42_5_V5.1,Bh2,NA,5/27/21 17:05,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.961952469,1.534492179,0.434449676,2.313960693,0.242189061,0.421139414,36.97706863,1.316790838,0.502334785,VT,15.34492179,0.076571466,4.211394143,0.018318374,2.421890606,0.019933256,23.13960693,0.05918058,369.7706863,4.111608817,4.344496758,13.16790838,5.023347847,0.174003676
19,52_2_PFM,E,NA,5/27/21 17:08,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.090259842,2.225162274,1.47093702,4.642723573,1.232421637,0.453831638,14.78735981,7.471791892,0.882322578,VT,22.25162274,0.111036042,4.538316382,0.019740393,12.32421637,0.10143388,46.42723573,0.118739733,147.8735981,1.644257947,14.7093702,74.71791892,8.823225776,0.350950048
20,52_3_PFM,Oa,NA,5/27/21 17:12,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.933987394,4.586424336,3.874373473,21.80693747,5.309710339,3.57810145,31.03246105,4.795756066,1.100023122,VT,45.86424336,0.22886349,35.7810145,0.155637297,53.09710339,0.437013197,218.0693747,0.557722186,310.3246105,3.450607233,38.74373473,47.95756066,11.00023122,1.379236169
22,52_3_PFM,Bhs1,NA,5/27/21 17:19,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.954709811,2.254844107,1.845088229,6.747775332,2.270758344,0.804471074,17.88697849,6.842689195,0.365696455,VT,22.54844107,0.112517171,8.044710735,0.034992217,22.70758344,0.186893691,67.47775332,0.172577374,178.8697849,1.988915325,18.45088229,68.42689195,3.656964555,0.506980453
23,52_3_PFM,Bhs2,NA,5/27/21 17:23,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.812492065,1.157693831,0.850714171,1.992995506,0.493466874,0.26566105,10.31688064,4.140657009,0.125642557,VT,11.57693831,0.057769153,2.656610504,0.011555505,4.934668736,0.040614557,19.92995506,0.050971752,103.1688064,1.147169826,8.507141712,41.40657009,1.256425567,0.160910967
24,52_4_PFM,Bh1,NA,5/27/21 17:26,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.840165146,2.334746683,0.882360296,5.486688612,1.178576947,0.883926898,58.2919364,3.640680069,1.059669861,VT,23.34746683,0.116504325,8.839268977,0.038448321,11.78576947,0.097002218,54.86688612,0.140324517,582.919364,6.481683069,8.823602958,36.40680069,10.59669861,0.392279381
25,52_4_PFM,Bh2,NA,6/3/21 14:53,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.915102383,1.283906787,0.525634511,3.146783513,0.502496441,0.754346342,49.98584478,1.955481854,0.292560848,VT,12.83906787,0.064067205,7.543463424,0.032811933,5.024964408,0.041357732,31.46783513,0.080480397,499.8584478,5.558099864,5.256345108,19.55481854,2.925608477,0.218717267
26,52_4_X4.2,Oa,NA,6/3/21 14:57,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.85372526,10.24291209,10.91930045,34.55968483,11.92113651,2.205127758,1.57290471,0.231462971,1.044973287,VT,102.4291209,0.511123358,22.05127758,0.095916823,119.2113651,0.981163498,345.5968483,0.883879407,15.7290471,0.174896743,109.1930045,2.314629714,10.44973287,2.472083086
27,52_4_X4.2,E,NA,6/3/21 15:39,NA,HB Mod Morgan 6-3-21b,Soil Modified Morgan,4.755572267,0.280902398,0.187107129,1.359862615,0.158199886,0.135510856,4.823897687,0.175611975,0.018307527,VT,2.809023975,0.014017086,1.355108563,0.005894339,1.581998864,0.013020567,13.59862615,0.034779095,48.23897687,0.536385955,1.871071291,1.756119746,0.183075269,0.067711087
