ID,Pedon,Horizon,R,Acquisition Time,QC Status,Dataset File,Method File,Y_mgL,Ca_mgL,P_mgL,K_mgL,Mg_mgL,Na_mgL,Al_mgL,Fe_mgL,Mn_mgL,Extraction Lab,Ca_mgKg,Ca_cmolKg,Na_mgKg,Na_cmolKg,Mg_mgKg,Mg_cmolKg,K_mgKg,K_cmolKg,Al_mgKg,Al_cmolKg,P_mgKg,Fe_mgKg,Mn_mgKg,CEC_cmolKg
2,42_2_PFM,E1,NA,5/27/2021 3:21:09 PM,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.051909116292102,0.5214475662363716,1.1559911382546435,1.0361085162704757,0.4865164375261755,0.3596623609760634,16.352878419928267,6.510651092836791,0.4207815252104953,VT,5.214475662363716,0.026020337636545494,3.596623609760634,0.01564429582323025,4.865164375261755,0.040042505146187284,10.361085162704757,0.026498939035050528,163.52878419928265,1.8183334047362785,11.559911382546435,65.10651092836791,4.207815252104953,0.10820607764101356
3,42_2_PFM,E2,NA,5/27/2021 3:24:47 PM,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.081350063647664,0.16522095981375293,0.7765027571830657,0.01944301289933048,0.09340725793653465,0.13237772867392808,5.33592248898374,4.070088251033861,0.13758792281687157,VT,1.6522095981375293,0.008244558872941763,1.3237772867392807,0.005758056923615837,0.9340725793653465,0.007687840159385567,0.1944301289933048,4.972637570161249e-4,53.3592248898374,0.5933197726816613,7.765027571830657,40.700882510338616,1.375879228168716,0.02218771971295929
4,42_3_PFM,Oa,NA,5/27/2021 3:28:23 PM,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.992540959931126,7.2470560710099194,2.9861917522956025,18.04548523663441,4.363119684977926,1.6800972062367294,22.053566550225295,3.960852093868889,5.693984609980356,VT,72.47056071009919,0.3616295444615728,16.800972062367293,0.07307947830520789,43.63119684977926,0.35910450082122847,180.45485236634408,0.46152136155075213,220.53566550225295,2.4522127372378013,29.861917522956027,39.60852093868889,56.93984609980356,1.2553348851387613
5,42_3_PFM,Bhs1,NA,5/27/2021 3:38:03 PM,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.772197301438141,0.7119806879267008,2.1462415333115885,3.2723601657088994,0.846693664310376,0.3081533951342976,27.496632668551477,10.460656795693591,1.8788680157625248,VT,7.119806879267008,0.03552797843945613,3.0815339513429763,0.013403801441248267,8.46693664310376,0.06968672134241777,32.72360165708899,0.08369207584933246,274.9663266855148,3.0574461825668804,21.462415333115885,104.60656795693592,18.788680157625247,0.20231057707245462
6,42_3_PFM,Bhs2,NA,5/27/2021 3:41:40 PM,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.946865795708649,0.5807398282229004,1.4652319710429438,1.5121726743771546,0.39067023524280137,0.26529201335547825,35.88650984480001,3.0517147846794104,4.343331513424971,VT,5.807398282229004,0.028979033344456107,2.6529201335547823,0.011539452516549729,3.9067023524280136,0.032153928826568014,15.121726743771546,0.03867449295082237,358.8650984480001,3.990345794455153,14.652319710429438,30.517147846794106,43.43331513424971,0.11134690763839622
7,42_3_PFM,Bhs3,NA,5/27/2021 4:15:06 PM,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.983954473187299,1.0777058986262529,1.5907240660606659,2.0096094791518406,0.41738771550227655,0.47414585024995926,38.55893200233417,3.1460135280801804,2.1095787816948617,VT,10.777058986262528,0.053777739452407824,4.741458502499593,0.020624003925618063,4.173877155022765,0.0343528983952491,20.096094791518407,0.05139666187089107,385.58932002334166,4.287501705226186,15.907240660606659,31.460135280801804,21.095787816948615,0.16015130364416605
8,42_3_PFM,BC,NA,5/27/2021 4:25:00 PM,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.987094247460323,1.2579267502988887,1.842547408650159,2.4828500754027196,0.5331923509217824,0.43477405549736636,39.9010122313659,4.84525650863783,2.408746938868741,VT,12.579267502988888,0.06277079592309824,4.347740554973663,0.01891144217039436,5.331923509217824,0.04388414410878867,24.8285007540272,0.06350000192845831,399.01012231365894,4.436732271834606,18.42547408650159,48.4525650863783,24.08746938868741,0.1890663841307396
9,42_4_PFM,Oa,NA,5/27/2021 4:28:35 PM,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.900707293914554,49.66875454198666,5.954914072599771,22.511166809047015,10.040526859689868,1.0735609630560836,4.179084365771995,2.2657583518217783,6.491122797882118,VT,496.6875454198666,2.4784807655681966,10.735609630560836,0.04669686659661086,100.40526859689868,0.8263808114971084,225.11166809047015,0.5757331664717906,41.790843657719954,0.46468691984121513,59.54914072599772,22.657583518217784,64.91122797882119,3.9272916101337065
10,42_4_PFM,E,NA,5/27/2021 4:32:11 PM,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,5.054796506572813,2.9431226994102815,0.8336895156941765,4.002972692025481,0.9639360073158756,0.48146889310248625,3.0841609261348504,1.7732776566013186,0.24899412350353742,VT,29.431226994102815,0.14686241015021367,4.814688931024863,0.020942535585145118,9.639360073158757,0.07933629689842599,40.02972692025481,0.10237781821037036,30.841609261348506,0.34293857592307453,8.336895156941766,17.732776566013186,2.4899412350353742,0.3495190608441551
11,42_4_PFM,Bhs1,NA,5/27/2021 4:39:30 PM,NA,HB Mod Morgan 5-27-21,Soil Modified Morgan,4.905972323516586,2.4458345342443515,1.693185698922442,7.712052429780628,2.3963380719672993,1.0745166174481722,25.26152132752368,55.421835213203536,0.36263928442116106,VT,24.458345342443515,0.12204763144931893,10.74516617448172,0.046738434860729546,23.963380719672994,0.19722947094381066,77.12052429780628,0.1972391925775097,252.61521327523684,2.8089163818595644,16.931856989224425,554.2183521320353,3.6263928442116105,0.5632547298313688
