pedon.x,orig_horizon,subdivision,horizon.x,top cm,base cm,thick,major_color,hue,value,chroma,minor_color,depletion,concentration,texture_modifier,texture_base,structure,consistence,boundary,frags,roots,sample collected,elemental,name,type,CN_id,pedon.y,horizon.y,N_pct,C_pct,CNRatio,CN_type,om_pct,om,bd
52_4_X4.1,D,6,D.6,134,144,10,10YR5/3,10YR,5,3,0,NA,NA,NA,s,NA,NA,NA,NA,NA,Y,Y,52_4_X4.1_D.6,sample,X4.1_D3,52_4_X4.1,D.6,0.012517,0.331247,26.46357,Min.Soil,0.5710698280000001,0.005710698280000001,1.3565493329808427
52_4_X4.1,D,8,D.8,155,160,5,10YR5/2,10YR,5,2,0,NA,NA,gr,s,NA,NA,NA,NA,NA,Y,Y,52_4_X4.1_D.8,sample,X4.1_D4,52_4_X4.1,D.8,0.020904,0.283143,13.54524,Min.Soil,0.48813853199999996,0.00488138532,1.3693656448952551
52_4_X4.1,D,9,D.9,160,172,12,2.5Y6/2,2.5Y,6,2,0,NA,NA,NA,lfs,NA,NA,NA,NA,NA,Y,Y,52_4_X4.1_D.9,sample,X4.1_D5,52_4_X4.1,D.9,0.007922,0.15438,19.48843,Min.Soil,0.26615111999999996,0.0026615111999999997,1.4048944892116404
52_4_X4.1,D,16,D.16,262,291,29,2.5Y6/2,2.5Y,6,2,0,NA,NA,NA,fsl,NA,NA,NA,NA,NA,Y,Y,52_4_X4.1_D.16,sample,X4.1_D9,52_4_X4.1,D.16,0.006277,0.049281,7.85162,Min.Soil,0.084960444,8.4960444e-4,1.4352899544737558
86_2_PFM,Oa,NA,Oa,12,19,7,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0,c,Y,Y,86_2_PFM_Oa,sample,86.2_Oa,86_2_PFM,Oa,1.858737,30.14081,16.21574,Min.Soil,51.96275644,0.5196275644,0.19949644130085428
86_2_PFM,E,NA,E,19,23,4,10YR4/2,10YR,4,2,NA,NA,NA,NA,ls,1msbk,fr,as,3,f,Y,Y,86_2_PFM_E,sample,86.2_E,86_2_PFM,E,0.012133,0.477826,39.38271,Min.Soil,0.8237720239999999,0.00823772024,1.3189346435933527
86_2_W2.2,Oa,NA,Oa,11,16,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,1mgr,vfr,aw,0,c,Y,Y,86_2_W2.2_Oa,sample,W2.1_Oa,86_2_W2.2,Oa,1.962904,33.98549,17.31388,Min.Soil,58.59098476,0.5859098476,0.17972531286953253
86_2_W2.2,E,1,E.1,16,23,7,7.5YR5/1,7.5YR,5,1,NA,NA,NA,NA,ls,2msbk,fr,vas,2,f,Y,Y,86_2_W2.2_E.1,sample,W2.1_E1,86_2_W2.2,E.1,0.029334,0.658725,22.45601,Min.Soil,1.1356419,0.011356419,1.2752934686212476
86_2_W2.2,E,2,E.2,23,31,8,7.5YR5/1,7.5YR,5,1,NA,NA,NA,NA,ls,2msbk,fr,vas,2,f,Y,Y,86_2_W2.2_E.2,sample,W2.1_E2,86_2_W2.2,E.2,0.036919,0.723439,19.59507,Min.Soil,1.247208836,0.01247208836,1.2603746342755522
86_3_PFM,Oa,NA,Oa,13,30,17,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,NA,2mgr,NA,cs,0,m,Y,Y,86_3_PFM_Oa,sample,86.3_Oa,86_3_PFM,Oa,1.739456,25.4651,14.63969,Min.Soil,43.901832399999996,0.43901832399999996,0.23030840399869223
86_3_PFM,Bhs1,NA,Bhs1,30,44,14,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,l,2msbk,fr,cw,0,c,Y,Y,86_3_PFM_Bhs1,sample,86.3_Bhs1,86_3_PFM,Bhs1,1.09577,17.80963,16.25307,Min.Soil,30.703802119999995,0.30703802119999996,0.3082601597018704
86_3_PFM,Bhs2,NA,Bhs2,44,72,28,7.5YR2.5/3,7.5YR,2.5,3,0,NA,NA,NA,sl,2msbk,fr,cs,5,f,Y,Y,86_3_PFM_Bhs2,sample,86.3_Bhs2,86_3_PFM,Bhs2,0.214383,6.280102,29.29383,Min.Soil,10.826895848,0.10826895848,0.6287793776674967
86_3_PFM,C,NA,C,72,75,3,7.5YR3/4,7.5YR,3,4,7.5YR4/6,NA,NA,gr,ls,1msbk,fi,NA,25,NA,Y,Y,86_3_PFM_C,sample,86.3_C,86_3_PFM,C,0.038591,1.239036,32.10658,Min.Soil,2.136098064,0.02136098064,1.1529175293433018
86_3_W3.2,Oa,NA,Oa,7,12,5,5YR2.5/1,5YR,2.5,1,2.5YR2.5/3,NA,NA,NA,NA,1mgr,vfr,cs,0,f,Y,Y,86_3_W3.2_Oa,sample,W3.2_Oa,86_3_W3.2,Oa,1.869428,32.8011,17.54606,Min.Soil,56.549096399999996,0.565490964,0.18538517482119565
86_3_W3.2,A,NA,A,12,17,5,5YR3/1,5YR,3,1,NA,NA,NA,NA,sl,2msbk,fr,ci,0,f,Y,Y,86_3_W3.2_A,sample,W3.2_A,86_3_W3.2,A,0.512992,10.66489,20.78959,Min.Soil,18.38627036,0.1838627036,0.45059779572359043
86_3_W3.2,Bhs1,NA,Bhs1,17,20,3,5YR2.5/2,5YR,2.5,2,NA,NA,NA,NA,sl,2msbk,fr,cs,0,f,Y,Y,86_3_W3.2_Bhs1,sample,W3.2_Bhs1,86_3_W3.2,Bhs1,0.398926,8.006473,20.07007,Min.Soil,13.803159452,0.13803159452,0.5440729421002617
86_3_W3.2,Bhs2,1,Bhs2.1,20,27,7,7.5YR3/2,7.5YR,3,2,NA,NA,NA,NA,ls,2msbk,fr,aw,0,f,Y,Y,86_3_W3.2_Bhs2.1,sample,W3.2_Bhs2.1,86_3_W3.2,Bhs2.1,0.283204,6.000777,21.18887,Min.Soil,10.345339548,0.10345339548,0.6450278839872255
86_3_W3.2,Bhs2,2,Bhs2.2,27,34,7,7.5YR3/2,7.5YR,3,2,NA,NA,NA,NA,ls,2msbk,fr,aw,0,f,Y,Y,86_3_W3.2_Bhs2.2,sample,W3.2_Bhs2.2,86_3_W3.2,Bhs2.2,0.291245,5.882711,20.19847,Min.Soil,10.141793763999999,0.10141793764,0.652151138358281
86_3_W3.2,Bhs3,1,Bhs3.1,34,41,7,7.5YR3/3,7.5YR,3,3,NA,NA,NA,gr,ls,2msbk,vfr,ab,2,0,Y,Y,86_3_W3.2_Bhs3.1,sample,W3.2_Bhs3.1,86_3_W3.2,Bhs3.1,0.104066,2.385181,22.91986,Min.Soil,4.112052044,0.04112052044,0.9692257902486486
86_3_W3.2,Bhs3,2,Bhs3.2,41,49,8,7.5YR3/3,7.5YR,3,3,NA,NA,NA,gr,ls,2msbk,vfr,ab,2,0,Y,Y,86_3_W3.2_Bhs3.2,sample,W3.2_Bhs3.2,86_3_W3.2,Bhs3.2,0.109855,2.419421,22.0237,Min.Soil,4.171081804,0.04171081804,0.9646343567218735
86_4_PFM,Oa,NA,Oa,5,10,5,5YR2.5/1,5YR,2.5,1,NA,NA,NA,NA,NA,1sbk,fr,as,0,m,Y,Y,86_4_PFM_Oa,sample,86.4_Oa,86_4_PFM,Oa,1.000371,24.67273,24.66357,Min.Soil,42.53578652,0.4253578652,0.2364984366778706
86_4_PFM,E,NA,E,10,16,6,10YR6/2,10YR,6,2,0,NA,NA,NA,NA,1sbk,fr,ci,0,f,Y,Y,86_4_PFM_E,sample,86.4_E,86_4_PFM,E,0.060784,1.255347,20.65265,Min.Soil,2.1642182279999997,0.02164218228,1.1498162981195652
86_4_PFM,Bhs,NA,Bhs,16,21,5,5YR2.5/1,5YR,2.5,1,0,NA,NA,NA,NA,2sbk,fr,ci,5,f,Y,Y,86_4_PFM_Bhs,sample,86.4_Bhs,86_4_PFM,Bhs,0.377099,7.907612,20.96961,Min.Soil,13.632723088,0.13632723088,0.5483028360289712
86_4_PFM,Bs,NA,Bs,21,63,42,7.5YR3/4,7.5YR,3,4,0,NA,NA,NA,NA,2sbk,fr,gs,10,f,Y,Y,86_4_PFM_Bs,sample,86.4_Bs,86_4_PFM,Bs,0.206474,6.097517,29.53162,Min.Soil,10.512119307999999,0.10512119308,0.6393062459860248
86_4_PFM,BC,NA,BC,63,101,38,10YR3/6,10YR,3,6,0,NA,NA,NA,NA,1sbk,vfr,NA,35,0,Y,Y,86_4_PFM_BC,sample,86.4_BC,86_4_PFM,BC,0.185748,5.118129,27.55422,Min.Soil,8.823654396,0.08823654396,0.7023822403059538
86_4_W4.1,Oa,NA,Oa,8,15,7,5YR2.5/2,5YR,2.5,2,0,NA,NA,NA,NA,1mgr,vfr,as,0,m,Y,Y,86_4_W4.1_Oa,sample,W4.1_Oa,86_4_W4.1,Oa,1.50145,28.6483,19.08042,Min.Soil,49.3896692,0.493896692,0.2083960035737981
86_4_W4.1,E,NA,E,15,19.5,4.5,7.5YR5/1,7.5YR,5,1,0,NA,NA,NA,ls,2msbk,vfr,aw,5,f,Y,Y,86_4_W4.1_E,sample,W4.1_E,86_4_W4.1,E,0.061877,1.23968,20.03465,Min.Soil,2.1372083199999996,0.021372083199999996,1.1527947676235313
86_4_W4.1,Bhs,NA,Bhs,19.5,24,4.5,7.5YR2.5/2,7.5YR,2.5,2,0,NA,NA,NA,sl,2msbk,fr,cw,10,f,Y,Y,86_4_W4.1_Bhs,sample,W4.1_Bhs,86_4_W4.1,Bhs,0.243477,5.288785,21.72186,Min.Soil,9.11786534,0.0911786534,0.6905110954933247
86_4_W4.1,Bs,1,Bs.1,24,33,9,7.5YR3/4,7.5YR,3,4,0,NA,NA,NA,sl,2msbk,fr,cs,10,f,Y,Y,86_4_W4.1_Bs.1,sample,W4.1_Bs1,86_4_W4.1,Bs.1,0.118811,2.82071,23.74122,Min.Soil,4.86290404,0.048629040400000004,0.9138952011339206
86_4_W4.1,Bs,2,Bs.2,33,43,10,7.5YR3/4,7.5YR,3,4,0,NA,NA,NA,sl,2msbk,fr,cs,10,f,Y,Y,86_4_W4.1_Bs.2,sample,W4.1_Bs2,86_4_W4.1,Bs.2,0.140698,3.148525,22.37796,Min.Soil,5.428057099999999,0.05428057099999999,0.8762441414758431
86_4_W4.1,Bs,3,Bs.3,43,53,10,7.5YR3/4,7.5YR,3,4,0,NA,NA,NA,sl,2msbk,fr,cs,10,f,Y,Y,86_4_W4.1_Bs.3,sample,W4.1_Bs3,86_4_W4.1,Bs.3,0.16146224240461984,4.048389355341594,25.073288312176686,Min.Soil,6.979423248608907,0.06979423248608907,0.7872168031063558
86_4_W4.1,BC,1,BC.1,53,62,9,10YR3/4,10YR,3,4,5YR3/3,NA,NA,NA,sl,2mabk,fr,gs,20,0,Y,Y,86_4_W4.1_BC.1,sample,W4.1_BC1,86_4_W4.1,BC.1,0.167719,4.003479,23.87013,Min.Soil,6.901997795999999,0.06901997795999999,0.7912288854514034
86_4_W4.1,BC,2,BC.2,62,82,20,10YR3/4,10YR,3,4,5YR3/3,NA,NA,NA,sl,2mabk,fr,gs,20,0,Y,Y,86_4_W4.1_BC.2,sample,W4.1_BC2,86_4_W4.1,BC.2,0.105418,2.693903,25.55447,Min.Soil,4.644288772,0.046442887720000006,0.9293421286034894
86_4_W4.1,D,1,D.1,82,92,10,10YR5/3,10YR,5,3,5YR3/3,NA,NA,gr,sl,2mapl,NA,NA,30,NA,Y,Y,86_4_W4.1_D.1,sample,W4.1_D1,86_4_W4.1,D.1,0.04981,1.466083,29.43361,Min.Soil,2.527527092,0.025275270920000002,1.1111986556463833
86_4_W4.1,D,2,D.2,100,110,10,10YR5/3,10YR,5,3,0,NA,NA,vgr,ls,NA,NA,NA,35,NA,Y,Y,86_4_W4.1_D.2,sample,W4.1_D2,86_4_W4.1,D.2,0.043857,1.243648,28.3571,Min.Soil,2.144049152,0.02144049152,1.1520389488416671
86_4_W4.1,D,4,D.4,125,135,10,10YR5/3,10YR,5,3,0,NA,NA,gr,s,NA,NA,NA,21,NA,Y,Y,86_4_W4.1_D.4,sample,W4.1_D4,86_4_W4.1,D.4,0.020705,0.588346,28.415,Min.Soil,1.014308504,0.01014308504,1.2919244238084144
