X,Pedon,TDepth,BDepth,Depth,Name,Ti,Zr,Y,Ratio,Fe,Al,Si,Mn,Ca,P,K,Ce,tau_Fe,tau_Al,tau_Si,tau_Mn,tau_Ca,tau_P,tau_K,tau_Ce,LV,Hor,Cat
85,86_4_W4.1,53,62,57.5,86_4_W4.1_BC.1,3104.627307,227,26,13.67677228,20843.03668,66792.76193,314117.4711,441.4432522,7647.245756,523.7144484,20255.66537,66.8,-0.149666006,-0.124710881,-0.286394095,-0.382730517,-0.31748164,-0.349696635,-0.319118401,-0.165877383,V,BC,VBC
86,86_4_W4.1,62,82,72,86_4_W4.1_BC.2,3110.620796,265,34,11.73819168,19723.94746,62611.59854,333890.0441,549.8679107,8433.411207,611.0001898,20670.74048,80.2,-0.196871963,-0.181084067,-0.242936664,-0.232601933,-0.248766459,-0.242774566,-0.306504703,-0.000482955,V,BC,VBC
87,86_4_W4.1,82,92,87,86_4_W4.1_D.1,2739.024478,232,32,11.80613999,19304.289,62452.82018,340434.1581,565.3571476,8433.411207,654.6430605,22248.0259,75.5,-0.107319765,-0.072342326,-0.123376655,-0.103941487,-0.146848561,-0.078618318,-0.152323537,0.068596989,V,D,VD
88,HB08NH010020,,,,HB08NH010020_Oa,1101,,,,3667,35731,,87,2291,841,6209,,-0.578146543,0.320351163,,-0.656962712,-0.423424035,1.944690094,-0.411469605,,V,Oa,VOa
89,HB08NH020024,,,,HB08NH020024_E,2506,,,,6410,48203,,261,6520,170,23881,,-0.6760224,-0.217427465,,-0.547864261,-0.279082956,-0.738483694,-0.005497227,,V,E,VE
90,HB08NH024028,,,,HB08NH024028_Bhs,3100,,,,30723,52386,,363,7233,236,21205,,0.25527809,-0.312480303,,-0.491659949,-0.35348957,-0.706518164,-0.286143136,,V,Bhs,VBhs
91,HB08NH028037,,,,HB08NH028037_Bs,2771,,,,26404,57675,,367,8334,238,23431,,0.206899813,-0.153196435,,-0.425038275,-0.166634083,-0.668890722,-0.117552545,,V,Bs,VBs
92,HB08NH037056,,,,HB08NH037056_Bw,2724,,,,21067,59855,,347,8685,308,24633,,-0.020434201,-0.106025909,,-0.446991549,-0.116550999,-0.564112383,-0.056276521,,V,Bw,VBw
93,HB08NH056066,,,,HB08NH056066_Cd,2822,,,,19863,61882,,544,9350,720,26590,,-0.108490748,-0.107847838,,-0.163142935,-0.081935137,-0.016427437,-0.016677708,,V,Cd,VCd
94,HB08NH070080,,,,HB08NH070080_Cd,2483,,,,18530,61151,,473,9641,678,26477,,-0.054771688,0.001978596,,-0.173022264,0.075880727,0.052649753,0.112824331,,V,Cd,VCd
95,HB08NH109110,,,,HB08NH109110_Cd,2569,,,,19562,62280,,469,9026,696,27639,,-0.035533446,-0.013683951,,-0.207465576,-0.026468542,0.044422102,0.122775115,,V,Cd,VCd
96,HB08NH123125,,,,HB08NH123125_Cd,2551,,,,20016,64914,,500,8864,638,28249,,-0.006186584,0.035284025,,-0.149118772,-0.037195629,-0.035857697,0.15565227,,V,Cd,VCd
97,HB17NH008010,,,,HB17NH008010_Oa,827,,,,4056,22006,,66,1474,1182,3682,,-0.378801414,0.082597947,,-0.653544211,-0.506132169,4.509889453,-0.535364026,,V,Oa,VOa
98,HB17NH010014,,,,HB17NH010014_E,3687,,,,9261,43788,,354,5347,174,18232,,-0.68185671,-0.516814857,,-0.583188665,-0.598157552,-0.818068865,-0.483945308,,V,E,VE
99,HB17NH014019,,,,HB17NH014019_Bhs,3692,,,,32113,52590,,434,7287,260,18426,,0.101684422,-0.420473795,,-0.489686058,-0.453102622,-0.728517041,-0.479160479,,V,Bhs,VBhs
100,HB17NH019047,,,,HB17NH019047_Bw,2979,,,,21306,55770,,442,8864,310,20171,,-0.094122566,-0.23833896,,-0.355888337,-0.175524018,-0.598835856,-0.293370958,,V,Bw,VBw
101,HB17NH047066,,,,HB17NH047066_BC,3115,,,,20404,60450,,440,9251,535,21531,,-0.170349297,-0.210467786,,-0.386797351,-0.177095581,-0.337895332,-0.278658852,,V,BC,VBC
102,HB17NH066076,,,,HB17NH066076_Cd,2641,,,,16776,59045,,504,9591,524,21661,,-0.19544074,-0.090408641,,-0.171540024,0.006269372,-0.235119121,-0.144057368,,V,Cd,VCd
103,HB17NH100110,,,,HB17NH100110_Cd,3003,,,,23263,67891,,550,9631,593,25124,,-0.018820626,-0.080210444,,-0.204909153,-0.111341672,-0.238744787,-0.126891916,,V,Cd,VCd
104,HB17NH118128,,,,HB17NH118128_Cd,3189,,,,22084,66568,,529,9684,596,24396,,-0.122875502,-0.150736244,,-0.279870587,-0.158567997,-0.27951879,-0.201640197,,V,Cd,VCd
105,HB20NH006008,,,,HB20NH006008_A,2142,,,,9863,30138,,297,5445,750,12949,,-0.416786473,-0.427564496,,-0.398069459,-0.29563595,0.349810231,-0.369113374,,V,A,VA
106,HB20NH008012,,,,HB20NH008012_E,2992,,,,6961,44333,,295,5520,295,20850,,-0.705321761,-0.397166842,,-0.571974322,-0.488793635,-0.61990571,-0.272757876,,V,E,VE
107,HB20NH012017,,,,HB20NH012017_Bhs,2680,,,,22319,46501,,382,5842,413,20121,,0.054819038,-0.294074128,,-0.381217582,-0.395988061,-0.405918298,-0.216481377,,V,Bhs,VBhs
108,HB20NH017028,,,,HB20NH017028_Bs1,2661,,,,20545,53823,,387,6005,416,20603,,-0.022089087,-0.177085667,,-0.368642292,-0.374702199,-0.397330276,-0.191983658,,V,Bs,VBs
109,HB20NH028045,,,,HB20NH028045_Bs2,2779,,,,20600,57312,,471,8018,524,21444,,-0.061105716,-0.160948501,,-0.264230541,-0.200540865,-0.273101691,-0.194710923,,V,Bs,VBs
110,HB20NH045089,,,,HB20NH045089_Bw1,2535,,,,18298,56322,,509,8869,616,22309,,-0.085752711,-0.096076442,,-0.128335788,-0.030572231,-0.063228505,-0.081589804,,V,Bw,VBw
111,HB20NH089110,,,,HB20NH089110_Bw2,2240,,,,15315,52047,,514,8235,548,22336,,-0.13402171,-0.054679048,,-0.003850555,0.018671955,-0.056887592,0.040619451,,V,Bw,VBw
112,HB20NH110125,,,,HB20NH110125_Cd1,1701,,,,13284,50251,,566,8394,596,21669,,-0.010849044,0.201910129,,0.444513198,0.367361715,0.350743433,0.329441136,,V,Cd,VCd
113,HB20NH125132,,,,HB20NH125132_Cd2,2185,,,,13866,51216,,491,9676,753,20895,,-0.196218926,-0.046357021,,-0.024472655,0.227052608,0.328539445,-0.002011606,,V,Cd,VCd
114,HB20NH140153,,,,HB20NH140153_Cr,4489,,,,67185,57763,,969,19276,438,16226,,0.895661272,-0.476481859,,-0.062905113,0.189833183,-0.623854887,-0.622778513,,V,Cr,VCr
