X,Pedon,TDepth,BDepth,Depth,Name,Ti,Zr,Y,Ratio,Fe,Al,Si,Mn,Ca,P,K,Ce,tau_Fe,tau_Al,tau_Si,tau_Mn,tau_Ca,tau_P,tau_K,tau_Ce,LV,Hor,Cat
18,42_3_V3.1,55,62,58.5,42_3_V3.1_Bhs3.3,2751.011456,233,31,11.80691612,23780.64587,58165.80456,320100.6611,960.332689,8647.819967,1963.929182,18595.36493,60.4,0.094886922,-0.139785139,-0.179327297,0.515439873,-0.128970216,1.75210084,-0.29458147,-0.148847366,L,Bhs,LBhs
19,42_3_V3.1,62,67,64.5,42_3_V3.1_BC.1,2343.454203,160,31,14.64658877,19863.83361,58165.80456,332487.734,751.2279906,8433.411207,1745.714828,20421.69541,58.5,0.073605233,0.009817446,0.000679432,0.391632899,-0.002838343,1.871757399,-0.090568735,-0.032251954,L,BC,LBC
20,42_3_V3.1,67,77,72,42_3_V3.1_BC.2,2367.428159,229,31,10.33811423,20353.43515,57213.13442,340434.1581,604.0802399,8862.228726,1440.214733,19757.57524,57,0.088927411,-0.016780388,0.01421992,0.10771291,0.037253503,1.345207957,-0.129053673,-0.066614705,L,BC,LBC
21,42_4_PFM,9,11.5,10.25,42_4_PFM_E,3128.601263,233,24,13.42747323,15737.19212,46998.39349,359552.3196,410.4647784,5789.036507,349.1429656,20089.63532,45.2,-0.362889075,-0.388826666,-0.189435285,-0.430445776,-0.487286401,-0.569786535,-0.329874115,-0.439918631,V,E,VE
22,42_4_PFM,11.5,16,13.75,42_4_PFM_Bhs1,3398.308269,180,22,18.87949038,38398.74878,44881.34874,293690.4868,433.6986338,5717.56692,785.5716726,16686.01942,45.2,0.43117362,-0.46267787,-0.390459001,-0.445968218,-0.533805389,-0.108843537,-0.48758182,-0.484369533,V,Bhs,VBhs
23,42_4_PFM,16,36,26,42_4_PFM_Bhs2,3416.288736,246,23,13.88735258,31824.09963,55837.05533,299486.702,487.910963,6217.854026,741.9288019,17101.09453,46.5,0.179884723,-0.33503385,-0.381700649,-0.379994697,-0.495681712,-0.162781955,-0.477599125,-0.472331351,V,Bhs,VBhs
24,42_4_PFM,36,45,40.5,42_4_PFM_Bh,2631.141675,195,26,13.49303423,25739.052,58906.77022,323606.4364,565.3571476,8219.002448,785.5716726,17350.1396,48.5,0.239042877,-0.089138012,-0.132541447,-0.067201046,-0.13444705,0.150992516,-0.311833866,-0.285404277,V,Bh,VBh
25,42_4_PFM,45,50.5,47.75,42_4_PFM_BC,2397.395604,214,27,11.2027832,21612.41051,57371.91278,340013.465,542.1232922,8933.698313,785.5716726,18180.28982,58.4,0.141830199,-0.026376102,0.000304511,-0.018324937,0.03254822,0.263214286,-0.208600714,-0.055643334,V,BC,VBC
26,42_4_V4.1,8,16,12,42_4_V4.1_Oa,1540.326676,84,15,18.33722233,7274.079914,24451.86689,192817.6441,271.0616461,3573.479325,567.3573191,11040.99793,24.9,-0.40185944,-0.354151305,-0.117103589,-0.236050535,-0.357168424,0.419955531,-0.251950997,-0.373314829,V,Oa,VOa
27,42_4_V4.1,16,24,20,42_4_V4.1_E,3380.327802,264,23,12.80427198,9861.97373,48903.73377,375304.9369,317.5293569,4645.523123,261.8572242,22995.16109,60.1,-0.630475664,-0.411407395,-0.216928756,-0.59221198,-0.619202075,-0.701367781,-0.290075449,-0.310747163,V,E,VE
28,42_4_V4.1,24,32.5,28.25,42_4_V4.1_Bhs1,3925.735302,214,28,18.34455748,11750.43678,50015.18227,347866.4018,348.5078307,5074.340642,436.428707,22912.14607,61.1,-0.620884956,-0.481662723,-0.375018319,-0.614609572,-0.641839763,-0.571428571,-0.390913025,-0.396630845,V,Bhs,VBhs
29,42_4_V4.1,32.5,38,35.25,42_4_V4.1_Bhs2.1,3056.679395,170,23,17.98046703,22521.6705,53190.74939,315099.0882,371.7416861,5431.688574,523.7144484,22995.16109,54.7,-0.066769911,-0.292025167,-0.272935277,-0.472040302,-0.507616222,-0.339495798,-0.214906967,-0.306254236,V,Bhs,VBhs
30,42_4_V4.1,38,43,40.5,42_4_V4.1_Bhs2.2,2709.057033,190,24,14.25819491,26228.65354,49644.69943,311827.0312,394.9755415,6074.914853,567.3573191,19259.4851,49.8,0.226297576,-0.254433583,-0.188158164,-0.36706159,-0.378643549,-0.192635904,-0.258073163,-0.287353589,V,Bhs,VBhs
31,42_4_V4.1,43,50,46.5,42_4_V4.1_Bh.1,2397.395604,171,25,14.01985733,22521.6705,57424.8389,305656.8666,480.1663445,7004.019477,829.2145433,19010.44004,56.2,0.189868363,-0.025477925,-0.100771075,-0.130516373,-0.190482196,0.333392857,-0.17246376,-0.091218414,V,Bh,VBh
32,42_4_V4.1,50,56.5,53.25,42_4_V4.1_Bh.2,2379.415137,197,25,12.07824943,19304.289,62452.82018,315379.5503,433.6986338,7647.245756,872.857414,19591.54519,58.4,0.027594124,0.067857826,-0.065156042,-0.20872539,-0.109459671,0.414177762,-0.140723317,-0.048507138,V,Bh,VBh
33,42_4_V4.1,56.5,66,61.25,42_4_V4.1_BC,2367.428159,202,25,11.71994138,18115.25671,63881.82539,333983.5314,456.9324891,7933.124102,872.857414,22165.01087,59.7,-0.030817184,0.097822453,-0.004997758,-0.162114594,-0.071490816,0.421338156,-0.022929961,-0.022401718,V,BC,VBC
34,52_2_PFM,8,10,9,52_2_PFM_Oa,893.0298625,18,4,49.61277014,6154.990697,13231.5297,61514.67143,333.0185938,1500.861317,1920.286311,4233.766122,12.4,-0.127029756,-0.397196626,-0.514165286,0.618869711,-0.534313823,7.289549377,-0.505239023,-0.46170715,L,Oa,LOa
35,52_2_PFM,10,30,20,52_2_PFM_E,5555.964312,382,30,14.54440919,14967.81829,55201.94191,344267.1391,456.9324891,3716.418498,567.3573191,21583.90572,82.9,-0.658777959,-0.595771892,-0.562969307,-0.642972238,-0.814653696,-0.606333796,-0.594580023,-0.421560435,L,E,LE
36,52_2_X2.1,7,12.5,9.75,52_2_X2.1_Oa,3044.692417,136,15,22.38744424,9512.25835,27309.8773,142147.5044,271.0616461,1429.39173,1789.357699,8882.607354,37.1,-0.6042889,-0.635071381,-0.670715241,-0.613513755,-0.869915185,1.265607424,-0.695539051,-0.527617944,L,Oa,LOa
37,52_2_X2.1,12.5,19.5,16,52_2_X2.1_E1.1,5525.996867,429,38,12.88111158,9652.144502,47686.43304,374089.6014,348.5078307,2644.374701,305.5000949,20006.6203,78.6,-0.778766341,-0.648912147,-0.522535796,-0.726213958,-0.867403786,-0.786876356,-0.622168944,-0.44858977,L,E,LE
38,52_2_X2.1,19.5,26,22.75,52_2_X2.1_E1.2,4680.914917,349,32,13.41236366,8533.055284,42976.00847,382970.899,410.4647784,2429.965941,261.8572242,19259.4851,70.4,-0.769106433,-0.62646876,-0.422953458,-0.619324834,-0.856157175,-0.784342418,-0.570613405,-0.416951316,L,E,LE
39,52_2_X2.1,26,30,28,52_2_X2.1_E2,4692.901895,370,36,12.68351863,8602.99836,41441.15102,395264.4845,410.4647784,2501.435528,174.5714828,18429.33488,75.4,-0.767808463,-0.640729189,-0.405951184,-0.620297184,-0.852304725,-0.856595512,-0.590170947,-0.377136649,L,E,LE
40,52_3_PFM,16.5,23,19.75,52_3_PFM_Oa,2936.809615,166,19,17.69162419,13568.95676,35883.90855,182907.9858,356.2524492,3502.009739,1658.429087,11954.16317,40.8,-0.414794112,-0.502886511,-0.560728841,-0.473387138,-0.66958457,1.17696793,-0.575206422,-0.461423652,L,Oa,LOa
41,52_3_PFM,23,33,28,52_3_PFM_Bhs1,4291.338131,292,29,14.69636346,16786.33826,46892.54126,293176.3064,526.6340553,4431.114363,1091.071768,18346.31986,54.1,-0.504548376,-0.55542746,-0.518149905,-0.467247372,-0.71388608,-0.019852354,-0.553839845,-0.511271757,L,Bhs,LBhs
42,52_3_PFM,33,48,40.5,52_3_PFM_Bhs2,4207.429285,383,54,10.98545505,25109.56432,49591.77332,355579.1076,1053.268111,7504.306583,567.3573191,21168.83061,74.8,-0.244106913,-0.52046047,-0.403932798,0.086754649,-0.505788886,-0.48015873,-0.474933151,-0.310796173,L,Bhs,LBhs
43,52_3_X3.1,4,9,6.5,52_3_X3.1_Oa,2942.803104,242,24,12.1603434,9722.087578,40911.88983,295092.7969,317.5293569,3930.827258,698.2859312,19342.50013,55.5,-0.581556963,-0.434386279,-0.292749572,-0.531583618,-0.629880883,-0.085248763,-0.314060268,-0.268869864,L,Oa,LOa
44,52_3_X3.1,9,15,12,52_3_X3.1_E,3955.702747,368,38,10.74919225,13499.01369,48639.10318,370677.3134,410.4647784,4574.053536,349.1429656,23244.20616,83.8,-0.567768504,-0.499742613,-0.339081096,-0.549534387,-0.679597158,-0.65974026,-0.386766846,-0.178735071,L,E,LE
45,52_3_X3.1,15,20,17.5,52_3_X3.1_Bhs1,4381.240466,215,26,20.37786263,38468.69186,43346.4913,265878.0024,402.7201599,4574.053536,741.9288019,15108.734,50.9,0.112111546,-0.597479078,-0.571982888,-0.600960694,-0.710716997,-0.34717608,-0.640113512,-0.54961533,L,Bhs,LBhs
46,52_3_X3.1,20,28,24,52_3_X3.1_Bhs2.1,3632.05434,260,28,13.96943977,38258.86263,44881.34874,274338.6069,433.6986338,4931.401469,741.9288019,15191.74903,78,0.334190178,-0.497258007,-0.467266009,-0.481623729,-0.623784411,-0.21251768,-0.563494223,-0.167459877,L,Bhs,LBhs
47,52_3_X3.1,28,36,32,52_3_X3.1_Bhs2.2,3703.976208,280,28,13.22848646,35740.91189,54090.49341,277189.9708,526.6340553,6718.141131,785.5716726,15523.80911,65.9,0.222180815,-0.40586607,-0.472180853,-0.382765564,-0.497426368,-0.182385576,-0.562614217,-0.310268384,L,Bhs,LBhs
48,52_3_X3.1,36,46,41,52_3_X3.1_Bhs2.3,3476.223626,265,30,13.117825,28816.54735,62294.04183,290137.9678,565.3571476,8147.532861,872.857414,17350.1396,72.3,0.049958804,-0.270928027,-0.411328956,-0.293967689,-0.350562775,-0.032019704,-0.479129426,-0.19370587,L,Bhs,LBhs
49,52_4_PFM,15,32,23.5,52_4_PFM_Bh1,4698.895384,202,30,23.26185834,33432.79038,64146.45599,290792.3792,588.591003,8361.941621,654.6430605,20836.77052,67.9,-0.098813098,-0.444596655,-0.563521294,-0.45621498,-0.506905544,-0.462919096,-0.537225746,-0.439807995,V,Bh,VBh
50,52_4_PFM,32,63,47.5,52_4_PFM_Bh2,4237.39673,296,25,14.31552949,32593.47346,56895.57771,314725.1389,503.4001999,7647.245756,698.2859312,18678.37995,54.7,-0.025751962,-0.453725429,-0.476148583,-0.484268506,-0.499937043,-0.364720145,-0.539982202,-0.499561047,V,Bh,VBh
51,52_4_X4.1,9,16,12.5,52_4_X4.1_Oa,2589.187252,241,24,10.74351557,11400.7214,35936.83467,297944.1609,317.5293569,4002.296844,480.0715777,16436.97436,45.4,-0.442291974,-0.435312776,-0.18839029,-0.467610085,-0.571683701,-0.285218254,-0.337489182,-0.320240477,V,Oa,VOa
52,52_4_X4.1,16,26,21,52_4_X4.1_E,2966.77706,264,26,11.23779189,11120.9491,44934.27486,387084.342,371.7416861,4288.17519,174.5714828,22248.0259,56.1,-0.525217216,-0.383796124,-0.079769745,-0.456041523,-0.599496448,-0.773160173,-0.217397689,-0.266937748,V,E,VE
53,52_4_X4.1,26,31,28.5,52_4_X4.1_Bhs,2984.757527,167,24,17.87279956,26998.02737,48003.98975,311780.2876,402.7201599,5217.279815,392.7858363,19259.4851,53.5,0.145673846,-0.345665411,-0.263258026,-0.41426158,-0.515656096,-0.492685026,-0.326604557,-0.305123485,V,Bhs,VBhs
54,52_4_X4.1,31,36,33.5,52_4_X4.1_Bs1,2822.933324,231,24,12.22049058,33642.6196,51020.77852,309910.5407,449.1878707,5860.506093,480.0715777,18346.31986,55.6,0.509479454,-0.264677151,-0.225695928,-0.309224705,-0.424754453,-0.344404004,-0.321760784,-0.236450708,V,Bs,VBs
55,52_4_X4.1,36,45,40.5,52_4_X4.1_Bs2.1,2259.545357,151,21,14.96387653,18884.63055,54460.97625,297803.9299,387.230923,5717.56692,480.0715777,17101.09453,52.3,0.058584306,-0.01939081,-0.070423413,-0.256024962,-0.298853198,-0.18093975,-0.210163134,-0.102687882,V,Bs,VBs
56,52_4_X4.1,45,54.5,49.75,52_4_X4.1_Bs2.2,2475.310961,222,23,11.15004937,22171.95512,54513.90236,314491.4205,441.4432522,6575.201958,611.0001898,17267.12458,52.6,0.134520238,-0.103997735,-0.103903351,-0.225797598,-0.263965627,-0.04842615,-0.272011005,-0.176205502,V,Bs,VBs
57,52_4_X4.1,54.5,62,58.25,52_4_X4.1_BC.1,2469.317472,201,24,12.28516155,19374.23208,59330.17917,333936.7878,433.6986338,7289.897823,523.7144484,18844.40999,63.6,-0.006230668,-0.022469468,-0.046187188,-0.237533932,-0.181981216,-0.182385576,-0.203583642,-0.001511439,V,BC,VBC
58,52_4_X4.1,62,69,65.5,52_4_X4.1_BC.2,2589.187252,191,31,13.5559542,20003.71976,59594.80977,338938.3606,449.1878707,7218.428237,567.3573191,19425.51515,60.7,-0.021444813,-0.063567284,-0.076720739,-0.246863047,-0.227500962,-0.155257936,-0.21703267,-0.091158523,V,BC,VBC
59,86_2_PFM,12,19,15.5,86_2_PFM_Oa,1060.847555,16,7,66.30297217,8253.28298,11855.45061,61374.44042,92.93542152,1572.330903,916.5002847,3901.706034,19.2,-0.01460177,-0.545329595,-0.591952819,-0.619690048,-0.589314154,2.330508475,-0.616172469,-0.298365143,L,Oa,LOa
60,86_2_PFM,19,23,21,86_2_PFM_E,3074.659862,339,42,9.069793104,11120.9491,39853.36746,399471.4149,704.7602799,5574.627747,174.5714828,17516.16964,88.8,-0.541876261,-0.472649278,-0.083643541,-0.004929761,-0.497613966,-0.781119465,-0.405466103,0.119641004,L,E,LE
61,86_2_W2.2,11,16,13.5,86_2_W2.2_Oa,221.7590934,3,3,73.91969779,1468.804598,6086.503662,19118.16156,69.70156614,1429.39173,698.2859312,1328.240352,6.2,-0.161079885,0.11665252,-0.391948301,0.364490435,0.786029353,11.13899614,-0.374928368,0.083859927,L,Oa,LOa
62,86_2_W2.2,16,23,19.5,86_2_W2.2_E.1,5130.426593,253,36,20.27836598,10841.1768,50809.07405,369602.209,418.2093968,6217.854026,174.5714828,20089.63532,68.5,-0.732353869,-0.597079464,-0.49189099,-0.646125144,-0.664180579,-0.8688251,-0.591348467,-0.482393167,L,E,LE
63,86_2_W2.2,23,31,27,86_2_W2.2_E.2,7090.297499,303,30,23.40032178,19234.34593,47845.2114,362684.1456,635.0587137,8004.593688,305.5000949,17682.19969,67.9,-0.656401716,-0.725460006,-0.639222098,-0.611170848,-0.687180658,-0.833896872,-0.739740621,-0.628748494,L,E,LE
64,86_3_PFM,13,30,21.5,86_3_PFM_Oa,641.3033241,22,9,29.15015109,5805.275316,25298.68479,48379.6998,100.68004,1072.043798,960.1431554,2822.510748,19.6,0.146561492,0.6049668,-0.467921765,-0.318463241,-0.536800799,4.771695594,-0.540689187,0.184828489,L,Oa,LOa
65,86_3_PFM,30,44,37,86_3_PFM_Bhs1,1570.294121,74,16,21.22019082,16996.16749,40806.03759,122187.9568,278.8062646,2644.374701,1396.571862,7305.321936,35.6,0.37090708,0.057243493,-0.451188486,-0.229219143,-0.533382789,2.428571429,-0.514495889,-0.121115306,L,Bhs,LBhs
66,86_3_PFM,44,72,58,86_3_PFM_Bhs2,3632.05434,235,26,15.45555038,30635.06733,55519.49862,296448.3634,503.4001999,5931.97568,436.428707,17267.12458,58.7,0.068327784,-0.378093926,-0.424331408,-0.398313257,-0.547450813,-0.536775106,-0.503862286,-0.373460189,L,Bhs,LBhs
67,86_3_PFM,72,75,73.5,86_3_PFM_C,2679.089587,221,37,12.12257732,23011.27204,51761.74419,360066.5,782.2064645,8862.228726,523.7144484,18678.37995,51.5,0.0879061,-0.2139444,-0.052080851,0.267487138,-0.083411334,-0.246404602,-0.272410328,-0.254782748,L,C,LC
68,86_3_W3.2,7,12,9.5,86_3_W3.2_Oa,557.3944779,12,4,46.44953983,3916.812262,9050.366315,36787.26931,116.1692769,1786.739663,698.2859312,2324.420616,12,-0.109962889,-0.339405283,-0.534509625,-0.095230357,-0.111786478,3.829493088,-0.564802278,-0.165394021,L,Oa,LOa
69,86_3_W3.2,12,17,14.5,86_3_W3.2_A,3799.872032,217,27,17.51093102,21892.18282,49009.58601,253023.4927,278.8062646,5646.097334,567.3573191,17101.09453,56.6,-0.270276863,-0.475260614,-0.530357176,-0.681475419,-0.588283612,-0.424402884,-0.530333599,-0.422555342,L,A,LA
70,86_3_W3.2,17,20,18.5,86_3_W3.2_Bhs1,4273.357664,252,22,16.95776851,37209.71649,55519.49862,265223.591,309.7847384,5789.036507,698.2859312,18512.34991,63.6,0.102872072,-0.471423449,-0.56225749,-0.685297515,-0.624633242,-0.370066119,-0.547907956,-0.423033258,L,Bhs,LBhs
71,86_3_W3.2,20,27,23.5,86_3_W3.2_Bhs2.1,3554.138983,252,24,14.10372612,29376.09196,52873.19268,296962.5438,363.9970676,6146.384439,567.3573191,18844.40999,57.3,0.046881762,-0.394752883,-0.410690986,-0.555396502,-0.520814047,-0.384606119,-0.44667194,-0.374995531,L,Bhs,LBhs
